class_id,class_name,intro_session,0:apple,1:aquarium fish,2:baby,3:bear,4:beaver,5:bed,6:bee,7:beetle,8:bicycle,9:bottle,10:bowl,11:boy,12:bridge,13:bus,14:butterfly,15:camel,16:can,17:castle,18:caterpillar,19:cattle,20:chair,21:chimpanzee,22:clock,23:cloud,24:cockroach,25:couch,26:crab,27:crocodile,28:cup,29:dinosaur,30:dolphin,31:elephant,32:flatfish,33:forest,34:fox,35:girl,36:hamster,37:house,38:kangaroo,39:keyboard,40:lamp,41:lawn mower,42:leopard,43:lion,44:lizard,45:lobster,46:man,47:maple tree,48:motorcycle,49:mountain,50:mouse,51:mushroom,52:oak tree,53:orange,54:orchid,55:otter,56:palm tree,57:pear,58:pickup truck,59:pine tree,60:plain,61:plate,62:poppy,63:porcupine,64:possum,65:rabbit,66:raccoon,67:ray,68:road,69:rocket,70:rose,71:sea,72:seal,73:shark,74:shrew,75:skunk,76:skyscraper,77:snail,78:snake,79:spider,80:squirrel,81:streetcar,82:sunflower,83:sweet pepper,84:table,85:tank,86:telephone,87:television,88:tiger,89:tractor,90:train,91:trout,92:tulip,93:turtle,94:wardrobe,95:whale,96:willow tree,97:wolf,98:woman,99:worm
0,apple,0,1.000000,0.905089,0.892943,0.897217,0.905783,0.867590,0.924932,0.915977,0.893871,0.908807,0.939974,0.903328,0.883070,0.877884,0.917176,0.893416,0.918634,0.865806,0.928801,0.899035,0.862707,0.905247,0.921330,0.900213,0.897657,0.895640,0.928709,0.902020,0.919918,0.904701,0.874969,0.885909,0.927937,0.903226,0.896931,0.899610,0.892674,0.879876,0.896441,0.924351,0.925586,0.882942,0.900718,0.891534,0.907328,0.930544,0.902482,0.918286,0.871343,0.884168,0.912748,0.933968,0.909000,0.962087,0.927241,0.906522,0.907295,0.978235,0.869416,0.912679,0.820276,0.912668,0.910949,0.887579,0.897482,0.891209,0.887361,0.897688,0.872162,0.888958,0.924061,0.860093,0.881167,0.882583,0.892973,0.895624,0.855974,0.913877,0.887878,0.902519,0.902756,0.866556,0.910941,0.944370,0.901475,0.869649,0.901196,0.886373,0.879626,0.875526,0.846168,0.860458,0.927569,0.905380,0.900611,0.882991,0.904898,0.890358,0.864729,0.901268
1,aquarium fish,0,0.905089,1.000000,0.907454,0.934244,0.952012,0.866493,0.942649,0.940803,0.891263,0.883621,0.925759,0.912731,0.885426,0.868045,0.957303,0.910324,0.902255,0.851485,0.948705,0.909960,0.842443,0.929776,0.905140,0.901005,0.908596,0.891198,0.956292,0.949894,0.899499,0.944230,0.947178,0.913765,0.965063,0.916333,0.933932,0.909009,0.933931,0.872596,0.918435,0.910333,0.918087,0.869007,0.935572,0.927385,0.954196,0.957730,0.909889,0.901065,0.878377,0.888456,0.952489,0.939422,0.891297,0.913699,0.929275,0.956439,0.912468,0.917874,0.866786,0.908197,0.814445,0.902649,0.903795,0.921273,0.938231,0.914650,0.907181,0.961038,0.863592,0.892027,0.906781,0.870086,0.939407,0.956942,0.945884,0.916868,0.847607,0.920161,0.919529,0.922234,0.930311,0.870884,0.916619,0.897644,0.893970,0.881036,0.886929,0.864548,0.927404,0.881884,0.848151,0.945858,0.924353,0.960996,0.878077,0.942866,0.902591,0.928531,0.879368,0.915586
2,baby,0,0.892943,0.907454,1.000000,0.923318,0.921845,0.894669,0.907506,0.894484,0.909768,0.882937,0.915156,0.981037,0.897040,0.885848,0.913511,0.921629,0.907131,0.872317,0.913743,0.910025,0.856439,0.932769,0.914533,0.901914,0.870969,0.912611,0.923069,0.916719,0.894201,0.910407,0.889804,0.912163,0.939981,0.906326,0.908410,0.976734,0.910156,0.890405,0.916521,0.920564,0.917028,0.880748,0.920411,0.919157,0.921157,0.932213,0.950328,0.903126,0.899737,0.897151,0.922011,0.913932,0.899535,0.895003,0.915705,0.926144,0.915771,0.899703,0.886962,0.908609,0.829542,0.900056,0.878178,0.898102,0.914950,0.912727,0.892013,0.920980,0.882615,0.884029,0.915681,0.870405,0.901396,0.902519,0.911497,0.911694,0.865778,0.900949,0.883226,0.897842,0.926631,0.879664,0.903352,0.899644,0.905634,0.870927,0.888998,0.877643,0.919107,0.872351,0.854026,0.856489,0.916502,0.917911,0.887581,0.884896,0.895628,0.910594,0.924858,0.882780
3,bear,0,0.897217,0.934244,0.923318,1.000000,0.983957,0.880610,0.942538,0.932252,0.904054,0.887617,0.916023,0.928882,0.911418,0.891787,0.939267,0.953136,0.906324,0.883210,0.937691,0.953267,0.850888,0.965104,0.913110,0.920266,0.897720,0.903370,0.944052,0.965876,0.896512,0.955771,0.931572,0.967115,0.955395,0.944539,0.967727,0.922783,0.929547,0.903646,0.965716,0.916936,0.917382,0.881745,0.975078,0.964040,0.950322,0.944657,0.929224,0.926258,0.886887,0.924832,0.957531,0.939305,0.923913,0.892623,0.919012,0.977528,0.923566,0.903160,0.894982,0.939293,0.859350,0.894722,0.893334,0.945922,0.958038,0.948393,0.955843,0.956846,0.899104,0.890739,0.908346,0.888080,0.971049,0.939487,0.957896,0.934338,0.869162,0.928011,0.922949,0.922491,0.961490,0.897204,0.920672,0.891296,0.906404,0.894463,0.891353,0.869584,0.955346,0.908073,0.870228,0.904550,0.916168,0.947619,0.885217,0.937324,0.926119,0.969438,0.879381,0.896846
4,beaver,0,0.905783,0.952012,0.921845,0.983957,1.000000,0.886805,0.952349,0.950473,0.906316,0.897105,0.928195,0.926990,0.914019,0.888594,0.951311,0.947385,0.912267,0.885142,0.957980,0.944496,0.852154,0.963239,0.915335,0.926006,0.915731,0.908144,0.963261,0.986860,0.904860,0.962078,0.939095,0.958551,0.972248,0.953981,0.966873,0.922240,0.942472,0.905384,0.968122,0.922968,0.926037,0.883273,0.978613,0.958688,0.971417,0.962956,0.925373,0.931547,0.885160,0.918887,0.978738,0.958327,0.928544,0.900335,0.930586,0.994026,0.931540,0.918169,0.890337,0.943977,0.859596,0.905874,0.906105,0.964784,0.973359,0.957116,0.962397,0.970806,0.900053,0.896137,0.914268,0.894932,0.978692,0.947226,0.979702,0.948491,0.860233,0.957340,0.947155,0.935369,0.968973,0.905149,0.927576,0.894952,0.911919,0.903885,0.900675,0.870090,0.951360,0.917342,0.870436,0.933001,0.922625,0.964693,0.889867,0.946500,0.939960,0.970908,0.883898,0.919672
5,bed,0,0.867590,0.866493,0.894669,0.880610,0.886805,1.000000,0.875871,0.869183,0.904280,0.897846,0.921239,0.890508,0.908846,0.909828,0.882760,0.880589,0.911851,0.892751,0.890223,0.874206,0.937735,0.869111,0.913614,0.889066,0.845139,0.979396,0.891281,0.891710,0.914901,0.877496,0.852096,0.875457,0.906701,0.905623,0.869285,0.888495,0.839928,0.936186,0.876295,0.916886,0.945512,0.892838,0.890700,0.872267,0.885569,0.906386,0.892636,0.907139,0.886479,0.891249,0.876578,0.897495,0.907807,0.869290,0.894141,0.890141,0.914731,0.877407,0.898107,0.912983,0.840544,0.906473,0.853071,0.857287,0.863552,0.870683,0.845699,0.890439,0.894040,0.857636,0.887854,0.868418,0.858021,0.860415,0.866050,0.885698,0.856870,0.887312,0.860241,0.861223,0.888779,0.889871,0.882416,0.879162,0.955776,0.866590,0.902343,0.904947,0.873249,0.879698,0.862415,0.843124,0.883750,0.893887,0.942523,0.863514,0.899981,0.873278,0.862280,0.848434
6,bee,0,0.924932,0.942649,0.907506,0.942538,0.952349,0.875871,1.000000,0.971809,0.901443,0.897337,0.930854,0.914375,0.900428,0.883378,0.975307,0.924683,0.912238,0.879744,0.967804,0.921604,0.853600,0.934558,0.918146,0.920335,0.946043,0.899262,0.964017,0.945458,0.910764,0.940913,0.908763,0.921635,0.948057,0.934739,0.935160,0.913403,0.909429,0.892842,0.929536,0.923753,0.929401,0.884275,0.941673,0.924295,0.948163,0.960897,0.916196,0.927527,0.886272,0.906184,0.945440,0.955642,0.920477,0.923412,0.955589,0.948430,0.925950,0.931916,0.872332,0.932840,0.837487,0.906267,0.936350,0.927390,0.933815,0.918241,0.916207,0.942821,0.887254,0.904375,0.932633,0.876882,0.929639,0.921504,0.940428,0.917296,0.867508,0.942369,0.923595,0.953971,0.936539,0.889512,0.952577,0.908309,0.908088,0.884197,0.893623,0.867599,0.927988,0.904780,0.861275,0.896027,0.948267,0.942443,0.896730,0.918568,0.924979,0.928282,0.883660,0.917271
7,beetle,0,0.915977,0.940803,0.894484,0.932252,0.950473,0.869183,0.971809,1.000000,0.897738,0.895318,0.927777,0.901657,0.885826,0.876424,0.968459,0.916891,0.912215,0.862623,0.971420,0.920006,0.852646,0.926963,0.909808,0.904864,0.978567,0.894347,0.968169,0.948971,0.903020,0.945300,0.903908,0.918727,0.948385,0.922056,0.923798,0.894397,0.912704,0.879868,0.928351,0.914677,0.925115,0.889936,0.929276,0.905381,0.962946,0.957431,0.900159,0.910098,0.884368,0.892146,0.955046,0.952631,0.907031,0.906143,0.927325,0.949774,0.910915,0.925627,0.873613,0.919946,0.833514,0.900804,0.913367,0.926760,0.937856,0.928239,0.916981,0.937594,0.877322,0.891270,0.903435,0.867302,0.923434,0.915471,0.946899,0.933310,0.850286,0.953319,0.934164,0.968020,0.927937,0.878807,0.920113,0.906499,0.899314,0.895218,0.895488,0.860588,0.910190,0.900392,0.853587,0.901430,0.919702,0.942902,0.884190,0.920720,0.908950,0.917247,0.865051,0.931026
8,bicycle,0,0.893871,0.891263,0.909768,0.904054,0.906316,0.904280,0.901443,0.897738,1.000000,0.902848,0.921667,0.914885,0.925035,0.929848,0.905055,0.912078,0.922832,0.890563,0.914418,0.909243,0.895646,0.905163,0.927432,0.912050,0.865853,0.926029,0.912648,0.913386,0.909397,0.907590,0.886014,0.906252,0.932453,0.918651,0.893961,0.907152,0.862879,0.913976,0.904970,0.931304,0.933030,0.923257,0.909319,0.890899,0.914435,0.921834,0.925460,0.923021,0.961141,0.909109,0.899085,0.918293,0.921955,0.891246,0.904210,0.913207,0.919007,0.893439,0.925376,0.925790,0.867049,0.909947,0.871768,0.881173,0.890281,0.893466,0.871847,0.915952,0.921026,0.890676,0.899475,0.885792,0.880380,0.891351,0.890996,0.912453,0.880071,0.907693,0.890046,0.892009,0.913149,0.904196,0.903214,0.894540,0.925803,0.892180,0.910847,0.892852,0.892005,0.899444,0.895284,0.864243,0.905523,0.913169,0.910294,0.888145,0.914908,0.891288,0.861160,0.886863
9,bottle,0,0.908807,0.883621,0.882937,0.887617,0.897105,0.897846,0.897337,0.895318,0.902848,1.000000,0.942204,0.890429,0.892127,0.883102,0.892832,0.891630,0.968690,0.868722,0.910057,0.883644,0.883074,0.880988,0.918796,0.894043,0.873180,0.917728,0.910124,0.902844,0.945081,0.897604,0.868830,0.875993,0.923905,0.898748,0.876712,0.884138,0.855520,0.890816,0.883413,0.921079,0.940334,0.895615,0.894021,0.878383,0.900110,0.925058,0.898861,0.901855,0.884517,0.886756,0.890099,0.912510,0.899389,0.912181,0.900928,0.903114,0.905011,0.919151,0.888793,0.907836,0.835272,0.923351,0.875678,0.864918,0.872919,0.878192,0.855092,0.895642,0.874298,0.895809,0.893158,0.865370,0.873462,0.871242,0.870986,0.901757,0.855135,0.900297,0.868325,0.878389,0.887236,0.879226,0.893456,0.914301,0.921433,0.876496,0.910588,0.887617,0.874397,0.883423,0.856020,0.861572,0.892099,0.892978,0.916383,0.883425,0.895544,0.879803,0.866253,0.881610
