eval_session,true_class_id,true_class_name,final_pred_class_id,final_pred_class_name,count,mean_final_pred_conf,mean_final_true_prob,mean_final_pred_prob,mean_clip_true_sim,mean_clip_pred_sim,mean_dino_true_sim_raw,mean_dino_pred_sim_raw,mean_dino_true_sim_final,mean_dino_pred_sim_final,query_numbers
0,0,apple,52,oak tree,1,0.381864,0.334978,0.381864,0.929704,0.891842,0.333773,0.17247,0.333773,0.17247,79
0,1,aquarium fish,54,orchid,1,0.549046,0.016561,0.549046,0.909448,0.959742,0.334645,0.328912,0.334645,0.328912,110
0,2,baby,5,bed,2,0.999984,1.3e-05,0.999984,0.903493,0.887803,0.210597,0.708049,0.210597,0.708049,229 295
0,2,baby,11,boy,15,0.616403,0.265652,0.616403,0.919309,0.920054,0.431414,0.458237,0.431414,0.458237,203 204 206 213 214 216 224 232 238 240 242 248 266 281 291
0,2,baby,35,girl,4,0.605802,0.227756,0.605802,0.899209,0.90076,0.516751,0.54524,0.516751,0.54524,227 233 239 269
0,2,baby,47,maple tree,1,0.380183,0.136745,0.380183,0.881623,0.88756,0.258239,0.190793,0.258239,0.190793,257
0,2,baby,52,oak tree,1,0.400162,0.046413,0.400162,0.831944,0.81126,0.28111,0.159495,0.28111,0.159495,259
0,2,baby,53,orange,1,0.907973,0.009478,0.907973,0.877611,0.882012,0.19701,0.280032,0.19701,0.280032,279
0,3,bear,4,beaver,1,0.51115,0.487432,0.51115,0.924854,0.901364,0.568242,0.589,0.568242,0.589,354
0,3,bear,21,chimpanzee,1,0.760842,0.190217,0.760842,0.907035,0.927283,0.317878,0.322278,0.317878,0.322278,314
0,3,bear,31,elephant,2,0.707803,0.135253,0.707803,0.907164,0.919459,0.373754,0.420621,0.373754,0.420621,303 389
0,3,bear,55,otter,2,0.75165,0.04221,0.75165,0.884777,0.905522,0.330365,0.43909,0.330365,0.43909,360 366
0,4,beaver,33,forest,3,0.571645,0.062724,0.571645,0.910526,0.914752,0.318822,0.396577,0.318822,0.396577,403 413 437
0,4,beaver,38,kangaroo,1,0.876885,0.10752,0.876885,0.917106,0.919892,0.48333,0.528365,0.48333,0.528365,425
0,4,beaver,50,mouse,4,0.750194,0.072606,0.750194,0.921915,0.918317,0.343243,0.365944,0.343243,0.365944,402 428 441 443
0,4,beaver,51,mushroom,1,0.662131,0.070215,0.662131,0.891554,0.862632,0.318661,0.439899,0.318661,0.439899,401
0,4,beaver,52,oak tree,1,0.380539,0.37296,0.380539,0.910878,0.891786,0.319671,0.087484,0.319671,0.087484,467
0,4,beaver,55,otter,6,0.824872,0.170212,0.824872,0.91564,0.921471,0.467466,0.504817,0.467466,0.504817,411 453 463 464 475 478
0,5,bed,20,chair,1,0.569633,0.018184,0.569633,0.898362,0.928144,0.167481,0.2875,0.167481,0.2875,535
0,5,bed,25,couch,2,0.664686,0.329431,0.664686,0.900622,0.914959,0.413053,0.428385,0.413053,0.428385,537 547
0,6,bee,24,cockroach,3,0.538571,0.394984,0.538571,0.925578,0.926874,0.441665,0.438765,0.441665,0.438765,623 633 687
0,6,bee,52,oak tree,4,0.399877,0.214864,0.399877,0.895415,0.82939,0.297133,0.099491,0.297133,0.099491,610 628 630 688
0,6,bee,54,orchid,1,0.40445,0.273013,0.40445,0.884456,0.887451,0.303021,0.311776,0.303021,0.311776,629
0,7,beetle,6,bee,2,0.536972,0.020534,0.536972,0.914186,0.920036,0.199168,0.339419,0.199168,0.339419,796 798
0,7,beetle,18,caterpillar,1,0.490514,0.088675,0.490514,0.896058,0.866968,0.34056,0.435213,0.34056,0.435213,764
0,7,beetle,24,cockroach,9,0.725838,0.273978,0.725838,0.912561,0.924387,0.490135,0.523633,0.490135,0.523633,705 710 717 736 737 744 758 767 769
0,7,beetle,26,crab,2,0.643741,0.237306,0.643741,0.895137,0.890974,0.37659,0.380355,0.37659,0.380355,748 792
0,7,beetle,52,oak tree,5,0.400061,0.243924,0.400061,0.918937,0.864127,0.28141,0.100861,0.28141,0.100861,703 707 709 743 780
0,8,bicycle,48,motorcycle,4,0.845161,0.139165,0.845161,0.914453,0.918028,0.387721,0.557243,0.387721,0.557243,802 813 821 862
0,9,bottle,52,oak tree,1,0.402987,0.04806,0.402987,0.868123,0.850266,0.257273,0.182846,0.257273,0.182846,987
0,10,bowl,0,apple,2,0.675809,0.097857,0.675809,0.825464,0.80458,0.366982,0.37944,0.366982,0.37944,1034 1049
0,10,bowl,1,aquarium fish,1,0.434577,0.172764,0.434577,0.845165,0.78337,0.321251,0.324662,0.321251,0.324662,1097
0,10,bowl,2,baby,1,0.971411,0.016825,0.971411,0.924932,0.891355,0.245795,0.440782,0.245795,0.440782,1037
0,10,bowl,28,cup,8,0.870675,0.122963,0.870675,0.920955,0.92285,0.443541,0.520928,0.443541,0.520928,1019 1032 1040 1053 1059 1064 1072 1090
0,10,bowl,29,dinosaur,1,0.60071,0.075061,0.60071,0.897868,0.884814,0.299987,0.335591,0.299987,0.335591,1017
0,10,bowl,36,hamster,1,0.949435,0.006814,0.949435,0.889725,0.879548,0.23429,0.384247,0.23429,0.384247,1085
0,10,bowl,52,oak tree,8,0.41569,0.212711,0.41569,0.881273,0.850471,0.309017,0.13674,0.309017,0.13674,1004 1025 1035 1041 1046 1057 1084 1096
0,10,bowl,57,pear,2,0.700688,0.072079,0.700688,0.902988,0.900474,0.31487,0.386275,0.31487,0.386275,1024 1070
0,11,boy,2,baby,5,0.854366,0.070482,0.854366,0.922383,0.935079,0.434296,0.530686,0.434296,0.530686,1116 1120 1126 1144 1188
