eval_session,true_class_id,true_class_name,final_pred_class_id,final_pred_class_name,count,mean_final_pred_conf,mean_final_true_prob,mean_final_pred_prob,mean_clip_true_sim,mean_clip_pred_sim,mean_dino_true_sim_raw,mean_dino_pred_sim_raw,mean_dino_true_sim_final,mean_dino_pred_sim_final,query_numbers
8,0,apple,52,oak tree,1,0.399705,0.312827,0.399705,0.929704,0.891842,0.333773,0.17247,0.333773,0.17247,79
8,1,aquarium fish,50,mouse,1,0.38631,0.00863,0.38631,0.909448,0.901866,0.334645,0.201325,0.334645,0.201325,110
8,2,baby,5,bed,2,0.999981,1.3e-05,0.999981,0.903493,0.887803,0.210597,0.708049,0.210597,0.708049,229 295
8,2,baby,11,boy,16,0.633243,0.282363,0.633243,0.918275,0.917471,0.441084,0.457452,0.441084,0.457452,203 206 213 214 216 224 231 232 238 239 242 248 266 281 291 293
8,2,baby,35,girl,6,0.579019,0.194551,0.579019,0.91132,0.906075,0.480769,0.522552,0.480769,0.522552,204 227 228 233 240 269
8,2,baby,52,oak tree,2,0.395809,0.072635,0.395809,0.856784,0.847368,0.269675,0.162552,0.269675,0.162552,257 259
8,2,baby,53,orange,1,0.826841,0.009354,0.826841,0.877611,0.882012,0.19701,0.280032,0.19701,0.280032,279
8,3,bear,4,beaver,1,0.446811,0.431968,0.446811,0.918359,0.912331,0.386316,0.386318,0.386316,0.386318,338
8,3,bear,21,chimpanzee,1,0.32664,0.170578,0.32664,0.907035,0.927283,0.317878,0.322278,0.317878,0.322278,314
8,3,bear,31,elephant,1,0.991904,0.001202,0.991904,0.883474,0.9105,0.418275,0.594205,0.418275,0.594205,389
8,3,bear,52,oak tree,2,0.358475,0.328502,0.358475,0.938569,0.888674,0.339514,0.114011,0.339514,0.114011,303 335
8,3,bear,55,otter,1,0.743358,0.006999,0.743358,0.917984,0.927672,0.274971,0.450064,0.274971,0.450064,366
8,3,bear,95,whale,1,0.581384,0.002215,0.581384,0.851571,0.895543,0.385759,0.462577,0.385759,0.531921,360
8,4,beaver,33,forest,2,0.564492,0.051594,0.564492,0.937422,0.93843,0.289355,0.417269,0.289355,0.417269,413 437
8,4,beaver,43,lion,1,0.414118,0.225249,0.414118,0.949579,0.924904,0.371491,0.308453,0.371491,0.308453,447
8,4,beaver,50,mouse,6,0.539426,0.142867,0.539426,0.915067,0.905659,0.409355,0.366667,0.409355,0.366667,403 418 428 441 443 486
8,4,beaver,52,oak tree,1,0.399331,0.29709,0.399331,0.910878,0.891786,0.319671,0.087484,0.319671,0.087484,467
8,4,beaver,55,otter,5,0.873827,0.109586,0.873827,0.912898,0.920335,0.451049,0.498224,0.451049,0.498224,411 453 464 475 478
8,4,beaver,74,shrew,2,0.340938,0.077379,0.340938,0.893865,0.873783,0.393062,0.402583,0.393062,0.446535,401 427
8,4,beaver,80,squirrel,1,0.604356,0.0,0.604356,0.904112,0.924306,0.246973,0.477369,0.246973,0.638828,402
8,5,bed,25,couch,2,0.652007,0.332165,0.652007,0.900622,0.914959,0.413053,0.428385,0.413053,0.428385,537 547
8,5,bed,52,oak tree,3,0.39054,0.229583,0.39054,0.919277,0.859742,0.275516,0.171319,0.275516,0.171319,531 535 559
8,5,bed,94,wardrobe,1,0.599778,0.003829,0.599778,0.892869,0.899264,0.310777,0.294663,0.310777,0.349611,584
8,6,bee,24,cockroach,3,0.536923,0.393212,0.536923,0.925578,0.926874,0.441665,0.438765,0.441665,0.438765,623 633 687
8,6,bee,50,mouse,2,0.407581,0.214865,0.407581,0.895748,0.892915,0.283371,0.120048,0.283371,0.120048,629 688
8,6,bee,52,oak tree,4,0.39155,0.29856,0.39155,0.899438,0.833608,0.336112,0.05908,0.336112,0.05908,628 630 660 695
8,6,bee,62,poppy,1,0.424405,0.020464,0.424405,0.870266,0.864877,0.31691,0.232978,0.31691,0.312672,637
8,6,bee,77,snail,1,0.484356,0.007544,0.484356,0.891173,0.936734,0.207223,0.310294,0.207223,0.287475,610
8,6,bee,82,sunflower,1,0.600265,0.003853,0.600265,0.940197,0.963394,0.301352,0.43242,0.301352,0.42893,608
8,7,beetle,6,bee,2,0.722906,0.019481,0.722906,0.914186,0.920036,0.199167,0.339419,0.199167,0.339419,796 798
8,7,beetle,18,caterpillar,1,0.490673,0.088448,0.490673,0.896058,0.866968,0.34056,0.435213,0.34056,0.435213,764
8,7,beetle,24,cockroach,10,0.699597,0.297464,0.699597,0.915666,0.925198,0.49555,0.522451,0.49555,0.522451,705 710 717 736 737 744 758 767 769 779
8,7,beetle,26,crab,1,0.60269,0.217761,0.60269,0.938222,0.924763,0.388,0.423207,0.388,0.423207,792
8,7,beetle,50,mouse,1,0.393388,0.125805,0.393388,0.852052,0.851325,0.365181,0.17512,0.365181,0.17512,748
8,7,beetle,52,oak tree,5,0.384255,0.226359,0.384255,0.918937,0.864127,0.28141,0.100861,0.28141,0.100861,703 707 709 743 780
8,8,bicycle,48,motorcycle,4,0.846435,0.137813,0.846435,0.914453,0.918028,0.387721,0.557243,0.387721,0.557243,802 813 821 862
8,9,bottle,52,oak tree,3,0.398637,0.21591,0.398637,0.87453,0.853574,0.293133,0.132643,0.293133,0.132643,922 950 987
8,9,bottle,69,rocket,1,0.601774,0.000378,0.601774,0.854146,0.899987,0.279054,0.319485,0.279054,0.402564,967
8,10,bowl,0,apple,2,0.669527,0.097379,0.669527,0.825464,0.80458,0.366982,0.37944,0.366982,0.37944,1034 1049
8,10,bowl,1,aquarium fish,1,0.43423,0.171093,0.43423,0.845165,0.78337,0.32125,0.324662,0.32125,0.324662,1097
8,10,bowl,2,baby,1,0.969909,0.01678,0.969909,0.924932,0.891355,0.245795,0.440782,0.245795,0.440782,1037
8,10,bowl,28,cup,6,0.938521,0.052218,0.938521,0.919467,0.925225,0.429443,0.543102,0.429443,0.543102,1019 1032 1040 1053 1064 1072
8,10,bowl,29,dinosaur,1,0.408016,0.047776,0.408016,0.897868,0.884814,0.299987,0.335591,0.299987,0.335591,1017
8,10,bowl,36,hamster,1,0.940163,0.006699,0.940163,0.889725,0.879548,0.23429,0.384247,0.23429,0.384247,1085
8,10,bowl,52,oak tree,11,0.398129,0.173641,0.398129,0.886861,0.849485,0.312046,0.136471,0.312046,0.136471,1004 1024 1025 1035 1041 1046 1056 1057 1073 1084 1096
8,10,bowl,57,pear,1,0.337529,0.066902,0.337529,0.938846,0.923789,0.31618,0.423785,0.31618,0.423785,1070
8,10,bowl,61,plate,7,0.509832,0.088036,0.509832,0.902484,0.901154,0.445196,0.467212,0.445196,0.511674,1003 1016 1047 1058 1063 1081 1098
8,11,boy,2,baby,5,0.854388,0.12327,0.854388,0.918349,0.933887,0.480273,0.566335,0.480273,0.566335,1116 1120 1144 1188 1195
8,11,boy,12,bridge,1,0.405368,0.017891,0.405368,0.898589,0.910793,0.227139,0.335964,0.227139,0.335964,1191
8,11,boy,35,girl,13,0.606902,0.343483,0.606902,0.918198,0.915209,0.528676,0.537568,0.528676,0.537568,1101 1111 1124 1146 1150 1158 1170 1172 1173 1177 1179 1180 1184
8,11,boy,41,lawn mower,1,0.410353,0.281771,0.410353,0.942357,0.873991,0.403337,0.341757,0.403337,0.341757,1190
8,11,boy,46,man,6,0.757334,0.100859,0.757334,0.885564,0.899176,0.31358,0.435765,0.31358,0.435765,1112 1148 1161 1171 1183 1187
8,11,boy,52,oak tree,1,0.40127,0.383271,0.40127,0.881088,0.819965,0.317678,0.199603,0.317678,0.199603,1197
8,11,boy,91,trout,1,0.582505,0.015435,0.582505,0.905672,0.853409,0.221845,0.384851,0.221845,0.387765,1185
8,11,boy,98,woman,1,0.431355,0.428238,0.431355,0.757195,0.760312,0.456205,0.476431,0.456205,0.5218,1153
8,12,bridge,23,cloud,1,0.404944,0.25459,0.404944,0.943603,0.90795,0.297856,0.247461,0.297856,0.247461,1235
8,12,bridge,33,forest,3,0.943098,0.028909,0.943098,0.900689,0.935088,0.295431,0.492596,0.295431,0.492596,1214 1227 1267
8,12,bridge,52,oak tree,5,0.402681,0.127293,0.402681,0.914335,0.89579,0.245669,0.184869,0.245669,0.184869,1220 1234 1238 1278 1290
8,12,bridge,56,palm tree,1,0.327948,0.06039,0.327948,0.919639,0.921015,0.283525,0.415214,0.283525,0.415214,1276
8,12,bridge,68,road,1,0.502087,0.037257,0.502087,0.948483,0.937298,0.353548,0.522918,0.353548,0.490499,1237
8,12,bridge,76,skyscraper,1,0.424034,0.069135,0.424034,0.922291,0.900735,0.344876,0.336643,0.344876,0.394221,1201
8,12,bridge,96,willow tree,1,0.570398,0.030821,0.570398,0.906625,0.913287,0.306888,0.38342,0.306888,0.43509,1253
8,13,bus,50,mouse,1,0.312107,0.279571,0.312107,0.887846,0.816901,0.347144,0.138083,0.347144,0.138083,1349
