class_id,class_name,intro_session,0:apple,1:aquarium fish,2:baby,3:bear,4:beaver,5:bed,6:bee,7:beetle,8:bicycle,9:bottle,10:bowl,11:boy,12:bridge,13:bus,14:butterfly,15:camel,16:can,17:castle,18:caterpillar,19:cattle,20:chair,21:chimpanzee,22:clock,23:cloud,24:cockroach,25:couch,26:crab,27:crocodile,28:cup,29:dinosaur,30:dolphin,31:elephant,32:flatfish,33:forest,34:fox,35:girl,36:hamster,37:house,38:kangaroo,39:keyboard,40:lamp,41:lawn mower,42:leopard,43:lion,44:lizard,45:lobster,46:man,47:maple tree,48:motorcycle,49:mountain,50:mouse,51:mushroom,52:oak tree,53:orange,54:orchid,55:otter,56:palm tree,57:pear,58:pickup truck,59:pine tree,60:plain,61:plate,62:poppy,63:porcupine,64:possum,65:rabbit,66:raccoon,67:ray,68:road,69:rocket,70:rose,71:sea,72:seal,73:shark,74:shrew,75:skunk,76:skyscraper,77:snail,78:snake,79:spider,80:squirrel,81:streetcar,82:sunflower,83:sweet pepper,84:table,85:tank,86:telephone,87:television,88:tiger,89:tractor,90:train,91:trout,92:tulip,93:turtle,94:wardrobe,95:whale,96:willow tree,97:wolf,98:woman,99:worm
0,apple,0,1.000000,0.129072,0.141032,0.165125,0.133107,0.083324,0.157145,0.158414,0.185416,0.252115,0.290628,0.167226,0.075644,0.122359,0.139541,0.039914,0.239204,0.136725,0.130699,0.138336,0.167088,0.112030,0.205954,0.107337,0.114867,0.166670,0.167091,0.088932,0.206529,0.111388,0.070906,0.092153,0.096065,0.117309,0.069878,0.159319,0.181241,0.145987,0.034162,0.093264,0.193300,0.123691,0.059360,0.128355,0.161721,0.204521,0.131847,0.189104,0.141052,0.092071,0.167150,0.173295,0.183715,0.392748,0.151456,0.141870,0.101301,0.515971,0.139721,0.174913,0.091853,0.190368,0.110230,0.093533,0.072880,0.082051,0.058096,0.087505,0.115502,0.076594,0.237803,0.061804,0.064709,0.060845,0.091485,0.136532,0.124706,0.183783,0.147084,0.126691,0.036835,0.117613,0.147235,0.303461,0.147173,0.101530,0.138631,0.150537,0.053954,0.078109,0.107268,0.094205,0.198669,0.063531,0.096208,0.139349,0.133691,0.064978,0.118698,0.154271
1,aquarium fish,0,0.129072,1.000000,0.095118,0.139828,0.170479,0.097657,0.194452,0.210359,0.071236,0.084520,0.179620,0.124927,0.053332,0.127743,0.244910,0.045861,0.129329,0.074195,0.183984,0.146639,0.043859,0.061061,0.124827,0.107425,0.166382,0.069831,0.226922,0.149145,0.107844,0.143931,0.176920,0.080213,0.327867,0.115958,0.146870,0.106690,0.212234,0.104399,0.051887,0.052396,0.089329,0.122238,0.122294,0.142523,0.218373,0.295694,0.081860,0.100175,0.125257,0.108718,0.172172,0.168655,0.039917,0.166619,0.140304,0.182826,0.087996,0.096171,0.115194,0.097064,0.073665,0.125476,0.086682,0.173585,0.085795,0.135716,0.039621,0.353030,0.052081,0.124996,0.163384,0.070126,0.142766,0.276860,0.144013,0.111117,0.120920,0.123543,0.089454,0.160154,0.098504,0.104535,0.133332,0.084055,0.048532,0.092341,0.029599,0.080065,0.109438,0.100684,0.101031,0.262865,0.119543,0.229320,0.038256,0.201658,0.059818,0.081345,0.046206,0.139396
2,baby,0,0.141032,0.095118,1.000000,0.147612,0.132371,0.279610,0.094716,0.109281,0.225788,0.159588,0.259579,0.735032,0.134552,0.148624,0.162734,0.075444,0.169015,0.216135,0.114751,0.132520,0.189071,0.136624,0.175539,0.208406,0.054479,0.295852,0.153227,0.168653,0.121539,0.171884,0.065925,0.113335,0.216341,0.259283,0.043294,0.701858,0.178795,0.258314,0.138699,0.114530,0.218100,0.181659,0.116076,0.095308,0.198451,0.168070,0.474166,0.213750,0.212140,0.157202,0.144556,0.092955,0.217143,0.142112,0.081726,0.181343,0.153182,0.160927,0.175507,0.244418,0.147782,0.233183,0.078149,0.134718,0.062465,0.208950,0.057141,0.145026,0.192574,0.048099,0.187385,0.122235,0.050626,0.065710,0.070468,0.287296,0.121798,0.114934,0.064177,0.126633,0.223614,0.121216,0.065098,0.115992,0.241071,0.074751,0.115765,0.190779,0.119593,0.127918,0.073477,0.140414,0.089106,0.154654,0.199488,0.126518,0.202288,0.058979,0.360158,0.102172
3,bear,0,0.165125,0.139828,0.147612,1.000000,0.489043,0.132459,0.189138,0.206800,0.144847,0.149513,0.166157,0.199061,0.144073,0.146923,0.201026,0.213779,0.129380,0.186523,0.197283,0.286491,0.127427,0.417729,0.153319,0.135195,0.161890,0.153571,0.159165,0.286999,0.070872,0.293184,0.171625,0.330059,0.224371,0.275670,0.311182,0.192510,0.289861,0.196182,0.252993,0.106222,0.135892,0.087282,0.323179,0.366155,0.228235,0.164600,0.214108,0.173112,0.086913,0.222662,0.258622,0.189199,0.171582,0.132154,0.125804,0.455090,0.127267,0.175476,0.134246,0.239518,0.180077,0.168960,0.043029,0.383837,0.260730,0.292349,0.343880,0.177415,0.123438,0.105198,0.139846,0.135956,0.387394,0.141085,0.281793,0.321179,0.130038,0.161527,0.120457,0.112032,0.305264,0.113397,0.120617,0.119676,0.095599,0.165904,0.123980,0.120042,0.180326,0.143612,0.102301,0.223208,0.077349,0.235113,0.056533,0.279082,0.193692,0.277127,0.171013,0.133457
4,beaver,0,0.133107,0.170479,0.132371,0.489043,1.000000,0.082085,0.202904,0.250851,0.142292,0.122117,0.196295,0.195816,0.188747,0.098280,0.249901,0.241734,0.105033,0.155118,0.210077,0.215417,0.124834,0.268280,0.104711,0.155257,0.195528,0.122301,0.237582,0.439420,0.074448,0.345576,0.176331,0.233877,0.319260,0.298878,0.257930,0.192164,0.330288,0.195486,0.362323,0.085899,0.120199,0.070078,0.357119,0.330196,0.323691,0.249012,0.191011,0.163449,0.116385,0.210417,0.491527,0.231627,0.152076,0.102304,0.062835,0.778023,0.168227,0.190482,0.086010,0.223086,0.128525,0.148995,0.030762,0.546311,0.364629,0.423706,0.351567,0.282289,0.125003,0.140134,0.139196,0.165056,0.469449,0.147668,0.522785,0.301516,0.151168,0.337361,0.177612,0.182610,0.405048,0.059584,0.107403,0.120993,0.122671,0.167135,0.088133,0.110509,0.171764,0.117954,0.074541,0.237321,0.056004,0.270621,0.029247,0.305100,0.258228,0.232977,0.146203,0.239945
5,bed,0,0.083324,0.097657,0.279610,0.132459,0.082085,1.000000,0.104626,0.059816,0.137019,0.150787,0.149854,0.224516,0.164146,0.146975,0.089363,0.106700,0.106914,0.164435,0.070256,0.080800,0.267630,0.069529,0.115449,0.112008,0.060831,0.369741,0.093739,0.118982,0.089473,0.106485,0.043413,0.122433,0.127514,0.129844,0.069967,0.224304,0.099576,0.209104,0.064270,0.077634,0.268082,0.119301,0.084473,0.132666,0.076289,0.139105,0.210673,0.131612,0.124812,0.099890,0.061677,0.095600,0.138286,0.073237,0.095282,0.107262,0.132574,0.088512,0.201734,0.158981,0.165078,0.124404,-0.025860,0.067572,0.011907,0.121283,0.044951,0.113792,0.124620,0.107732,0.096406,0.115694,0.056335,0.074715,0.013118,0.216358,0.061902,0.061582,0.059768,0.040472,0.044141,0.077685,0.049155,0.053177,0.271485,0.123719,0.108138,0.174036,0.107933,0.102089,0.075499,0.110945,0.028848,0.107784,0.351140,0.116429,0.050328,0.069450,0.125709,0.028324
6,bee,0,0.157145,0.194452,0.094716,0.189138,0.202904,0.104626,1.000000,0.438445,0.135536,0.135086,0.201078,0.143069,0.093174,0.152326,0.447293,0.156109,0.139904,0.164702,0.355806,0.095264,0.120197,0.139872,0.121068,0.166644,0.323918,0.054607,0.252175,0.188196,0.105724,0.192654,0.119446,0.094591,0.140739,0.117741,0.139255,0.147960,0.194301,0.134692,0.106934,0.150530,0.144653,0.126138,0.184574,0.181948,0.265084,0.276160,0.148041,0.124311,0.176587,0.122549,0.212267,0.203151,0.122301,0.150151,0.211561,0.213758,0.170204,0.151669,0.091118,0.169557,0.086508,0.143873,0.200838,0.202830,0.151517,0.136369,0.121272,0.162245,0.082077,0.135858,0.243129,0.099496,0.119158,0.136071,0.172746,0.189014,0.088093,0.220742,0.099053,0.236094,0.151564,0.095177,0.279528,0.108593,0.120601,0.153344,0.074360,0.152937,0.157560,0.148599,0.082214,0.167035,0.184609,0.184831,0.029467,0.184354,0.136040,0.096360,0.105684,0.180915
7,beetle,0,0.158414,0.210359,0.109281,0.206800,0.250851,0.059816,0.438445,1.000000,0.166246,0.139528,0.214673,0.165180,0.131488,0.164437,0.394645,0.126296,0.146047,0.146008,0.388619,0.129122,0.132158,0.170942,0.122206,0.155473,0.634806,0.058173,0.357430,0.245033,0.095487,0.195750,0.132392,0.080295,0.253694,0.203995,0.085029,0.137393,0.220369,0.141869,0.128364,0.135629,0.125567,0.129507,0.187925,0.166636,0.309661,0.381717,0.131277,0.159951,0.195039,0.112285,0.307371,0.211613,0.166866,0.079001,0.130162,0.273512,0.140139,0.140596,0.130154,0.214002,0.153899,0.142186,0.112062,0.182248,0.198042,0.247008,0.156282,0.221124,0.141303,0.116893,0.196735,0.083260,0.150098,0.101767,0.259278,0.275180,0.122987,0.349756,0.225672,0.449606,0.171030,0.163114,0.121927,0.136482,0.085828,0.166809,0.144664,0.109401,0.137195,0.143316,0.080196,0.188555,0.173543,0.244128,0.059398,0.208134,0.161138,0.094925,0.096915,0.285403
8,bicycle,0,0.185416,0.071236,0.225788,0.144847,0.142292,0.137019,0.135536,0.166246,1.000000,0.213207,0.216365,0.304284,0.185096,0.286031,0.238212,0.103406,0.150812,0.234164,0.118568,0.139528,0.211329,0.035041,0.227687,0.184748,0.137607,0.191593,0.206961,0.139037,0.129400,0.201904,0.026069,0.111933,0.133298,0.228507,0.127066,0.293300,0.103802,0.301342,0.165552,0.072528,0.229558,0.190367,0.083584,0.092891,0.197636,0.195111,0.280755,0.278290,0.436219,0.144624,0.125017,0.098464,0.267771,0.120694,0.097943,0.191158,0.196695,0.169782,0.290954,0.268767,0.185115,0.151235,0.041908,0.084678,0.045657,0.135919,0.083141,0.090120,0.244001,0.122743,0.164059,0.120161,0.035216,0.036358,0.129791,0.193104,0.163586,0.101576,0.143551,0.228559,0.103257,0.197576,0.105013,0.104510,0.197019,0.149870,0.139343,0.214827,0.069388,0.210095,0.114283,0.102418,0.062469,0.099534,0.142947,0.105792,0.204296,0.139165,0.162911,0.142406
9,bottle,0,0.252115,0.084520,0.159588,0.149513,0.122117,0.150787,0.135086,0.139528,0.213207,1.000000,0.325065,0.205094,0.131776,0.162988,0.163061,0.082107,0.503186,0.149330,0.136030,0.056744,0.246113,0.083391,0.227172,0.156862,0.107792,0.183938,0.139091,0.107506,0.286260,0.146816,0.073684,0.074295,0.140004,0.109569,0.086390,0.188137,0.087844,0.173371,0.102772,0.101889,0.313851,0.120706,0.071503,0.112444,0.080582,0.162483,0.254007,0.110780,0.194689,0.092075,0.085495,0.079925,0.115326,0.260474,0.097070,0.164500,0.126694,0.305356,0.186246,0.134674,0.110954,0.214742,0.042919,0.088015,0.007556,0.153156,0.086715,0.112014,0.110737,0.204594,0.186100,0.134821,0.047239,0.063991,0.051166,0.165136,0.160701,0.076966,0.112594,0.121849,0.097116,0.097479,0.121299,0.221202,0.168309,0.120207,0.187648,0.202572,0.068702,0.111852,0.107060,0.147218,0.078358,0.066244,0.139066,0.172167,0.077306,0.115648,0.177168,0.106596
