class_id,class_name,intro_session,0:apple,1:aquarium fish,2:baby,3:bear,4:beaver,5:bed,6:bee,7:beetle,8:bicycle,9:bottle,10:bowl,11:boy,12:bridge,13:bus,14:butterfly,15:camel,16:can,17:castle,18:caterpillar,19:cattle,20:chair,21:chimpanzee,22:clock,23:cloud,24:cockroach,25:couch,26:crab,27:crocodile,28:cup,29:dinosaur,30:dolphin,31:elephant,32:flatfish,33:forest,34:fox,35:girl,36:hamster,37:house,38:kangaroo,39:keyboard,40:lamp,41:lawn mower,42:leopard,43:lion,44:lizard,45:lobster,46:man,47:maple tree,48:motorcycle,49:mountain,50:mouse,51:mushroom,52:oak tree,53:orange,54:orchid,55:otter,56:palm tree,57:pear,58:pickup truck,59:pine tree,60:plain,61:plate,62:poppy,63:porcupine,64:possum,65:rabbit,66:raccoon,67:ray,68:road,69:rocket,70:rose,71:sea,72:seal,73:shark,74:shrew,75:skunk,76:skyscraper,77:snail,78:snake,79:spider,80:squirrel,81:streetcar,82:sunflower,83:sweet pepper,84:table,85:tank,86:telephone,87:television,88:tiger,89:tractor,90:train,91:trout,92:tulip,93:turtle,94:wardrobe,95:whale,96:willow tree,97:wolf,98:woman,99:worm
0,apple,0,1.000000,0.129072,0.141032,0.165125,0.133107,0.083324,0.157145,0.158414,0.185416,0.252115,0.290628,0.167226,0.075644,0.122359,0.139541,0.039914,0.239204,0.136725,0.130699,0.138336,0.167088,0.112030,0.205954,0.107337,0.114867,0.166670,0.167091,0.088932,0.206529,0.111388,0.070906,0.092153,0.096065,0.117309,0.069878,0.159319,0.181241,0.145987,0.034162,0.093264,0.193300,0.123691,0.059360,0.128355,0.161721,0.204521,0.131847,0.189104,0.141052,0.092071,0.167150,0.173295,0.183715,0.392748,0.151456,0.141870,0.101301,0.515971,0.139721,0.174913,0.109996,0.195184,0.139102,0.071845,0.096034,0.089016,0.065166,0.079922,0.110403,0.101719,0.244376,0.061969,0.089477,0.060601,0.095733,0.137377,0.124462,0.196251,0.149383,0.133825,0.049642,0.116302,0.151307,0.310390,0.135034,0.116187,0.151076,0.154381,0.060912,0.081155,0.117746,0.114185,0.240679,0.081815,0.100033,0.139102,0.148977,0.087690,0.138565,0.162523
1,aquarium fish,0,0.129072,1.000000,0.095118,0.139828,0.170479,0.097657,0.194452,0.210359,0.071236,0.084520,0.179620,0.124927,0.053332,0.127743,0.244910,0.045861,0.129329,0.074195,0.183984,0.146639,0.043859,0.061061,0.124827,0.107425,0.166382,0.069831,0.226922,0.149145,0.107844,0.143931,0.176920,0.080213,0.327867,0.115958,0.146870,0.106690,0.212234,0.104399,0.051887,0.052396,0.089329,0.122238,0.122294,0.142523,0.218373,0.295694,0.081860,0.100175,0.125257,0.108718,0.172172,0.168655,0.039917,0.166619,0.140304,0.182826,0.087996,0.096171,0.115194,0.097064,0.066871,0.124314,0.130699,0.154586,0.088497,0.132232,0.048559,0.366611,0.050900,0.120709,0.182167,0.084418,0.147453,0.308637,0.142774,0.143152,0.102176,0.168822,0.111082,0.178476,0.122822,0.095438,0.136276,0.088347,0.043058,0.099046,0.036388,0.083758,0.120557,0.097228,0.103554,0.334622,0.148261,0.269926,0.042670,0.191242,0.064287,0.087137,0.046918,0.134469
2,baby,0,0.141032,0.095118,1.000000,0.147612,0.132371,0.279610,0.094716,0.109281,0.225788,0.159588,0.259579,0.735032,0.134552,0.148624,0.162734,0.075444,0.169015,0.216135,0.114751,0.132520,0.189071,0.136624,0.175539,0.208406,0.054479,0.295852,0.153227,0.168653,0.121539,0.171884,0.065925,0.113335,0.216341,0.259283,0.043294,0.701858,0.178795,0.258314,0.138699,0.114530,0.218100,0.181659,0.116076,0.095308,0.198451,0.168070,0.474166,0.213750,0.212140,0.157202,0.144556,0.092955,0.217143,0.142112,0.081726,0.181343,0.153182,0.160927,0.175507,0.244418,0.171514,0.242662,0.083982,0.140350,0.082958,0.207505,0.076732,0.144199,0.198914,0.062762,0.183795,0.157551,0.056410,0.061471,0.079441,0.231731,0.138238,0.120251,0.084750,0.131673,0.203146,0.098327,0.079670,0.113490,0.259261,0.092423,0.117227,0.214347,0.108508,0.137157,0.072180,0.156463,0.096778,0.138382,0.218915,0.098452,0.196380,0.057896,0.394402,0.125731
3,bear,0,0.165125,0.139828,0.147612,1.000000,0.489043,0.132459,0.189138,0.206800,0.144847,0.149513,0.166157,0.199061,0.144073,0.146923,0.201026,0.213779,0.129380,0.186523,0.197283,0.286491,0.127427,0.417729,0.153319,0.135195,0.161890,0.153571,0.159165,0.286999,0.070872,0.293184,0.171625,0.330059,0.224371,0.275670,0.311182,0.192510,0.289861,0.196182,0.252993,0.106222,0.135892,0.087282,0.323179,0.366155,0.228235,0.164600,0.214108,0.173112,0.086913,0.222662,0.258622,0.189199,0.171582,0.132154,0.125804,0.455090,0.127267,0.175476,0.134246,0.239518,0.195137,0.162683,0.064590,0.349862,0.322277,0.244470,0.361892,0.153112,0.148854,0.129444,0.150025,0.159794,0.391385,0.139085,0.288129,0.367202,0.149280,0.173178,0.153959,0.120479,0.311790,0.111548,0.123175,0.123321,0.110770,0.160404,0.130360,0.136831,0.209316,0.130619,0.107120,0.211293,0.094106,0.226027,0.072513,0.281305,0.203985,0.289282,0.180745,0.133809
4,beaver,0,0.133107,0.170479,0.132371,0.489043,1.000000,0.082085,0.202904,0.250851,0.142292,0.122117,0.196295,0.195816,0.188747,0.098280,0.249901,0.241734,0.105033,0.155118,0.210077,0.215417,0.124834,0.268280,0.104711,0.155257,0.195528,0.122301,0.237582,0.439420,0.074448,0.345576,0.176331,0.233877,0.319260,0.298878,0.257930,0.192164,0.330288,0.195486,0.362323,0.085899,0.120199,0.070078,0.357119,0.330196,0.323691,0.249012,0.191011,0.163449,0.116385,0.210417,0.491527,0.231627,0.152076,0.102304,0.062835,0.778023,0.168227,0.190482,0.086010,0.223086,0.154282,0.154752,0.061458,0.532421,0.372806,0.373005,0.360315,0.263449,0.136225,0.145210,0.131551,0.181673,0.480503,0.151076,0.557788,0.318936,0.155983,0.334617,0.200328,0.196265,0.414979,0.059954,0.114762,0.127200,0.113791,0.161389,0.078539,0.109317,0.213680,0.108324,0.085230,0.217921,0.066845,0.241745,0.051718,0.276014,0.257875,0.240532,0.165353,0.224772
5,bed,0,0.083324,0.097657,0.279610,0.132459,0.082085,1.000000,0.104626,0.059816,0.137019,0.150787,0.149854,0.224516,0.164146,0.146975,0.089363,0.106700,0.106914,0.164435,0.070256,0.080800,0.267630,0.069529,0.115449,0.112008,0.060831,0.369741,0.093739,0.118982,0.089473,0.106485,0.043413,0.122433,0.127514,0.129844,0.069967,0.224304,0.099576,0.209104,0.064270,0.077634,0.268082,0.119301,0.084473,0.132666,0.076289,0.139105,0.210673,0.131612,0.124812,0.099890,0.061677,0.095600,0.138286,0.073237,0.095282,0.107262,0.132574,0.088512,0.201734,0.158981,0.170567,0.141486,-0.010209,0.056251,0.043876,0.115068,0.054949,0.106232,0.142162,0.108704,0.099271,0.134688,0.053720,0.079482,0.014140,0.167475,0.075606,0.065525,0.071376,0.051513,0.041791,0.084333,0.040455,0.049570,0.306527,0.121759,0.104959,0.211371,0.108520,0.101161,0.070308,0.122593,0.043472,0.112657,0.390058,0.109856,0.076145,0.088561,0.165700,0.051635
6,bee,0,0.157145,0.194452,0.094716,0.189138,0.202904,0.104626,1.000000,0.438445,0.135536,0.135086,0.201078,0.143069,0.093174,0.152326,0.447293,0.156109,0.139904,0.164702,0.355806,0.095264,0.120197,0.139872,0.121068,0.166644,0.323918,0.054607,0.252175,0.188196,0.105724,0.192654,0.119446,0.094591,0.140739,0.117741,0.139255,0.147960,0.194301,0.134692,0.106934,0.150530,0.144653,0.126138,0.184574,0.181948,0.265084,0.276160,0.148041,0.124311,0.176587,0.122549,0.212267,0.203151,0.122301,0.150151,0.211561,0.213758,0.170204,0.151669,0.091118,0.169557,0.105766,0.155631,0.218237,0.200671,0.168879,0.137216,0.145354,0.122183,0.083057,0.159967,0.247407,0.118737,0.133282,0.135422,0.196994,0.210044,0.105509,0.254662,0.121239,0.303652,0.173334,0.099869,0.271737,0.118455,0.107642,0.143696,0.070734,0.137378,0.179128,0.143539,0.076781,0.169811,0.216462,0.211389,0.035182,0.177558,0.126009,0.104094,0.119168,0.181192
7,beetle,0,0.158414,0.210359,0.109281,0.206800,0.250851,0.059816,0.438445,1.000000,0.166246,0.139528,0.214673,0.165180,0.131488,0.164437,0.394645,0.126296,0.146047,0.146008,0.388619,0.129122,0.132158,0.170942,0.122206,0.155473,0.634806,0.058173,0.357430,0.245033,0.095487,0.195750,0.132392,0.080295,0.253694,0.203995,0.085029,0.137393,0.220369,0.141869,0.128364,0.135629,0.125567,0.129507,0.187925,0.166636,0.309661,0.381717,0.131277,0.159951,0.195039,0.112285,0.307371,0.211613,0.166866,0.079001,0.130162,0.273512,0.140139,0.140596,0.130154,0.214002,0.171212,0.158839,0.135001,0.179610,0.209890,0.225467,0.164707,0.194614,0.145727,0.135001,0.193602,0.101821,0.155257,0.097184,0.285540,0.302906,0.140446,0.394111,0.225352,0.490704,0.184501,0.155676,0.134611,0.145713,0.080312,0.159616,0.145055,0.112505,0.160657,0.140687,0.088623,0.207616,0.177041,0.263623,0.062111,0.194509,0.150667,0.108592,0.097493,0.280316
8,bicycle,0,0.185416,0.071236,0.225788,0.144847,0.142292,0.137019,0.135536,0.166246,1.000000,0.213207,0.216365,0.304284,0.185096,0.286031,0.238212,0.103406,0.150812,0.234164,0.118568,0.139528,0.211329,0.035041,0.227687,0.184748,0.137607,0.191593,0.206961,0.139037,0.129400,0.201904,0.026069,0.111933,0.133298,0.228507,0.127066,0.293300,0.103802,0.301342,0.165552,0.072528,0.229558,0.190367,0.083584,0.092891,0.197636,0.195111,0.280755,0.278290,0.436219,0.144624,0.125017,0.098464,0.267771,0.120694,0.097943,0.191158,0.196695,0.169782,0.290954,0.268767,0.197000,0.174757,0.054027,0.083346,0.078463,0.125169,0.082490,0.095677,0.261305,0.154707,0.161950,0.151102,0.035510,0.039550,0.138686,0.167713,0.168831,0.108866,0.153831,0.248529,0.089953,0.183114,0.112414,0.096749,0.234529,0.150227,0.135825,0.210283,0.087694,0.208175,0.119494,0.113829,0.081206,0.092682,0.162132,0.084252,0.218868,0.138970,0.202459,0.174147
9,bottle,0,0.252115,0.084520,0.159588,0.149513,0.122117,0.150787,0.135086,0.139528,0.213207,1.000000,0.325065,0.205094,0.131776,0.162988,0.163061,0.082107,0.503186,0.149330,0.136030,0.056744,0.246113,0.083391,0.227172,0.156862,0.107792,0.183938,0.139091,0.107506,0.286260,0.146816,0.073684,0.074295,0.140004,0.109569,0.086390,0.188137,0.087844,0.173371,0.102772,0.101889,0.313851,0.120706,0.071503,0.112444,0.080582,0.162483,0.254007,0.110780,0.194689,0.092075,0.085495,0.079925,0.115326,0.260474,0.097070,0.164500,0.126694,0.305356,0.186246,0.134674,0.126355,0.246951,0.056840,0.083029,0.041656,0.138995,0.097516,0.110680,0.124633,0.241588,0.167647,0.152571,0.061243,0.071585,0.063362,0.134377,0.172552,0.089723,0.119267,0.135647,0.103555,0.081434,0.121805,0.210051,0.188229,0.120447,0.201742,0.216195,0.086931,0.118139,0.118952,0.165617,0.091651,0.079293,0.159676,0.159875,0.098840,0.129676,0.200538,0.143875
