eval_session,intro_session,query_count,baseline_accuracy
0,0,6000,89.75
1,0,6000,89.467
1,1,500,70.6
2,0,6000,89.283
2,1,500,69.0
2,2,500,83.6
3,0,6000,89.05
3,1,500,67.4
3,2,500,81.4
3,3,500,66.2
4,0,6000,88.867
4,1,500,67.2
4,2,500,81.0
4,3,500,65.8
4,4,500,83.8
5,0,6000,88.783
5,1,500,67.4
5,2,500,81.4
5,3,500,66.2
5,4,500,82.8
5,5,500,82.6
6,0,6000,88.617
6,1,500,67.4
6,2,500,81.0
6,3,500,66.2
6,4,500,82.4
6,5,500,82.6
6,6,500,89.4
7,0,6000,88.683
7,1,500,66.8
7,2,500,81.0
7,3,500,66.4
7,4,500,83.0
7,5,500,81.4
7,6,500,89.2
7,7,500,81.0
8,0,6000,88.25
8,1,500,66.6
8,2,500,80.6
8,3,500,65.8
8,4,500,80.4
8,5,500,80.8
8,6,500,89.4
8,7,500,80.8
8,8,500,60.0
