eval_session,intro_session,query_count,final_accuracy
0,0,6000,89.75
1,0,6000,89.317
1,1,500,80.0
2,0,6000,89.117
2,1,500,78.2
2,2,500,88.2
3,0,6000,88.867
3,1,500,78.2
3,2,500,87.0
3,3,500,75.2
4,0,6000,88.683
4,1,500,77.8
4,2,500,87.0
4,3,500,75.2
4,4,500,91.0
5,0,6000,88.583
5,1,500,77.4
5,2,500,87.2
5,3,500,75.4
5,4,500,90.8
5,5,500,86.4
6,0,6000,88.4
6,1,500,77.4
6,2,500,86.8
6,3,500,75.2
6,4,500,90.8
6,5,500,86.6
6,6,500,92.6
7,0,6000,88.367
7,1,500,76.8
7,2,500,86.8
7,3,500,75.2
7,4,500,90.8
7,5,500,85.8
7,6,500,92.4
7,7,500,87.0
8,0,6000,87.9
8,1,500,77.2
8,2,500,86.4
8,3,500,74.4
8,4,500,89.2
8,5,500,85.4
8,6,500,92.0
8,7,500,86.2
8,8,500,70.2
