dataset,eval_session,query_number,true_class_id,true_class_name,true_intro_session,baseline_pred_class_id,baseline_pred_class_name,baseline_pred_intro_session,baseline_pred_conf,baseline_true_prob,baseline_pred_prob,final_pred_class_id,final_pred_class_name,final_pred_intro_session,final_pred_conf,final_true_prob,final_pred_prob,clip_true_sim,clip_pred_sim,dino_true_sim_raw,dino_pred_sim_raw,dino_true_sim_final,dino_pred_sim_final,baseline_correct,final_correct
CIFAR100,0,79,0,apple,0,52,oak tree,0,0.381864,0.334978,0.381864,52,oak tree,0,0.381864,0.334978,0.381864,0.929704,0.891842,0.333773,0.17247,0.333773,0.17247,0,0
CIFAR100,0,110,1,aquarium fish,0,54,orchid,0,0.549046,0.016561,0.549046,54,orchid,0,0.549046,0.016561,0.549046,0.909448,0.959742,0.334645,0.328912,0.334645,0.328912,0,0
CIFAR100,0,203,2,baby,0,11,boy,0,0.767828,0.220204,0.767828,11,boy,0,0.767828,0.220204,0.767828,0.930683,0.925725,0.33525,0.353649,0.33525,0.353649,0,0
CIFAR100,0,204,2,baby,0,11,boy,0,0.580468,0.033748,0.580468,11,boy,0,0.580468,0.033748,0.580468,0.922376,0.925545,0.41509,0.525799,0.41509,0.525799,0,0
CIFAR100,0,206,2,baby,0,11,boy,0,0.506695,0.461863,0.506695,11,boy,0,0.506695,0.461863,0.506695,0.926734,0.909891,0.519708,0.540534,0.519708,0.540534,0,0
CIFAR100,0,213,2,baby,0,11,boy,0,0.636414,0.315366,0.636414,11,boy,0,0.636414,0.315366,0.636414,0.817001,0.821204,0.512227,0.522035,0.512227,0.522035,0,0
CIFAR100,0,214,2,baby,0,11,boy,0,0.806903,0.150262,0.806903,11,boy,0,0.806903,0.150262,0.806903,0.946064,0.941805,0.39434,0.462623,0.39434,0.462623,0,0
CIFAR100,0,216,2,baby,0,11,boy,0,0.903948,0.045671,0.903948,11,boy,0,0.903948,0.045671,0.903948,0.928449,0.943068,0.459736,0.54809,0.459736,0.54809,0,0
CIFAR100,0,224,2,baby,0,11,boy,0,0.476548,0.03766,0.476548,11,boy,0,0.476548,0.03766,0.476548,0.885131,0.89637,0.291152,0.372266,0.291152,0.372266,0,0
CIFAR100,0,227,2,baby,0,35,girl,0,0.558668,0.276933,0.558668,35,girl,0,0.558668,0.276933,0.558668,0.924116,0.914938,0.485686,0.514176,0.485686,0.514176,0,0
CIFAR100,0,229,2,baby,0,5,bed,0,0.999968,2.7e-05,0.999968,5,bed,0,0.999968,2.7e-05,0.999968,0.937249,0.874308,0.246961,0.729406,0.246961,0.729406,0,0
CIFAR100,0,232,2,baby,0,11,boy,0,0.731816,0.040115,0.731816,11,boy,0,0.731816,0.040115,0.731816,0.898758,0.918224,0.475443,0.536685,0.475443,0.536685,0,0
CIFAR100,0,233,2,baby,0,35,girl,0,0.654209,0.294286,0.654209,35,girl,0,0.654209,0.294286,0.654209,0.886872,0.880868,0.578806,0.619569,0.578806,0.619569,0,0
CIFAR100,0,238,2,baby,0,11,boy,0,0.58119,0.39378,0.58119,11,boy,0,0.58119,0.39378,0.58119,0.945263,0.949821,0.477665,0.452989,0.477665,0.452989,0,0
CIFAR100,0,239,2,baby,0,35,girl,0,0.348311,0.299415,0.348311,35,girl,0,0.348311,0.299415,0.348311,0.848758,0.859101,0.449483,0.421727,0.449483,0.421727,0,0
CIFAR100,0,240,2,baby,0,11,boy,0,0.712043,0.252761,0.712043,11,boy,0,0.712043,0.252761,0.712043,0.896648,0.910582,0.400809,0.400708,0.400809,0.400708,0,0
CIFAR100,0,242,2,baby,0,11,boy,0,0.49515,0.490607,0.49515,11,boy,0,0.49515,0.490607,0.49515,0.929662,0.924015,0.429339,0.420079,0.429339,0.420079,0,0
CIFAR100,0,248,2,baby,0,11,boy,0,0.363679,0.269775,0.363679,11,boy,0,0.363679,0.269775,0.363679,0.926696,0.920248,0.350892,0.330472,0.350892,0.330472,0,0
CIFAR100,0,257,2,baby,0,47,maple tree,0,0.380183,0.136745,0.380183,47,maple tree,0,0.380183,0.136745,0.380183,0.881623,0.88756,0.258239,0.190793,0.258239,0.190793,0,0
CIFAR100,0,259,2,baby,0,52,oak tree,0,0.400162,0.046413,0.400162,52,oak tree,0,0.400162,0.046413,0.400162,0.831944,0.81126,0.28111,0.159495,0.28111,0.159495,0,0
CIFAR100,0,266,2,baby,0,11,boy,0,0.587075,0.385247,0.587075,11,boy,0,0.587075,0.385247,0.587075,0.931731,0.915474,0.424403,0.465057,0.424403,0.465057,0,0
CIFAR100,0,269,2,baby,0,35,girl,0,0.86202,0.04039,0.86202,35,girl,0,0.86202,0.04039,0.86202,0.93709,0.948133,0.55303,0.625488,0.55303,0.625488,0,0
CIFAR100,0,279,2,baby,0,53,orange,0,0.907973,0.009478,0.907973,53,orange,0,0.907973,0.009478,0.907973,0.877611,0.882012,0.19701,0.280032,0.19701,0.280032,0,0
CIFAR100,0,281,2,baby,0,11,boy,0,0.594045,0.392787,0.594045,11,boy,0,0.594045,0.392787,0.594045,0.947977,0.94717,0.532292,0.514413,0.532292,0.514413,0,0
CIFAR100,0,291,2,baby,0,11,boy,0,0.50224,0.49494,0.50224,11,boy,0,0.50224,0.49494,0.50224,0.956469,0.951668,0.452866,0.428155,0.452866,0.428155,0,0
CIFAR100,0,295,2,baby,0,5,bed,0,1.0,0.0,1.0,5,bed,0,1.0,0.0,1.0,0.869736,0.901299,0.174234,0.686692,0.174234,0.686692,0,0
