dataset,eval_session,query_number,true_class_id,true_class_name,true_intro_session,baseline_pred_class_id,baseline_pred_class_name,baseline_pred_intro_session,baseline_pred_conf,baseline_true_prob,baseline_pred_prob,final_pred_class_id,final_pred_class_name,final_pred_intro_session,final_pred_conf,final_true_prob,final_pred_prob,clip_true_sim,clip_pred_sim,dino_true_sim_raw,dino_pred_sim_raw,dino_true_sim_final,dino_pred_sim_final,baseline_correct,final_correct
CIFAR100,8,79,0,apple,0,52,oak tree,0,0.399705,0.31208,0.399705,52,oak tree,0,0.399705,0.312827,0.399705,0.929704,0.891842,0.333773,0.17247,0.333773,0.17247,0,0
CIFAR100,8,110,1,aquarium fish,0,54,orchid,0,0.453829,0.010375,0.453829,50,mouse,0,0.38631,0.00863,0.38631,0.909448,0.901866,0.334645,0.201325,0.334645,0.201325,0,0
CIFAR100,8,203,2,baby,0,11,boy,0,0.767716,0.220138,0.767716,11,boy,0,0.767696,0.220127,0.767696,0.930683,0.925725,0.33525,0.353649,0.33525,0.353649,0,0
CIFAR100,8,204,2,baby,0,35,girl,0,0.541764,0.033741,0.541764,35,girl,0,0.541767,0.033742,0.541767,0.922376,0.922098,0.415089,0.516919,0.415089,0.516919,0,0
CIFAR100,8,206,2,baby,0,11,boy,0,0.506736,0.461807,0.506736,11,boy,0,0.506736,0.461808,0.506736,0.926734,0.909891,0.519708,0.540534,0.519708,0.540534,0,0
CIFAR100,8,213,2,baby,0,11,boy,0,0.643496,0.308204,0.643496,11,boy,0,0.643466,0.308167,0.643466,0.817001,0.821204,0.512227,0.522035,0.512227,0.522035,0,0
CIFAR100,8,214,2,baby,0,11,boy,0,0.80684,0.150219,0.80684,11,boy,0,0.806884,0.150235,0.806884,0.946064,0.941805,0.39434,0.462623,0.39434,0.462623,0,0
CIFAR100,8,216,2,baby,0,11,boy,0,0.903915,0.045669,0.903915,11,boy,0,0.903889,0.045666,0.903889,0.928449,0.943068,0.459736,0.548089,0.459736,0.548089,0,0
CIFAR100,8,224,2,baby,0,11,boy,0,0.845762,0.035947,0.845762,11,boy,0,0.843119,0.035737,0.843119,0.885131,0.89637,0.291152,0.372266,0.291152,0.372266,0,0
CIFAR100,8,227,2,baby,0,35,girl,0,0.558588,0.276785,0.558588,35,girl,0,0.558567,0.276749,0.558567,0.924116,0.914938,0.485686,0.514176,0.485686,0.514176,0,0
CIFAR100,8,228,2,baby,0,35,girl,0,0.447758,0.269414,0.447758,35,girl,0,0.447757,0.26941,0.447757,0.900818,0.881021,0.451193,0.464535,0.451193,0.464535,0,0
CIFAR100,8,229,2,baby,0,5,bed,0,0.999966,2.7e-05,0.999966,5,bed,0,0.999964,2.7e-05,0.999964,0.937249,0.874308,0.246961,0.729406,0.246961,0.729406,0,0
CIFAR100,8,231,2,baby,0,11,boy,0,0.60342,0.38038,0.60342,11,boy,0,0.603401,0.380345,0.603401,0.914024,0.913191,0.433956,0.413087,0.433956,0.413087,0,0
CIFAR100,8,232,2,baby,0,11,boy,0,0.492042,0.040099,0.492042,11,boy,0,0.491915,0.040086,0.491915,0.898758,0.918224,0.475443,0.536685,0.475443,0.536685,0,0
CIFAR100,8,233,2,baby,0,35,girl,0,0.654212,0.294284,0.654212,35,girl,0,0.654211,0.294284,0.654211,0.886872,0.880868,0.578806,0.619569,0.578806,0.619569,0,0
CIFAR100,8,238,2,baby,0,11,boy,0,0.59349,0.381444,0.59349,11,boy,0,0.593488,0.381441,0.593488,0.945263,0.949821,0.477665,0.45299,0.477665,0.45299,0,0
CIFAR100,8,239,2,baby,0,11,boy,0,0.473386,0.237338,0.473386,11,boy,0,0.462233,0.202703,0.462233,0.848758,0.846002,0.449483,0.426463,0.449483,0.426463,0,0
CIFAR100,8,240,2,baby,0,35,girl,0,0.409799,0.252733,0.409799,35,girl,0,0.409799,0.252732,0.409799,0.896648,0.889394,0.400809,0.394624,0.400809,0.394624,0,0
CIFAR100,8,242,2,baby,0,11,boy,0,0.519458,0.466267,0.519458,11,boy,0,0.519457,0.466263,0.519457,0.929662,0.924015,0.429339,0.420079,0.429339,0.420079,0,0
CIFAR100,8,248,2,baby,0,11,boy,0,0.634349,0.269491,0.634349,11,boy,0,0.634306,0.269452,0.634306,0.926696,0.920249,0.350892,0.330472,0.350892,0.330472,0,0
CIFAR100,8,257,2,baby,0,52,oak tree,0,0.391511,0.122522,0.391511,52,oak tree,0,0.391521,0.122961,0.391521,0.881624,0.883477,0.258239,0.165609,0.258239,0.165609,0,0
CIFAR100,8,259,2,baby,0,52,oak tree,0,0.400106,0.024643,0.400106,52,oak tree,0,0.400096,0.022309,0.400096,0.831944,0.81126,0.28111,0.159495,0.28111,0.159495,0,0
CIFAR100,8,266,2,baby,0,11,boy,0,0.586945,0.384982,0.586945,11,boy,0,0.586833,0.384751,0.586833,0.93173,0.915474,0.424403,0.465057,0.424403,0.465057,0,0
CIFAR100,8,269,2,baby,0,35,girl,0,0.862017,0.040389,0.862017,35,girl,0,0.862013,0.040389,0.862013,0.93709,0.948133,0.55303,0.625488,0.55303,0.625488,0,0
CIFAR100,8,279,2,baby,0,53,orange,0,0.828399,0.009383,0.828399,53,orange,0,0.826841,0.009354,0.826841,0.877611,0.882012,0.19701,0.280032,0.19701,0.280032,0,0
CIFAR100,8,281,2,baby,0,11,boy,0,0.594036,0.392777,0.594036,11,boy,0,0.594034,0.392773,0.594034,0.947976,0.94717,0.532293,0.514413,0.532293,0.514413,0,0
CIFAR100,8,291,2,baby,0,11,boy,0,0.502248,0.494894,0.502248,11,boy,0,0.502248,0.494898,0.502248,0.956469,0.951668,0.452866,0.428155,0.452866,0.428155,0,0
CIFAR100,8,293,2,baby,0,11,boy,0,0.672189,0.283358,0.672189,11,boy,0,0.672188,0.283357,0.672188,0.959002,0.95566,0.518599,0.532637,0.518599,0.532637,0,0
CIFAR100,8,295,2,baby,0,5,bed,0,0.999999,0.0,0.999999,5,bed,0,0.999999,0.0,0.999999,0.869736,0.901299,0.174234,0.686692,0.174234,0.686692,0,0
CIFAR100,8,303,3,bear,0,52,oak tree,0,0.316919,0.263816,0.316919,52,oak tree,0,0.316919,0.264157,0.316919,0.930854,0.886835,0.329232,0.085756,0.329232,0.085756,0,0
CIFAR100,8,314,3,bear,0,35,girl,0,0.396995,0.17657,0.396995,21,chimpanzee,0,0.32664,0.170578,0.32664,0.907035,0.927283,0.317878,0.322278,0.317878,0.322278,0,0
CIFAR100,8,335,3,bear,0,3,bear,0,0.388461,0.388461,0.388461,52,oak tree,0,0.400031,0.392848,0.400031,0.946284,0.890513,0.349796,0.142266,0.349796,0.142266,1,0
CIFAR100,8,338,3,bear,0,4,beaver,0,0.445549,0.423646,0.445549,4,beaver,0,0.446811,0.431968,0.446811,0.918359,0.912331,0.386316,0.386318,0.386316,0.386318,0,0
CIFAR100,8,360,3,bear,0,95,whale,8,0.508909,0.010591,0.508909,95,whale,8,0.581384,0.002215,0.581384,0.851571,0.895543,0.385759,0.462577,0.385759,0.531921,0,0
CIFAR100,8,366,3,bear,0,55,otter,0,0.765434,0.007448,0.765434,55,otter,0,0.743358,0.006999,0.743358,0.917984,0.927672,0.274971,0.450064,0.274971,0.450064,0,0
CIFAR100,8,389,3,bear,0,31,elephant,0,0.991926,0.001202,0.991926,31,elephant,0,0.991904,0.001202,0.991904,0.883474,0.9105,0.418275,0.594205,0.418275,0.594205,0,0
CIFAR100,8,401,4,beaver,0,51,mushroom,0,0.415513,0.048777,0.415513,74,shrew,3,0.261,0.037033,0.261,0.891554,0.865204,0.318661,0.376348,0.318661,0.418914,0,0
CIFAR100,8,402,4,beaver,0,80,squirrel,5,0.603257,2.2e-05,0.603257,80,squirrel,5,0.604356,0.0,0.604356,0.904112,0.924306,0.246973,0.477369,0.246973,0.638828,0,0
CIFAR100,8,403,4,beaver,0,50,mouse,0,0.405624,0.054849,0.405624,50,mouse,0,0.405716,0.055814,0.405716,0.856736,0.823196,0.377758,0.296408,0.377758,0.296408,0,0
CIFAR100,8,411,4,beaver,0,55,otter,0,0.849422,0.131366,0.849422,55,otter,0,0.848709,0.131158,0.848709,0.946315,0.941903,0.490799,0.517219,0.490799,0.517219,0,0
CIFAR100,8,413,4,beaver,0,33,forest,0,0.459004,0.081201,0.459004,33,forest,0,0.26507,0.079495,0.26507,0.958404,0.941111,0.314477,0.396904,0.314477,0.396904,0,0
CIFAR100,8,418,4,beaver,0,50,mouse,0,0.461442,0.242425,0.461442,50,mouse,0,0.46077,0.240139,0.46077,0.913605,0.90656,0.507561,0.414227,0.507561,0.414227,0,0
CIFAR100,8,427,4,beaver,0,55,otter,0,0.458806,0.219576,0.458806,74,shrew,3,0.420876,0.117725,0.420876,0.896177,0.882362,0.467464,0.428817,0.467464,0.474156,0,0
CIFAR100,8,428,4,beaver,0,50,mouse,0,0.732137,0.044388,0.732137,50,mouse,0,0.755444,0.047503,0.755444,0.925325,0.918098,0.397873,0.426394,0.397873,0.426394,0,0
CIFAR100,8,437,4,beaver,0,33,forest,0,0.870243,0.024016,0.870243,33,forest,0,0.863913,0.023693,0.863913,0.916439,0.935748,0.264233,0.437635,0.264233,0.437635,0,0
CIFAR100,8,441,4,beaver,0,50,mouse,0,0.477863,0.052356,0.477863,50,mouse,0,0.462668,0.042202,0.462668,0.947437,0.933378,0.298352,0.321969,0.298352,0.321969,0,0
CIFAR100,8,443,4,beaver,0,50,mouse,0,0.731856,0.087841,0.731856,50,mouse,0,0.732676,0.088058,0.732676,0.910788,0.913167,0.429773,0.394084,0.429773,0.394084,0,0
CIFAR100,8,447,4,beaver,0,43,lion,0,0.419636,0.311333,0.419636,43,lion,0,0.414118,0.225249,0.414118,0.949579,0.924904,0.371491,0.308453,0.371491,0.308453,0,0
CIFAR100,8,453,4,beaver,0,55,otter,0,0.854015,0.143652,0.854015,55,otter,0,0.851931,0.142993,0.851931,0.935781,0.938168,0.447926,0.496527,0.447926,0.496527,0,0
CIFAR100,8,464,4,beaver,0,55,otter,0,0.806247,0.172046,0.806247,55,otter,0,0.79898,0.168969,0.79898,0.898674,0.907762,0.472608,0.535328,0.472608,0.535328,0,0
CIFAR100,8,467,4,beaver,0,52,oak tree,0,0.399339,0.303429,0.399339,52,oak tree,0,0.399331,0.29709,0.399331,0.910878,0.891786,0.319671,0.087484,0.319671,0.087484,0,0
CIFAR100,8,475,4,beaver,0,55,otter,0,0.986005,0.00505,0.986005,55,otter,0,0.98473,0.005039,0.98473,0.855639,0.87866,0.324208,0.395191,0.324208,0.395191,0,0
CIFAR100,8,478,4,beaver,0,55,otter,0,0.887199,0.100269,0.887199,55,otter,0,0.884785,0.099773,0.884785,0.928079,0.93518,0.519702,0.546853,0.519702,0.546853,0,0
CIFAR100,8,486,4,beaver,0,50,mouse,0,0.419366,0.385137,0.419366,50,mouse,0,0.419282,0.383484,0.419282,0.936512,0.939556,0.444811,0.346919,0.444811,0.346919,0,0
CIFAR100,8,531,5,bed,0,5,bed,0,0.537843,0.537843,0.537843,52,oak tree,0,0.400006,0.350511,0.400006,0.936597,0.857599,0.340905,0.168634,0.340905,0.168634,1,0
CIFAR100,8,535,5,bed,0,52,oak tree,0,0.371373,0.011241,0.371373,52,oak tree,0,0.371372,0.00832,0.371372,0.898362,0.833847,0.167481,0.089261,0.167481,0.089261,0,0
