eval_session,class_id,class_name,intro_session,query_count,accuracy
0,0,apple,0,100,99.0
0,1,aquarium fish,0,100,99.0
0,2,baby,0,100,76.0
0,3,bear,0,100,94.0
0,4,beaver,0,100,84.0
0,5,bed,0,100,97.0
0,6,bee,0,100,92.0
0,7,beetle,0,100,81.0
0,8,bicycle,0,100,96.0
0,9,bottle,0,100,99.0
0,10,bowl,0,100,76.0
0,11,boy,0,100,79.0
0,12,bridge,0,100,91.0
0,13,bus,0,100,89.0
0,14,butterfly,0,100,89.0
0,15,camel,0,100,96.0
0,16,can,0,100,92.0
0,17,castle,0,100,90.0
0,18,caterpillar,0,100,85.0
0,19,cattle,0,100,95.0
0,20,chair,0,100,93.0
0,21,chimpanzee,0,100,100.0
0,22,clock,0,100,95.0
0,23,cloud,0,100,89.0
0,24,cockroach,0,100,97.0
0,25,couch,0,100,82.0
0,26,crab,0,100,86.0
0,27,crocodile,0,100,83.0
0,28,cup,0,100,90.0
0,29,dinosaur,0,100,94.0
0,30,dolphin,0,100,98.0
0,31,elephant,0,100,97.0
0,32,flatfish,0,100,87.0
0,33,forest,0,100,76.0
0,34,fox,0,100,93.0
0,35,girl,0,100,79.0
0,36,hamster,0,100,94.0
0,37,house,0,100,95.0
0,38,kangaroo,0,100,95.0
0,39,keyboard,0,100,98.0
0,40,lamp,0,100,81.0
0,41,lawn mower,0,100,99.0
0,42,leopard,0,100,91.0
0,43,lion,0,100,96.0
0,44,lizard,0,100,88.0
0,45,lobster,0,100,73.0
0,46,man,0,100,77.0
0,47,maple tree,0,100,55.0
0,48,motorcycle,0,100,97.0
0,49,mountain,0,100,97.0
0,50,mouse,0,100,93.0
0,51,mushroom,0,100,97.0
0,52,oak tree,0,100,82.0
0,53,orange,0,100,100.0
0,54,orchid,0,100,96.0
0,55,otter,0,100,79.0
0,56,palm tree,0,100,97.0
0,57,pear,0,100,91.0
0,58,pickup truck,0,100,99.0
0,59,pine tree,0,100,77.0
1,0,apple,0,100,99.0
1,1,aquarium fish,0,100,99.0
1,2,baby,0,100,76.0
1,3,bear,0,100,94.0
1,4,beaver,0,100,80.0
1,5,bed,0,100,97.0
1,6,bee,0,100,91.0
1,7,beetle,0,100,81.0
1,8,bicycle,0,100,96.0
1,9,bottle,0,100,99.0
1,10,bowl,0,100,71.0
1,11,boy,0,100,80.0
1,12,bridge,0,100,91.0
1,13,bus,0,100,89.0
1,14,butterfly,0,100,88.0
1,15,camel,0,100,96.0
1,16,can,0,100,92.0
1,17,castle,0,100,90.0
1,18,caterpillar,0,100,86.0
1,19,cattle,0,100,95.0
1,20,chair,0,100,93.0
1,21,chimpanzee,0,100,100.0
1,22,clock,0,100,95.0
1,23,cloud,0,100,90.0
1,24,cockroach,0,100,97.0
1,25,couch,0,100,82.0
1,26,crab,0,100,86.0
1,27,crocodile,0,100,83.0
1,28,cup,0,100,90.0
1,29,dinosaur,0,100,94.0
1,30,dolphin,0,100,98.0
1,31,elephant,0,100,97.0
1,32,flatfish,0,100,87.0
1,33,forest,0,100,75.0
1,34,fox,0,100,93.0
1,35,girl,0,100,78.0
1,36,hamster,0,100,94.0
1,37,house,0,100,95.0
1,38,kangaroo,0,100,95.0
1,39,keyboard,0,100,98.0
1,40,lamp,0,100,80.0
1,41,lawn mower,0,100,99.0
1,42,leopard,0,100,91.0
1,43,lion,0,100,96.0
1,44,lizard,0,100,88.0
1,45,lobster,0,100,73.0
1,46,man,0,100,77.0
1,47,maple tree,0,100,55.0
1,48,motorcycle,0,100,97.0
1,49,mountain,0,100,96.0
1,50,mouse,0,100,92.0
1,51,mushroom,0,100,95.0
1,52,oak tree,0,100,82.0
1,53,orange,0,100,100.0
1,54,orchid,0,100,95.0
1,55,otter,0,100,80.0
1,56,palm tree,0,100,96.0
1,57,pear,0,100,90.0
1,58,pickup truck,0,100,99.0
1,59,pine tree,0,100,77.0
1,60,plain,1,100,62.0
1,61,plate,1,100,70.0
1,62,poppy,1,100,98.0
1,63,porcupine,1,100,54.0
1,64,possum,1,100,69.0
2,0,apple,0,100,99.0
2,1,aquarium fish,0,100,99.0
2,2,baby,0,100,76.0
2,3,bear,0,100,94.0
2,4,beaver,0,100,82.0
2,5,bed,0,100,96.0
2,6,bee,0,100,91.0
2,7,beetle,0,100,81.0
2,8,bicycle,0,100,96.0
2,9,bottle,0,100,97.0
2,10,bowl,0,100,71.0
2,11,boy,0,100,80.0
2,12,bridge,0,100,90.0
2,13,bus,0,100,89.0
2,14,butterfly,0,100,87.0
2,15,camel,0,100,96.0
2,16,can,0,100,91.0
2,17,castle,0,100,90.0
2,18,caterpillar,0,100,86.0
2,19,cattle,0,100,95.0
2,20,chair,0,100,93.0
2,21,chimpanzee,0,100,100.0
2,22,clock,0,100,95.0
2,23,cloud,0,100,91.0
2,24,cockroach,0,100,97.0
2,25,couch,0,100,82.0
2,26,crab,0,100,86.0
2,27,crocodile,0,100,79.0
2,28,cup,0,100,90.0
2,29,dinosaur,0,100,94.0
2,30,dolphin,0,100,96.0
2,31,elephant,0,100,97.0
2,32,flatfish,0,100,87.0
2,33,forest,0,100,75.0
2,34,fox,0,100,93.0
2,35,girl,0,100,78.0
2,36,hamster,0,100,94.0
2,37,house,0,100,93.0
2,38,kangaroo,0,100,95.0
2,39,keyboard,0,100,98.0
2,40,lamp,0,100,80.0
2,41,lawn mower,0,100,99.0
2,42,leopard,0,100,91.0
2,43,lion,0,100,96.0
2,44,lizard,0,100,88.0
2,45,lobster,0,100,71.0
2,46,man,0,100,77.0
2,47,maple tree,0,100,55.0
2,48,motorcycle,0,100,97.0
2,49,mountain,0,100,96.0
2,50,mouse,0,100,92.0
2,51,mushroom,0,100,95.0
2,52,oak tree,0,100,83.0
2,53,orange,0,100,100.0
2,54,orchid,0,100,95.0
2,55,otter,0,100,81.0
2,56,palm tree,0,100,96.0
2,57,pear,0,100,90.0
2,58,pickup truck,0,100,99.0
2,59,pine tree,0,100,77.0
2,60,plain,1,100,57.0
2,61,plate,1,100,71.0
2,62,poppy,1,100,98.0
2,63,porcupine,1,100,54.0
2,64,possum,1,100,65.0
2,65,rabbit,2,100,83.0
2,66,raccoon,2,100,87.0
2,67,ray,2,100,72.0
2,68,road,2,100,87.0
2,69,rocket,2,100,89.0
3,0,apple,0,100,99.0
3,1,aquarium fish,0,100,99.0
3,2,baby,0,100,75.0
3,3,bear,0,100,95.0
3,4,beaver,0,100,81.0
3,5,bed,0,100,96.0
3,6,bee,0,100,91.0
3,7,beetle,0,100,81.0
3,8,bicycle,0,100,96.0
3,9,bottle,0,100,97.0
3,10,bowl,0,100,70.0
3,11,boy,0,100,81.0
3,12,bridge,0,100,91.0
3,13,bus,0,100,89.0
3,14,butterfly,0,100,87.0
3,15,camel,0,100,96.0
3,16,can,0,100,91.0
3,17,castle,0,100,91.0
3,18,caterpillar,0,100,85.0
3,19,cattle,0,100,94.0
3,20,chair,0,100,93.0
3,21,chimpanzee,0,100,100.0
3,22,clock,0,100,95.0
3,23,cloud,0,100,86.0
3,24,cockroach,0,100,96.0
3,25,couch,0,100,81.0
3,26,crab,0,100,85.0
3,27,crocodile,0,100,81.0
3,28,cup,0,100,90.0
3,29,dinosaur,0,100,94.0
3,30,dolphin,0,100,94.0
3,31,elephant,0,100,97.0
3,32,flatfish,0,100,87.0
3,33,forest,0,100,75.0
3,34,fox,0,100,92.0
3,35,girl,0,100,77.0
3,36,hamster,0,100,94.0
3,37,house,0,100,93.0
3,38,kangaroo,0,100,95.0
3,39,keyboard,0,100,98.0
3,40,lamp,0,100,79.0
3,41,lawn mower,0,100,99.0
3,42,leopard,0,100,91.0
3,43,lion,0,100,95.0
3,44,lizard,0,100,88.0
3,45,lobster,0,100,72.0
3,46,man,0,100,77.0
3,47,maple tree,0,100,55.0
3,48,motorcycle,0,100,97.0
3,49,mountain,0,100,94.0
3,50,mouse,0,100,93.0
3,51,mushroom,0,100,95.0
3,52,oak tree,0,100,83.0
3,53,orange,0,100,100.0
3,54,orchid,0,100,94.0
3,55,otter,0,100,81.0
3,56,palm tree,0,100,96.0
3,57,pear,0,100,90.0
3,58,pickup truck,0,100,99.0
3,59,pine tree,0,100,77.0
3,60,plain,1,100,57.0
3,61,plate,1,100,70.0
