eval_session,true_class_id,true_class_name,final_pred_class_id,final_pred_class_name,count,mean_final_pred_conf,mean_final_true_prob,mean_final_pred_prob,mean_clip_true_sim,mean_clip_pred_sim,mean_dino_true_sim_raw,mean_dino_pred_sim_raw,mean_dino_true_sim_final,mean_dino_pred_sim_final,query_numbers
10,0,Black footed Albatross,2,Sooty Albatross,1,0.930401,0.062408,0.930401,0.83178,0.875364,0.783919,0.802205,0.783919,0.802205,26
10,1,Laysan Albatross,0,Black footed Albatross,1,0.650974,0.332401,0.650974,0.909181,0.911184,0.715975,0.720715,0.715975,0.720715,30
10,1,Laysan Albatross,2,Sooty Albatross,1,0.681736,0.027343,0.681736,0.84509,0.85497,0.409394,0.444964,0.409394,0.444964,42
10,1,Laysan Albatross,83,Red legged Kittiwake,1,0.97629,0.0,0.97629,0.819577,0.862291,0.311808,0.701192,0.311808,0.701192,41
10,4,Crested Auklet,7,Rhinoceros Auklet,1,0.978904,0.012664,0.978904,0.890723,0.891481,0.610078,0.694617,0.610078,0.694617,120
10,6,Parakeet Auklet,7,Rhinoceros Auklet,1,0.982184,0.017016,0.982184,0.891212,0.927313,0.718694,0.780193,0.718694,0.780193,155
10,7,Rhinoceros Auklet,5,Least Auklet,2,0.751921,0.115505,0.751921,0.89505,0.892818,0.580283,0.615091,0.580283,0.615091,169 170
10,8,Brewer Blackbird,10,Rusty Blackbird,4,0.943607,0.002597,0.943607,0.89448,0.883881,0.49232,0.686493,0.49232,0.686493,190 194 201 208
10,8,Brewer Blackbird,26,Shiny Cowbird,2,0.668007,0.144414,0.668007,0.893027,0.896981,0.777078,0.786355,0.777078,0.786355,185 193
10,8,Brewer Blackbird,48,Boat tailed Grackle,2,0.947894,0.0176,0.947894,0.913447,0.923999,0.624559,0.687586,0.624559,0.687586,188 191
10,10,Rusty Blackbird,8,Brewer Blackbird,5,0.859733,0.012437,0.859733,0.902346,0.909755,0.586898,0.766212,0.586898,0.766212,244 251 259 261 269
10,10,Rusty Blackbird,26,Shiny Cowbird,2,0.728623,0.000795,0.728623,0.885793,0.931181,0.596135,0.777865,0.596135,0.777865,243 248
10,10,Rusty Blackbird,48,Boat tailed Grackle,3,0.860201,0.0,0.860201,0.879463,0.908561,0.449385,0.783376,0.449385,0.783376,247 262 267
10,12,Bobolink,123,Le Conte Sparrow,1,0.385821,0.003193,0.385821,0.886727,0.882641,0.364378,0.480343,0.364378,0.495207,300
10,14,Lazuli Bunting,53,Blue Grosbeak,1,0.527305,0.001601,0.527305,0.923601,0.929487,0.719001,0.820334,0.719001,0.820334,375
10,15,Painted Bunting,172,Orange crowned Warbler,1,0.491363,0.002681,0.491363,0.823507,0.89042,0.245521,0.304338,0.245521,0.306669,395
10,21,Chuck will Widow,91,Nighthawk,1,0.730912,0.261767,0.730912,0.911014,0.925066,0.751599,0.73288,0.751599,0.73288,548
10,21,Chuck will Widow,104,Whip poor Will,1,0.761215,0.017483,0.761215,0.868051,0.911798,0.686151,0.77739,0.686151,0.77739,569
10,22,Brandt Cormorant,23,Red faced Cormorant,1,0.531434,0.442114,0.531434,0.92251,0.927884,0.785723,0.798016,0.785723,0.798016,583
10,22,Brandt Cormorant,24,Pelagic Cormorant,7,0.887438,0.10474,0.887438,0.88871,0.893049,0.618067,0.661663,0.618067,0.661663,573 574 576 577 579 594 596
10,22,Brandt Cormorant,57,Pigeon Guillemot,1,1.0,0.0,1.0,0.845759,0.922233,0.294681,0.819243,0.294681,0.819243,580
10,23,Red faced Cormorant,22,Brandt Cormorant,1,0.910492,0.009614,0.910492,0.898571,0.912935,0.71624,0.795615,0.71624,0.795615,609
10,23,Red faced Cormorant,24,Pelagic Cormorant,2,0.97739,0.00409,0.97739,0.848186,0.883705,0.612888,0.697596,0.612888,0.697596,600 619
10,24,Pelagic Cormorant,22,Brandt Cormorant,6,0.804023,0.179728,0.804023,0.890507,0.891233,0.74803,0.776357,0.74803,0.776357,624 638 640 647 650 651
10,24,Pelagic Cormorant,23,Red faced Cormorant,3,0.928292,0.071182,0.928292,0.882896,0.885782,0.733648,0.783846,0.733648,0.783846,629 632 649
10,25,Bronzed Cowbird,26,Shiny Cowbird,2,0.799685,0.031562,0.799685,0.880111,0.904652,0.662062,0.708702,0.662062,0.708702,676 677
10,26,Shiny Cowbird,10,Rusty Blackbird,5,0.898665,0.06375,0.898665,0.873076,0.876577,0.411745,0.564518,0.411745,0.564518,684 695 697 703 704
10,26,Shiny Cowbird,25,Bronzed Cowbird,1,0.44038,0.04599,0.44038,0.930817,0.936759,0.737092,0.77065,0.737092,0.77065,689
10,26,Shiny Cowbird,34,Purple Finch,1,0.581288,0.00057,0.581288,0.881884,0.834996,0.319655,0.525852,0.319655,0.525852,706
10,26,Shiny Cowbird,48,Boat tailed Grackle,1,0.673999,0.2131,0.673999,0.912286,0.913841,0.730869,0.749183,0.730869,0.749183,696
10,28,American Crow,29,Fish Crow,4,0.66057,0.263221,0.66057,0.913097,0.920807,0.764561,0.77947,0.764561,0.77947,744 746 749 753
10,28,American Crow,106,Common Raven,2,0.508324,0.173617,0.508324,0.909289,0.904214,0.814852,0.83024,0.814852,0.840808,755 770
10,29,Fish Crow,28,American Crow,10,0.743732,0.17212,0.743732,0.917741,0.921015,0.787902,0.81199,0.787902,0.81199,776 777 780 781 782 787 788 790 792 799
10,29,Fish Crow,48,Boat tailed Grackle,2,0.934059,0.000935,0.934059,0.912917,0.927818,0.678967,0.826215,0.678967,0.826215,774 783
10,30,Black billed Cuckoo,31,Mangrove Cuckoo,1,0.966004,0.021213,0.966004,0.877217,0.896927,0.653764,0.700294,0.653764,0.700294,811
10,30,Black billed Cuckoo,32,Yellow billed Cuckoo,3,0.909005,0.090856,0.909005,0.930253,0.935905,0.709075,0.77818,0.709075,0.77818,805 814 821
10,31,Mangrove Cuckoo,30,Black billed Cuckoo,1,0.545134,0.353754,0.545134,0.906104,0.90756,0.526104,0.527668,0.526104,0.527668,853
10,31,Mangrove Cuckoo,71,Pomarine Jaeger,1,0.366869,3.7e-05,0.366869,0.647437,0.773424,0.200874,0.273436,0.200874,0.273436,837
10,32,Yellow billed Cuckoo,31,Mangrove Cuckoo,1,0.602144,0.391765,0.602144,0.913245,0.908677,0.622061,0.617756,0.622061,0.617756,854
