class_id,class_name,intro_session,0:Black footed Albatross,1:Laysan Albatross,2:Sooty Albatross,3:Groove billed Ani,4:Crested Auklet,5:Least Auklet,6:Parakeet Auklet,7:Rhinoceros Auklet,8:Brewer Blackbird,9:Red winged Blackbird,10:Rusty Blackbird,11:Yellow headed Blackbird,12:Bobolink,13:Indigo Bunting,14:Lazuli Bunting,15:Painted Bunting,16:Cardinal,17:Spotted Catbird,18:Gray Catbird,19:Yellow breasted Chat,20:Eastern Towhee,21:Chuck will Widow,22:Brandt Cormorant,23:Red faced Cormorant,24:Pelagic Cormorant,25:Bronzed Cowbird,26:Shiny Cowbird,27:Brown Creeper,28:American Crow,29:Fish Crow,30:Black billed Cuckoo,31:Mangrove Cuckoo,32:Yellow billed Cuckoo,33:Gray crowned Rosy Finch,34:Purple Finch,35:Northern Flicker,36:Acadian Flycatcher,37:Great Crested Flycatcher,38:Least Flycatcher,39:Olive sided Flycatcher,40:Scissor tailed Flycatcher,41:Vermilion Flycatcher,42:Yellow bellied Flycatcher,43:Frigatebird,44:Northern Fulmar,45:Gadwall,46:American Goldfinch,47:European Goldfinch,48:Boat tailed Grackle,49:Eared Grebe,50:Horned Grebe,51:Pied billed Grebe,52:Western Grebe,53:Blue Grosbeak,54:Evening Grosbeak,55:Pine Grosbeak,56:Rose breasted Grosbeak,57:Pigeon Guillemot,58:California Gull,59:Glaucous winged Gull,60:Heermann Gull,61:Herring Gull,62:Ivory Gull,63:Ring billed Gull,64:Slaty backed Gull,65:Western Gull,66:Anna Hummingbird,67:Ruby throated Hummingbird,68:Rufous Hummingbird,69:Green Violetear,70:Long tailed Jaeger,71:Pomarine Jaeger,72:Blue Jay,73:Florida Jay,74:Green Jay,75:Dark eyed Junco,76:Tropical Kingbird,77:Gray Kingbird,78:Belted Kingfisher,79:Green Kingfisher,80:Pied Kingfisher,81:Ringed Kingfisher,82:White breasted Kingfisher,83:Red legged Kittiwake,84:Horned Lark,85:Pacific Loon,86:Mallard,87:Western Meadowlark,88:Hooded Merganser,89:Red breasted Merganser,90:Mockingbird,91:Nighthawk,92:Clark Nutcracker,93:White breasted Nuthatch,94:Baltimore Oriole,95:Hooded Oriole,96:Orchard Oriole,97:Scott Oriole,98:Ovenbird,99:Brown Pelican,100:White Pelican,101:Western Wood Pewee,102:Sayornis,103:American Pipit,104:Whip poor Will,105:Horned Puffin,106:Common Raven,107:White necked Raven,108:American Redstart,109:Geococcyx,110:Loggerhead Shrike,111:Great Grey Shrike,112:Baird Sparrow,113:Black throated Sparrow,114:Brewer Sparrow,115:Chipping Sparrow,116:Clay colored Sparrow,117:House Sparrow,118:Field Sparrow,119:Fox Sparrow,120:Grasshopper Sparrow,121:Harris Sparrow,122:Henslow Sparrow,123:Le Conte Sparrow,124:Lincoln Sparrow,125:Nelson Sharp tailed Sparrow,126:Savannah Sparrow,127:Seaside Sparrow,128:Song Sparrow,129:Tree Sparrow,130:Vesper Sparrow,131:White crowned Sparrow,132:White throated Sparrow,133:Cape Glossy Starling,134:Bank Swallow,135:Barn Swallow,136:Cliff Swallow,137:Tree Swallow,138:Scarlet Tanager,139:Summer Tanager,140:Artic Tern,141:Black Tern,142:Caspian Tern,143:Common Tern,144:Elegant Tern,145:Forsters Tern,146:Least Tern,147:Green tailed Towhee,148:Brown Thrasher,149:Sage Thrasher,150:Black capped Vireo,151:Blue headed Vireo,152:Philadelphia Vireo,153:Red eyed Vireo,154:Warbling Vireo,155:White eyed Vireo,156:Yellow throated Vireo,157:Bay breasted Warbler,158:Black and white Warbler,159:Black throated Blue Warbler,160:Blue winged Warbler,161:Canada Warbler,162:Cape May Warbler,163:Cerulean Warbler,164:Chestnut sided Warbler,165:Golden winged Warbler,166:Hooded Warbler,167:Kentucky Warbler,168:Magnolia Warbler,169:Mourning Warbler,170:Myrtle Warbler,171:Nashville Warbler,172:Orange crowned Warbler,173:Palm Warbler,174:Pine Warbler,175:Prairie Warbler,176:Prothonotary Warbler,177:Swainson Warbler,178:Tennessee Warbler,179:Wilson Warbler,180:Worm eating Warbler,181:Yellow Warbler,182:Northern Waterthrush,183:Louisiana Waterthrush,184:Bohemian Waxwing,185:Cedar Waxwing,186:American Three toed Woodpecker,187:Pileated Woodpecker,188:Red bellied Woodpecker,189:Red cockaded Woodpecker,190:Red headed Woodpecker,191:Downy Woodpecker,192:Bewick Wren,193:Cactus Wren,194:Carolina Wren,195:House Wren,196:Marsh Wren,197:Rock Wren,198:Winter Wren,199:Common Yellowthroat
0,Black footed Albatross,0,1.000000,0.853124,0.867143,0.011606,0.265038,0.277885,0.222352,0.298765,0.054291,-0.026711,0.096797,0.026629,-0.045610,0.032981,0.022156,0.050611,0.016412,0.047053,0.079629,0.086097,-0.061164,0.041260,0.247483,0.145759,0.172067,0.012774,0.029528,0.047785,0.082052,0.058121,0.072220,0.055342,0.051521,0.045187,0.027736,-0.008252,0.021097,0.035078,0.011299,-0.004830,-0.012561,0.046617,0.037794,0.319121,0.752162,0.140212,0.025331,-0.028266,0.048989,0.131126,0.124335,0.156398,0.151403,0.014861,0.042595,0.027602,-0.026546,0.194036,0.085562,0.117840,0.155485,0.095253,0.158672,0.060798,0.210450,0.083844,-0.002396,-0.007278,-0.004370,0.031213,0.393028,0.574170,-0.002080,-0.002643,0.025848,-0.015791,0.052753,0.047025,-0.022259,0.018507,-0.003317,0.025893,0.032515,0.157578,-0.054783,0.169345,0.025264,-0.046941,0.021217,0.048746,-0.056931,0.041148,0.102991,0.013058,0.073920,0.036883,0.057581,0.066712,0.000358,0.235852,0.170192,0.003541,0.009383,-0.058496,0.021940,0.099049,0.089144,0.106042,-0.022281,-0.030996,-0.014255,-0.027769,-0.040097,-0.004993,-0.000301,0.008027,-0.023193,0.028484,-0.020584,0.030739,-0.024624,-0.045155,-0.005177,-0.011271,-0.007051,0.008771,-0.015429,0.031208,0.002273,-0.032452,-0.039537,0.007497,0.024782,0.019726,0.036736,-0.016405,0.007989,-0.025914,0.066947,0.096396,0.008967,0.136720,0.046350,0.013569,0.023400,0.034877,0.016060,0.030976,-0.062328,-0.080883,0.033873,0.052153,0.101625,0.106685,0.073953,0.049161,0.099197,0.009311,-0.009904,-0.049040,0.042449,0.017787,-0.009722,-0.029937,-0.013559,-0.020399,0.052987,0.061596,0.000905,0.067115,-0.025807,0.074252,0.075979,-0.008876,0.040598,0.001333,0.096582,0.126803,0.096153,0.083226,0.114045,0.043257,0.038399,0.034321,0.038295,0.053799,0.028176,0.013067,-0.017471,0.006733,-0.022971,-0.033756,0.088443,-0.009824,0.064799,0.080714,0.087114,0.047166,0.085612,0.047607
1,Laysan Albatross,0,0.853124,1.000000,0.834616,0.004042,0.229021,0.242662,0.236479,0.219622,0.008772,-0.058055,0.016728,0.033196,-0.023650,0.034210,0.027883,0.031979,0.033681,0.004991,0.038583,0.075439,-0.018801,0.009445,0.195396,0.164633,0.123630,-0.020268,-0.010016,0.060906,0.029564,0.008575,0.055537,0.073425,0.094180,0.042311,0.022222,-0.007407,0.026487,0.059946,0.024834,0.007962,0.078002,0.061849,0.041332,0.363125,0.725057,0.052606,0.093220,0.008880,0.000961,0.086420,0.089202,0.094092,0.141666,0.008253,0.076034,-0.000344,0.001335,0.164858,0.183904,0.165719,0.181284,0.171225,0.214839,0.127331,0.241060,0.176103,0.025792,0.031727,0.027688,0.036004,0.399894,0.484547,0.011183,-0.013420,0.058040,0.055125,0.092714,0.075345,0.024430,0.030652,0.039179,0.040556,0.038158,0.266906,-0.005560,0.132773,0.002846,-0.026943,0.040174,0.055957,-0.033194,0.027804,0.098746,0.057737,0.083420,0.068400,0.042966,0.078355,0.016855,0.261327,0.238321,0.021935,0.027697,-0.033703,0.007647,0.133861,0.052665,0.089646,-0.011390,-0.035884,0.016515,0.005371,-0.017619,0.020121,0.004793,0.013954,-0.009299,0.002419,-0.011832,0.036486,-0.007594,-0.004294,0.001287,0.010787,-0.011355,0.017936,0.005307,-0.000399,-0.002331,-0.040318,-0.022998,0.030120,0.022548,0.000046,0.054446,-0.017272,0.006252,0.012494,0.059636,0.066912,0.097152,0.155823,0.134178,0.094849,0.109827,0.124919,0.099528,0.017370,-0.068616,-0.093445,0.022545,0.037666,0.086289,0.095168,0.069514,0.037981,0.086174,0.009240,0.023977,-0.014833,0.089487,0.053026,0.019408,-0.014246,0.005941,-0.008554,0.095292,0.088952,0.033556,0.097506,-0.009306,0.083695,0.078681,0.021582,0.069892,0.042230,0.114346,0.122016,0.093018,0.105002,0.111653,0.083455,0.056832,0.073971,0.043677,0.055843,0.050514,0.019633,0.003517,0.015747,-0.003357,0.003836,0.082383,-0.034950,0.057067,0.066663,0.083211,0.063731,0.065785,0.070770
2,Sooty Albatross,0,0.867143,0.834616,1.000000,-0.009849,0.370662,0.385683,0.329843,0.318352,0.084585,0.003139,0.104987,0.019376,-0.014401,0.050071,0.006644,0.050508,0.027650,0.026073,0.134886,0.068282,-0.012623,0.065637,0.240430,0.183318,0.157458,0.034052,0.054718,0.028864,0.123890,0.095814,0.060485,0.084345,0.076833,0.059692,-0.023328,0.004628,0.019697,0.034780,0.022025,0.022020,0.016017,0.039640,0.034371,0.372654,0.782999,0.110093,0.042715,-0.027013,0.059584,0.111887,0.101803,0.107971,0.117393,0.010747,0.061753,0.012113,-0.028639,0.299119,0.165644,0.177613,0.237718,0.179221,0.274244,0.149556,0.259060,0.155292,0.050226,0.044559,0.049665,0.068416,0.533649,0.633833,0.005407,0.022081,0.061766,0.036724,0.060685,0.052684,0.045424,0.033399,0.008380,0.068192,0.043371,0.302641,-0.020327,0.156297,0.021263,-0.050193,0.064323,0.077780,-0.034519,0.102222,0.128430,0.035097,0.057941,0.043406,0.066001,0.060076,0.008972,0.212863,0.148449,0.013454,0.054654,-0.024130,0.074362,0.109962,0.124848,0.155028,-0.008014,-0.039906,0.025770,0.003173,-0.048412,0.030882,0.004547,-0.006052,-0.023720,0.020790,-0.030243,0.063269,-0.039482,-0.030768,-0.021014,-0.027490,-0.004448,-0.006549,-0.017828,0.007596,-0.001235,-0.023927,-0.025412,0.017835,0.024216,0.017437,0.077609,-0.001225,0.011417,-0.018306,0.048585,0.065398,0.159030,0.312107,0.165436,0.137298,0.148212,0.164184,0.123472,0.046237,-0.067000,-0.045013,0.024186,0.044337,0.077995,0.066546,0.053965,0.034527,0.074737,-0.011580,-0.006693,-0.013171,0.051433,0.032728,-0.025833,-0.032387,-0.039326,0.003623,0.051995,0.045832,0.003649,0.068831,-0.016459,0.076909,0.072505,-0.021697,0.041224,-0.008146,0.112079,0.091114,0.089262,0.071565,0.082396,0.061198,0.038320,0.045074,0.088924,0.095221,0.037458,-0.015100,-0.026102,-0.011366,-0.036256,-0.043219,0.090460,0.001384,0.046870,0.088019,0.069088,0.091196,0.086492,0.065825
3,Groove billed Ani,0,0.011606,0.004042,-0.009849,1.000000,0.007488,0.047455,0.017764,0.062988,0.343678,0.246010,0.242672,0.177027,0.148106,0.089518,0.063254,0.043903,0.074244,0.217192,0.183438,0.032896,0.142099,0.054846,0.125057,0.110447,0.183491,0.456510,0.430039,0.049378,0.414063,0.441063,0.310937,0.324198,0.260791,0.049015,0.001027,0.083521,-0.051722,0.047130,-0.027661,0.008204,0.180610,0.081359,-0.025764,0.123550,0.059811,0.064753,-0.013488,-0.019158,0.383481,-0.018584,-0.016971,0.028355,-0.034069,0.115835,0.025193,0.035437,0.083664,0.041736,0.056811,0.074381,0.052268,0.060711,0.080576,0.065112,0.063764,0.051728,0.047082,-0.018039,-0.008900,0.118958,0.070168,0.047897,-0.009800,0.267426,0.111482,0.027213,0.085078,0.110515,0.114598,0.112284,0.064218,0.074266,0.047227,0.051885,0.006782,0.028463,0.042828,0.013492,-0.024034,-0.030999,0.127152,0.016765,0.074927,0.048123,0.028729,0.056562,0.143548,0.065026,-0.026880,-0.004038,-0.024307,-0.006166,0.080590,-0.012274,0.059807,0.000086,0.423764,0.358622,0.055994,0.289276,0.157224,0.120286,0.046096,0.035683,0.034281,0.001017,0.011490,0.060488,0.038614,0.027673,0.052910,0.022488,0.074934,0.047469,0.021761,0.075332,0.015535,0.161721,0.027218,0.004488,0.010669,0.002328,-0.006627,0.322723,0.027073,0.063572,0.061890,0.060232,0.044245,0.051325,0.023791,0.102815,0.022424,0.020629,0.012531,0.045337,0.025931,0.087422,0.151067,0.090191,-0.032916,-0.065346,-0.016929,-0.014487,0.015867,-0.017292,-0.048193,-0.029001,-0.035561,0.043454,-0.065277,-0.063110,-0.054968,-0.013531,0.006865,-0.035955,-0.058940,-0.052407,-0.050687,0.001823,-0.032090,-0.047149,-0.053655,-0.051168,-0.092445,-0.076748,-0.038963,0.013476,-0.016948,-0.081629,-0.047114,-0.062782,0.008542,-0.008844,-0.015259,0.004644,0.079314,0.116988,0.073589,0.054550,0.155156,0.049645,0.078104,0.150906,0.074481,0.116920,0.106790,0.101635,0.087321,-0.014934
4,Crested Auklet,0,0.265038,0.229021,0.370662,0.007488,1.000000,0.732296,0.876534,0.774956,0.157404,0.053514,0.150333,0.009559,0.028853,-0.043775,-0.089581,-0.017633,0.109372,0.128154,0.099454,0.039706,0.049657,0.080966,0.421453,0.509726,0.388932,0.118479,0.141849,0.001537,0.154629,0.135751,0.066322,0.133689,0.122187,0.089782,0.004055,0.045076,0.028461,0.043772,0.032578,0.084342,0.001019,0.067312,0.033753,0.214714,0.223547,0.059666,0.036766,0.037673,0.107984,0.220901,0.210350,0.234245,0.208212,-0.037415,0.144636,0.016912,0.035651,0.594271,0.055622,0.043180,0.140878,0.055943,0.115912,0.037719,0.071909,0.059921,0.037893,0.042953,0.033449,0.016068,0.305367,0.258907,0.001333,-0.000005,0.001924,0.067290,0.058179,0.078667,0.151457,0.150086,0.136959,0.166558,0.155928,0.182829,0.026774,0.321734,0.081311,-0.007896,0.180053,0.241526,0.010238,0.124407,0.094591,0.005966,0.034428,0.033230,0.029246,0.024759,0.026605,0.110650,0.093233,0.035650,0.068299,0.042742,0.075449,0.565856,0.145256,0.175230,0.021021,0.076646,0.064834,0.022178,-0.002785,0.061075,0.046730,0.041994,0.037643,0.056994,0.002408,0.085129,0.010267,0.003834,0.030681,0.024650,0.028278,0.047805,0.037258,0.074420,0.048171,0.022786,0.030177,0.157050,0.110693,0.063627,0.100724,0.043637,0.066186,0.028380,0.033359,0.047170,0.216061,0.242996,0.230653,0.208742,0.219252,0.219354,0.216651,0.079436,-0.014390,0.025089,0.043754,0.038070,0.041268,0.027623,0.011675,0.030859,-0.002320,-0.058326,0.024041,-0.039168,-0.026751,0.048896,-0.056277,-0.072543,-0.045817,0.023414,0.018770,0.061243,-0.003204,0.001463,-0.009036,-0.005115,-0.004007,0.004408,-0.035012,-0.017827,0.004591,0.099380,0.012382,0.032496,0.105603,-0.002546,0.114732,0.145675,0.167170,0.154009,0.117034,0.155267,0.023115,0.098575,0.029411,0.078349,0.048785,0.026358,0.043045,0.029063,0.023920,0.056312,0.043484,0.031437
5,Least Auklet,0,0.277885,0.242662,0.385683,0.047455,0.732296,1.000000,0.810624,0.641037,0.138348,0.050853,0.162520,0.052082,0.054050,-0.048695,-0.071003,-0.023786,0.030707,0.112760,0.085053,0.086145,0.066523,0.121528,0.364049,0.355624,0.330311,0.118171,0.123303,0.035427,0.135010,0.117800,0.135766,0.122783,0.124484,0.099667,0.049248,0.026872,0.056995,0.075970,0.080837,0.175671,0.078060,0.108710,0.053277,0.232005,0.345448,0.054337,-0.002358,-0.028714,0.097432,0.258665,0.249746,0.247872,0.234378,-0.050141,0.003989,0.078896,0.101442,0.543399,0.095236,0.110497,0.171019,0.111093,0.227825,0.110813,0.192162,0.093963,0.076850,0.076724,0.070527,0.044639,0.366880,0.423725,-0.034463,0.008520,-0.054816,0.006642,0.096437,0.162605,0.212495,0.228755,0.243724,0.178616,0.134031,0.230200,0.002976,0.378536,-0.000467,-0.005984,0.196265,0.260641,0.092650,0.248621,0.074228,0.037725,0.065842,0.019255,0.032131,0.062930,0.045893,0.064993,0.019174,0.086944,0.144205,0.046353,0.146537,0.446681,0.113433,0.165762,0.064068,0.055678,0.158256,0.079648,-0.003451,0.068823,0.045638,0.013509,-0.000172,0.098381,-0.016491,0.159509,-0.025686,0.060775,0.005043,0.004777,0.024974,0.033928,0.044176,0.116470,0.093734,0.035922,0.031685,0.046427,0.062716,0.027779,0.258640,0.121069,0.150885,0.154121,0.043361,0.041567,0.202519,0.297809,0.192635,0.181152,0.167209,0.238685,0.180103,0.051390,0.049664,0.107199,0.062073,0.044406,0.057632,0.043228,0.056078,0.029814,0.013893,-0.006575,0.112031,0.033256,-0.024102,0.052030,0.006106,0.052240,0.027639,0.001315,-0.036656,-0.006926,0.041707,-0.015212,0.083424,0.013427,-0.007792,0.009030,-0.023696,-0.003451,0.010775,0.064097,0.030473,-0.018972,-0.001930,0.021399,0.133399,0.163960,0.050566,0.040477,0.218947,0.161391,0.044893,0.169742,0.046004,0.162162,0.049865,0.046475,0.023157,0.046808,0.024636,0.089826,0.044080,-0.002679
6,Parakeet Auklet,0,0.222352,0.236479,0.329843,0.017764,0.876534,0.810624,1.000000,0.758337,0.066947,0.014006,0.066357,0.010984,0.031006,-0.050944,-0.065194,-0.023102,0.078585,0.099329,0.052954,0.071138,0.077302,0.078583,0.360453,0.414912,0.327432,0.040281,0.058608,0.013140,0.072018,0.055438,0.072751,0.097563,0.110024,0.071663,0.021254,0.019663,0.042735,0.069280,0.055489,0.099544,0.051932,0.067209,0.047327,0.234911,0.237939,0.059684,0.058595,0.003816,0.032992,0.237971,0.236315,0.241645,0.228507,-0.055744,0.088540,0.012777,0.099135,0.554300,0.100260,0.090305,0.141750,0.096012,0.153959,0.086455,0.125062,0.097215,0.063230,0.066671,0.064814,0.025725,0.267638,0.271934,-0.032403,-0.035361,-0.032060,0.118741,0.084828,0.096020,0.187068,0.209489,0.198908,0.184740,0.175130,0.214215,0.021752,0.375647,0.059874,-0.000373,0.208513,0.263163,0.010296,0.141137,0.040117,0.030689,0.066159,0.039138,0.017518,0.054247,0.054075,0.116528,0.096175,0.039126,0.084403,0.025371,0.098764,0.649172,0.079647,0.141011,0.046303,0.072218,0.069589,0.010618,0.012097,0.102757,0.049389,0.052250,0.040853,0.056022,0.014880,0.120788,0.014167,0.083649,0.050411,0.051868,0.033886,0.079645,0.066413,0.061389,0.095892,0.043037,0.036955,0.143536,0.110453,-0.030773,0.140901,0.063497,0.089963,0.077317,0.032824,0.035160,0.208574,0.215785,0.201242,0.189077,0.192984,0.208176,0.179638,0.050542,0.005078,0.019344,0.075118,0.071146,0.089550,0.075830,0.051856,0.038383,0.027327,0.000670,0.079365,0.025381,-0.009081,0.090983,-0.022661,-0.007285,0.012451,0.025713,0.029783,0.072026,0.041763,0.046985,0.042928,0.038399,0.016284,0.027166,0.000058,0.010327,0.035759,0.120151,0.036694,0.059649,0.112414,0.033361,0.153003,0.210726,0.102218,0.100337,0.151211,0.143235,0.011756,0.115568,0.026351,0.123351,0.079006,0.035070,0.081744,0.031276,0.053510,0.060385,0.040662,0.036666
7,Rhinoceros Auklet,0,0.298765,0.219622,0.318352,0.062988,0.774956,0.641037,0.758337,1.000000,0.113781,0.059213,0.128926,0.013447,0.051682,-0.013739,-0.047869,-0.003664,0.068509,0.132837,0.128737,0.062061,0.086097,0.192968,0.340465,0.326134,0.317243,0.077388,0.119195,-0.008442,0.144856,0.124533,0.133642,0.189723,0.188899,0.070070,-0.005309,0.031160,0.027960,0.071537,0.032392,0.094238,0.063277,0.046761,0.031033,0.177367,0.328155,0.129938,0.029805,0.024203,0.084394,0.301222,0.285973,0.312873,0.291360,0.001729,0.124338,-0.005347,0.059036,0.542394,0.141336,0.142431,0.211553,0.136893,0.184527,0.129230,0.175043,0.141583,0.011976,0.026283,0.023519,-0.007873,0.291187,0.305915,0.040176,0.056486,0.015698,0.079508,0.082177,0.109877,0.218353,0.197931,0.159868,0.209972,0.195062,0.226176,0.021872,0.450922,0.071973,-0.035945,0.208472,0.316907,0.057275,0.215433,0.109488,0.021594,0.076415,0.059740,0.035825,0.058944,0.082897,0.081955,0.083787,0.040242,0.052649,0.042025,0.180353,0.539342,0.126216,0.167860,0.041375,0.107867,0.130941,0.065066,0.043745,0.118188,0.089606,0.085286,0.094158,0.117705,0.040984,0.128818,0.034429,0.065783,0.065179,0.039498,0.066100,0.053153,0.089724,0.107995,0.100430,0.055682,0.066489,0.179854,0.163312,0.019481,0.169804,0.087927,0.126394,0.091732,0.042311,0.049629,0.150432,0.263289,0.205113,0.184847,0.165303,0.231449,0.221669,0.105216,0.028247,0.031527,0.057614,0.036972,0.039493,0.059412,0.031336,0.032832,-0.003266,-0.041253,0.042916,0.012739,-0.023401,0.084690,-0.087173,-0.012899,-0.021727,0.069301,0.025849,0.071615,0.000971,0.069845,-0.019734,0.013000,-0.000489,-0.010545,-0.035839,-0.030085,-0.001462,0.153590,0.020125,0.019954,0.131087,-0.010356,0.180332,0.225543,0.155902,0.140736,0.149197,0.163795,0.020347,0.098041,0.020606,0.108130,0.100375,0.076396,0.105405,0.082511,0.083790,0.057668,0.080205,0.040083
8,Brewer Blackbird,0,0.054291,0.008772,0.084585,0.343678,0.157404,0.138348,0.066947,0.113781,1.000000,0.568752,0.749666,0.420374,0.390978,0.316420,0.189803,0.217716,0.052954,0.170562,0.281997,0.111437,0.120264,0.053039,0.235001,0.257480,0.302266,0.880859,0.923660,0.003940,0.705872,0.756007,0.064628,0.085697,0.059398,0.211509,0.055872,0.103096,-0.057514,-0.035849,-0.048136,0.041246,0.058012,0.101553,-0.035415,0.085561,0.042048,0.010526,0.027363,-0.004939,0.926263,0.072733,0.061627,0.082485,0.037240,0.285111,0.075776,0.062070,0.069373,0.178626,0.032447,0.030414,0.037322,0.029139,0.102570,0.039370,0.024828,0.037002,0.059642,0.035053,0.008656,0.136623,0.075181,0.059301,0.072403,0.288049,0.175253,0.059525,0.044368,0.042381,0.052647,0.066071,0.023011,0.023484,0.055015,0.021457,0.164345,0.066719,0.033637,0.075382,0.059810,-0.010468,0.171198,0.046209,0.262943,0.088439,0.086044,0.149879,0.273725,0.182620,0.072385,-0.033822,-0.043624,-0.014571,0.073524,0.181736,0.042898,0.029650,0.545937,0.450538,0.177860,0.056765,0.048601,0.040317,0.077526,0.096555,0.037327,0.061868,0.037113,0.080909,0.029026,0.124225,0.091278,0.044613,0.061910,0.056054,0.083387,0.096021,0.058934,0.188069,0.067469,0.038913,0.055786,0.100931,0.069504,0.875807,0.106658,0.217362,0.176557,0.199071,0.178902,0.148226,0.027023,0.202499,0.001532,0.024196,0.016346,0.016290,0.020550,0.094537,0.110283,0.212140,0.052129,-0.009396,-0.017654,-0.019076,-0.006628,-0.002396,0.029649,0.029499,0.102701,0.187760,0.116721,0.099103,0.092838,0.086032,0.067353,0.115276,0.077270,0.088641,0.087480,0.060100,0.121114,0.049222,0.062891,0.132918,0.051633,0.090500,0.160291,0.111957,0.098118,0.047358,0.063605,0.085835,0.138111,0.101965,0.041759,0.075053,0.073667,0.126732,0.063736,0.057433,0.163142,0.044226,0.096184,0.107679,0.058411,0.142511,0.060697,0.151899,0.131416,0.054119
9,Red winged Blackbird,0,-0.026711,-0.058055,0.003139,0.246010,0.053514,0.050853,0.014006,0.059213,0.568752,1.000000,0.437450,0.649588,0.694381,0.166625,0.155825,0.091314,0.024267,0.021806,0.157195,0.120609,0.178176,0.033219,0.117354,0.136363,0.183445,0.619066,0.620780,-0.048266,0.448614,0.497454,0.031868,0.007246,0.018448,0.228536,0.082322,0.010542,-0.023083,-0.019482,-0.010137,0.024954,0.048530,0.119318,-0.005139,0.062512,0.007042,0.067044,0.069733,0.134453,0.595334,0.066323,0.051044,0.058797,0.017150,0.251659,0.162102,0.154377,0.321399,0.249700,0.019520,0.027504,0.025733,0.021529,0.036685,0.032814,0.012890,0.020964,0.053659,0.020792,0.008388,0.064949,0.028369,-0.001824,-0.007995,0.147576,0.047475,0.026897,0.024962,0.028590,-0.009898,0.026809,0.007151,-0.020276,-0.007414,0.006897,0.130710,0.067077,0.042313,0.109406,0.068317,0.014810,0.110314,0.047133,0.216108,0.004095,0.316336,0.353358,0.402186,0.385136,0.026825,0.011832,-0.016664,-0.007497,0.051613,0.091114,0.030863,0.019840,0.358123,0.362552,0.410983,0.018812,0.080551,0.069476,0.120975,0.122411,0.072879,0.073470,0.079697,0.101247,0.063985,0.063250,0.110170,0.131177,0.104305,0.093710,0.073130,0.170274,0.096612,0.209360,0.074306,0.074602,0.067827,0.079720,0.054703,0.467100,0.047477,0.127239,0.131785,0.066069,0.244103,0.089983,0.022875,0.135492,0.021906,0.027071,0.028546,0.035312,0.021177,0.136938,0.041969,0.092533,0.030841,0.023318,0.013928,0.012024,0.036426,-0.011965,0.079498,0.115545,0.127741,0.219531,0.162620,0.016908,0.199062,0.120393,0.150130,0.298791,0.039009,-0.004542,0.141873,-0.011335,0.217406,0.023397,0.035420,0.157111,0.058464,0.104699,0.100174,0.063009,0.070868,-0.027570,0.026016,0.052188,0.060709,0.031131,-0.025515,-0.022597,0.049945,0.119032,0.046957,0.036444,0.183697,0.068623,0.048585,0.033877,0.010094,0.049194,0.081266,0.061283,0.033017,0.063660
