eval_session,intro_session,query_count,baseline_accuracy
0,0,2864,88.163
1,0,2864,88.059
1,1,279,73.835
2,0,2864,88.094
2,1,279,73.835
2,2,287,80.139
3,0,2864,88.198
3,1,279,73.835
3,2,287,77.352
3,3,298,74.161
4,0,2864,88.128
4,1,279,74.552
4,2,287,76.655
4,3,298,73.49
4,4,300,87.0
5,0,2864,88.128
5,1,279,74.194
5,2,287,76.655
5,3,298,73.49
5,4,300,87.0
5,5,298,64.43
6,0,2864,88.059
6,1,279,73.835
6,2,287,76.655
6,3,298,73.49
6,4,300,87.0
6,5,298,64.43
6,6,288,91.667
7,0,2864,87.989
7,1,279,73.477
7,2,287,76.655
7,3,298,73.49
7,4,300,87.0
7,5,298,64.43
7,6,288,90.972
7,7,297,94.276
8,0,2864,87.954
8,1,279,73.477
8,2,287,76.307
8,3,298,73.49
8,4,300,87.0
8,5,298,64.094
8,6,288,90.625
8,7,297,89.226
8,8,295,85.763
9,0,2864,87.884
9,1,279,73.477
9,2,287,76.307
9,3,298,73.49
9,4,300,87.0
9,5,298,64.094
9,6,288,90.625
9,7,297,89.226
9,8,295,85.085
9,9,288,96.181
10,0,2864,87.884
10,1,279,73.477
10,2,287,76.307
10,3,298,73.49
10,4,300,87.0
10,5,298,64.094
10,6,288,90.625
10,7,297,89.226
10,8,295,85.085
10,9,288,96.181
10,10,300,92.0
