dataset,eval_session,query_number,true_class_id,true_class_name,true_intro_session,baseline_pred_class_id,baseline_pred_class_name,baseline_pred_intro_session,baseline_pred_conf,baseline_true_prob,baseline_pred_prob,final_pred_class_id,final_pred_class_name,final_pred_intro_session,final_pred_conf,final_true_prob,final_pred_prob,clip_true_sim,clip_pred_sim,dino_true_sim_raw,dino_pred_sim_raw,dino_true_sim_final,dino_pred_sim_final,baseline_correct,final_correct
cub200,0,26,0,Black footed Albatross,0,2,Sooty Albatross,0,0.9304,0.062409,0.9304,2,Sooty Albatross,0,0.9304,0.062409,0.9304,0.831781,0.875364,0.783919,0.802205,0.783919,0.802205,0,0
cub200,0,30,1,Laysan Albatross,0,0,Black footed Albatross,0,0.650941,0.332434,0.650941,0,Black footed Albatross,0,0.650941,0.332434,0.650941,0.909181,0.911184,0.715975,0.720715,0.715975,0.720715,0,0
cub200,0,41,1,Laysan Albatross,0,83,Red legged Kittiwake,0,0.97629,0.0,0.97629,83,Red legged Kittiwake,0,0.97629,0.0,0.97629,0.819577,0.862291,0.311808,0.701192,0.311808,0.701192,0,0
cub200,0,42,1,Laysan Albatross,0,2,Sooty Albatross,0,0.689856,0.027343,0.689856,2,Sooty Albatross,0,0.689856,0.027343,0.689856,0.84509,0.85497,0.409394,0.444964,0.409394,0.444964,0,0
cub200,0,120,4,Crested Auklet,0,7,Rhinoceros Auklet,0,0.978339,0.01323,0.978339,7,Rhinoceros Auklet,0,0.978339,0.01323,0.978339,0.890723,0.891481,0.610078,0.694617,0.610078,0.694617,0,0
cub200,0,155,6,Parakeet Auklet,0,7,Rhinoceros Auklet,0,0.979898,0.019304,0.979898,7,Rhinoceros Auklet,0,0.979898,0.019304,0.979898,0.891212,0.927313,0.718693,0.780193,0.718693,0.780193,0,0
cub200,0,169,7,Rhinoceros Auklet,0,5,Least Auklet,0,0.60042,0.135427,0.60042,5,Least Auklet,0,0.60042,0.135427,0.60042,0.88856,0.891172,0.600431,0.630358,0.600431,0.630358,0,0
cub200,0,170,7,Rhinoceros Auklet,0,5,Least Auklet,0,0.903302,0.095577,0.903302,5,Least Auklet,0,0.903302,0.095577,0.903302,0.90154,0.894463,0.560136,0.599824,0.560136,0.599824,0,0
cub200,0,185,8,Brewer Blackbird,0,26,Shiny Cowbird,0,0.826144,0.157159,0.826144,26,Shiny Cowbird,0,0.826144,0.157159,0.826144,0.887899,0.900509,0.785035,0.811654,0.785035,0.811654,0,0
cub200,0,188,8,Brewer Blackbird,0,48,Boat tailed Grackle,0,0.921247,0.029695,0.921247,48,Boat tailed Grackle,0,0.921247,0.029695,0.921247,0.935352,0.938882,0.584573,0.638862,0.584573,0.638862,0,0
cub200,0,190,8,Brewer Blackbird,0,10,Rusty Blackbird,0,0.999763,1e-06,0.999763,10,Rusty Blackbird,0,0.999763,1e-06,0.999763,0.850499,0.862736,0.426026,0.684438,0.426026,0.684438,0,0
cub200,0,191,8,Brewer Blackbird,0,48,Boat tailed Grackle,0,0.991537,0.005686,0.991537,48,Boat tailed Grackle,0,0.991537,0.005686,0.991537,0.891541,0.909117,0.664545,0.73631,0.664545,0.73631,0,0
cub200,0,193,8,Brewer Blackbird,0,26,Shiny Cowbird,0,0.510663,0.13166,0.510663,26,Shiny Cowbird,0,0.510663,0.13166,0.510663,0.898157,0.893454,0.769121,0.761055,0.769121,0.761055,0,0
