dataset,eval_session,query_number,true_class_id,true_class_name,true_intro_session,baseline_pred_class_id,baseline_pred_class_name,baseline_pred_intro_session,baseline_pred_conf,baseline_true_prob,baseline_pred_prob,final_pred_class_id,final_pred_class_name,final_pred_intro_session,final_pred_conf,final_true_prob,final_pred_prob,clip_true_sim,clip_pred_sim,dino_true_sim_raw,dino_pred_sim_raw,dino_true_sim_final,dino_pred_sim_final,baseline_correct,final_correct
cub200,10,26,0,Black footed Albatross,0,2,Sooty Albatross,0,0.930401,0.062408,0.930401,2,Sooty Albatross,0,0.930401,0.062408,0.930401,0.83178,0.875364,0.783919,0.802205,0.783919,0.802205,0,0
cub200,10,30,1,Laysan Albatross,0,0,Black footed Albatross,0,0.650974,0.332401,0.650974,0,Black footed Albatross,0,0.650974,0.332401,0.650974,0.909181,0.911184,0.715975,0.720715,0.715975,0.720715,0,0
cub200,10,41,1,Laysan Albatross,0,83,Red legged Kittiwake,0,0.97629,0.0,0.97629,83,Red legged Kittiwake,0,0.97629,0.0,0.97629,0.819577,0.862291,0.311808,0.701192,0.311808,0.701192,0,0
cub200,10,42,1,Laysan Albatross,0,2,Sooty Albatross,0,0.681736,0.027343,0.681736,2,Sooty Albatross,0,0.681736,0.027343,0.681736,0.84509,0.85497,0.409394,0.444964,0.409394,0.444964,0,0
cub200,10,120,4,Crested Auklet,0,7,Rhinoceros Auklet,0,0.978904,0.012664,0.978904,7,Rhinoceros Auklet,0,0.978904,0.012664,0.978904,0.890723,0.891481,0.610078,0.694617,0.610078,0.694617,0,0
cub200,10,155,6,Parakeet Auklet,0,7,Rhinoceros Auklet,0,0.982183,0.017016,0.982183,7,Rhinoceros Auklet,0,0.982184,0.017016,0.982184,0.891212,0.927313,0.718694,0.780193,0.718694,0.780193,0,0
cub200,10,169,7,Rhinoceros Auklet,0,5,Least Auklet,0,0.60044,0.135428,0.60044,5,Least Auklet,0,0.60044,0.135428,0.60044,0.88856,0.891172,0.600431,0.630358,0.600431,0.630358,0,0
cub200,10,170,7,Rhinoceros Auklet,0,5,Least Auklet,0,0.903402,0.095583,0.903402,5,Least Auklet,0,0.903402,0.095583,0.903402,0.90154,0.894463,0.560136,0.599824,0.560136,0.599824,0,0
cub200,10,185,8,Brewer Blackbird,0,26,Shiny Cowbird,0,0.825908,0.157392,0.825908,26,Shiny Cowbird,0,0.825908,0.157392,0.825908,0.887899,0.900509,0.785035,0.811654,0.785035,0.811654,0,0
cub200,10,188,8,Brewer Blackbird,0,48,Boat tailed Grackle,0,0.920436,0.029661,0.920436,48,Boat tailed Grackle,0,0.919484,0.029622,0.919484,0.935352,0.938882,0.584573,0.638862,0.584573,0.638862,0,0
cub200,10,190,8,Brewer Blackbird,0,10,Rusty Blackbird,0,0.999763,1e-06,0.999763,10,Rusty Blackbird,0,0.999763,1e-06,0.999763,0.850499,0.862736,0.426026,0.684438,0.426026,0.684438,0,0
cub200,10,191,8,Brewer Blackbird,0,48,Boat tailed Grackle,0,0.978681,0.005594,0.978681,48,Boat tailed Grackle,0,0.976304,0.005577,0.976304,0.891541,0.909117,0.664545,0.73631,0.664545,0.73631,0,0
cub200,10,193,8,Brewer Blackbird,0,26,Shiny Cowbird,0,0.510235,0.131489,0.510235,26,Shiny Cowbird,0,0.510107,0.131435,0.510107,0.898156,0.893454,0.769121,0.761056,0.769121,0.761056,0,0
cub200,10,194,8,Brewer Blackbird,0,10,Rusty Blackbird,0,0.999728,7.2e-05,0.999728,10,Rusty Blackbird,0,0.999728,7.2e-05,0.999728,0.909476,0.90706,0.467452,0.657337,0.467452,0.657337,0,0
cub200,10,201,8,Brewer Blackbird,0,10,Rusty Blackbird,0,0.774993,0.010302,0.774993,10,Rusty Blackbird,0,0.774993,0.010302,0.774993,0.912819,0.875818,0.611933,0.710668,0.611933,0.710668,0,0
cub200,10,208,8,Brewer Blackbird,0,10,Rusty Blackbird,0,0.999943,1.3e-05,0.999943,10,Rusty Blackbird,0,0.999943,1.3e-05,0.999943,0.905128,0.889912,0.463868,0.69353,0.463868,0.69353,0,0
cub200,10,243,10,Rusty Blackbird,0,26,Shiny Cowbird,0,0.79509,0.0,0.79509,26,Shiny Cowbird,0,0.795064,0.0,0.795064,0.851566,0.91334,0.512048,0.780038,0.512048,0.780038,0,0
cub200,10,244,10,Rusty Blackbird,0,8,Brewer Blackbird,0,0.661632,0.061816,0.661632,8,Brewer Blackbird,0,0.66171,0.061827,0.66171,0.913036,0.896076,0.591085,0.66301,0.591085,0.66301,0,0
cub200,10,247,10,Rusty Blackbird,0,48,Boat tailed Grackle,0,0.640157,0.0,0.640157,48,Boat tailed Grackle,0,0.646788,0.0,0.646788,0.913881,0.945577,0.430346,0.801166,0.430346,0.801166,0,0
cub200,10,248,10,Rusty Blackbird,0,26,Shiny Cowbird,0,0.66219,0.00159,0.66219,26,Shiny Cowbird,0,0.662183,0.00159,0.662183,0.92002,0.949023,0.680221,0.775692,0.680221,0.775692,0,0
cub200,10,251,10,Rusty Blackbird,0,8,Brewer Blackbird,0,0.794878,0.0,0.794878,8,Brewer Blackbird,0,0.763262,0.0,0.763262,0.868142,0.888773,0.491856,0.789934,0.491856,0.789934,0,0
cub200,10,259,10,Rusty Blackbird,0,8,Brewer Blackbird,0,0.980491,0.000124,0.980491,8,Brewer Blackbird,0,0.980449,0.000124,0.980449,0.916796,0.927894,0.577816,0.754648,0.577816,0.754648,0,0
cub200,10,261,10,Rusty Blackbird,0,8,Brewer Blackbird,0,0.930498,8.6e-05,0.930498,8,Brewer Blackbird,0,0.930163,8.6e-05,0.930163,0.930822,0.94117,0.650768,0.839988,0.650768,0.839988,0,0
cub200,10,262,10,Rusty Blackbird,0,48,Boat tailed Grackle,0,0.958318,0.0,0.958318,48,Boat tailed Grackle,0,0.958915,0.0,0.958915,0.866606,0.890111,0.45437,0.778231,0.45437,0.778231,0,0
cub200,10,267,10,Rusty Blackbird,0,48,Boat tailed Grackle,0,0.970056,0.0,0.970056,48,Boat tailed Grackle,0,0.9749,0.0,0.9749,0.857903,0.889994,0.463439,0.77073,0.463439,0.77073,0,0
cub200,10,269,10,Rusty Blackbird,0,8,Brewer Blackbird,0,0.963637,0.000149,0.963637,8,Brewer Blackbird,0,0.963083,0.000149,0.963083,0.882932,0.894864,0.622967,0.783478,0.622967,0.783478,0,0
cub200,10,300,12,Bobolink,0,123,Le Conte Sparrow,3,0.305164,0.005229,0.305164,123,Le Conte Sparrow,3,0.385821,0.003193,0.385821,0.886727,0.882641,0.364378,0.480343,0.364378,0.495207,0,0
cub200,10,375,14,Lazuli Bunting,0,53,Blue Grosbeak,0,0.527305,0.001601,0.527305,53,Blue Grosbeak,0,0.527305,0.001601,0.527305,0.923601,0.929487,0.719001,0.820334,0.719001,0.820334,0,0
cub200,10,395,15,Painted Bunting,0,172,Orange crowned Warbler,8,0.467241,0.002857,0.467241,172,Orange crowned Warbler,8,0.491363,0.002681,0.491363,0.823507,0.89042,0.245521,0.304338,0.245521,0.306669,0,0
cub200,10,548,21,Chuck will Widow,0,91,Nighthawk,0,0.730912,0.261767,0.730912,91,Nighthawk,0,0.730912,0.261767,0.730912,0.911014,0.925066,0.751599,0.73288,0.751599,0.73288,0,0
cub200,10,569,21,Chuck will Widow,0,104,Whip poor Will,1,0.761215,0.017483,0.761215,104,Whip poor Will,1,0.761215,0.017483,0.761215,0.868051,0.911798,0.686151,0.77739,0.686151,0.77739,0,0
cub200,10,573,22,Brandt Cormorant,0,24,Pelagic Cormorant,0,0.950855,0.037597,0.950855,24,Pelagic Cormorant,0,0.950855,0.037597,0.950855,0.887141,0.899174,0.466833,0.513696,0.466833,0.513696,0,0
cub200,10,574,22,Brandt Cormorant,0,24,Pelagic Cormorant,0,0.915814,0.067923,0.915814,24,Pelagic Cormorant,0,0.915814,0.067923,0.915814,0.909373,0.909267,0.721149,0.766879,0.721149,0.766879,0,0
cub200,10,576,22,Brandt Cormorant,0,24,Pelagic Cormorant,0,0.99536,0.004616,0.99536,24,Pelagic Cormorant,0,0.99536,0.004616,0.99536,0.903673,0.920664,0.587294,0.67233,0.587294,0.67233,0,0
cub200,10,577,22,Brandt Cormorant,0,24,Pelagic Cormorant,0,0.620351,0.359994,0.620351,24,Pelagic Cormorant,0,0.620351,0.359994,0.620351,0.912693,0.909094,0.667946,0.679989,0.667946,0.679989,0,0
cub200,10,579,22,Brandt Cormorant,0,24,Pelagic Cormorant,0,0.969446,0.030522,0.969446,24,Pelagic Cormorant,0,0.969446,0.030522,0.969446,0.911453,0.919497,0.621858,0.67868,0.621858,0.67868,0,0
cub200,10,580,22,Brandt Cormorant,0,57,Pigeon Guillemot,0,1.0,0.0,1.0,57,Pigeon Guillemot,0,1.0,0.0,1.0,0.845759,0.922233,0.294681,0.819243,0.294681,0.819243,0,0
cub200,10,583,22,Brandt Cormorant,0,23,Red faced Cormorant,0,0.531434,0.442114,0.531434,23,Red faced Cormorant,0,0.531434,0.442114,0.531434,0.92251,0.927884,0.785723,0.798016,0.785723,0.798016,0,0
cub200,10,594,22,Brandt Cormorant,0,24,Pelagic Cormorant,0,0.8819,0.116574,0.8819,24,Pelagic Cormorant,0,0.8819,0.116574,0.8819,0.907754,0.915108,0.755471,0.788455,0.755471,0.788455,0,0
cub200,10,596,22,Brandt Cormorant,0,24,Pelagic Cormorant,0,0.878339,0.115955,0.878339,24,Pelagic Cormorant,0,0.878339,0.115955,0.878339,0.78888,0.778542,0.505916,0.531612,0.505916,0.531612,0,0
cub200,10,600,23,Red faced Cormorant,0,24,Pelagic Cormorant,0,0.993294,0.00438,0.993294,24,Pelagic Cormorant,0,0.993294,0.00438,0.993294,0.876253,0.897939,0.606153,0.69341,0.606153,0.69341,0,0
cub200,10,609,23,Red faced Cormorant,0,22,Brandt Cormorant,0,0.910492,0.009614,0.910492,22,Brandt Cormorant,0,0.910492,0.009614,0.910492,0.898571,0.912935,0.71624,0.795615,0.71624,0.795615,0,0
cub200,10,619,23,Red faced Cormorant,0,24,Pelagic Cormorant,0,0.961486,0.0038,0.961486,24,Pelagic Cormorant,0,0.961486,0.0038,0.961486,0.820118,0.86947,0.619622,0.701782,0.619622,0.701782,0,0
cub200,10,624,24,Pelagic Cormorant,0,22,Brandt Cormorant,0,0.823624,0.174353,0.823624,22,Brandt Cormorant,0,0.823624,0.174353,0.823624,0.913893,0.923445,0.765675,0.792175,0.765675,0.792175,0,0
cub200,10,629,24,Pelagic Cormorant,0,23,Red faced Cormorant,0,0.986785,0.012469,0.986785,23,Red faced Cormorant,0,0.986785,0.012469,0.986785,0.906573,0.891301,0.755667,0.844136,0.755667,0.844136,0,0
cub200,10,632,24,Pelagic Cormorant,0,23,Red faced Cormorant,0,0.971418,0.028408,0.971418,23,Red faced Cormorant,0,0.971418,0.028408,0.971418,0.831742,0.860573,0.685025,0.728968,0.685025,0.728968,0,0
cub200,10,638,24,Pelagic Cormorant,0,22,Brandt Cormorant,0,0.879783,0.116024,0.879783,22,Brandt Cormorant,0,0.879783,0.116024,0.879783,0.851643,0.842371,0.668725,0.690322,0.668725,0.690322,0,0
cub200,10,640,24,Pelagic Cormorant,0,22,Brandt Cormorant,0,0.781392,0.218492,0.781392,22,Brandt Cormorant,0,0.781392,0.218492,0.781392,0.907655,0.912818,0.72192,0.742849,0.72192,0.742849,0,0
cub200,10,647,24,Pelagic Cormorant,0,22,Brandt Cormorant,0,0.679871,0.235816,0.679871,22,Brandt Cormorant,0,0.679871,0.235816,0.679871,0.821294,0.814848,0.685255,0.724601,0.685255,0.724601,0,0
cub200,10,649,24,Pelagic Cormorant,0,23,Red faced Cormorant,0,0.826672,0.172669,0.826672,23,Red faced Cormorant,0,0.826672,0.172669,0.826672,0.910373,0.905473,0.760251,0.778434,0.760251,0.778434,0,0
cub200,10,650,24,Pelagic Cormorant,0,22,Brandt Cormorant,0,0.808989,0.18584,0.808989,22,Brandt Cormorant,0,0.808989,0.18584,0.808989,0.935093,0.944359,0.839813,0.866386,0.839813,0.866386,0,0
cub200,10,651,24,Pelagic Cormorant,0,22,Brandt Cormorant,0,0.85048,0.147844,0.85048,22,Brandt Cormorant,0,0.85048,0.147844,0.85048,0.913462,0.909554,0.806791,0.84181,0.806791,0.84181,0,0
cub200,10,676,25,Bronzed Cowbird,0,26,Shiny Cowbird,0,0.660454,0.013575,0.660454,26,Shiny Cowbird,0,0.660458,0.013575,0.660458,0.865801,0.893272,0.65321,0.707704,0.65321,0.707704,0,0
cub200,10,677,25,Bronzed Cowbird,0,26,Shiny Cowbird,0,0.938912,0.049549,0.938912,26,Shiny Cowbird,0,0.938912,0.049549,0.938912,0.894421,0.916032,0.670915,0.7097,0.670915,0.7097,0,0
