eval_session,class_id,class_name,intro_session,query_count,accuracy
0,0,Black footed Albatross,0,30,96.667
0,1,Laysan Albatross,0,30,90.0
0,2,Sooty Albatross,0,28,100.0
0,3,Groove billed Ani,0,30,100.0
0,4,Crested Auklet,0,14,92.857
0,5,Least Auklet,0,11,100.0
0,6,Parakeet Auklet,0,23,95.652
0,7,Rhinoceros Auklet,0,18,88.889
0,8,Brewer Blackbird,0,29,72.414
0,9,Red winged Blackbird,0,30,100.0
0,10,Rusty Blackbird,0,30,66.667
0,11,Yellow headed Blackbird,0,26,100.0
0,12,Bobolink,0,30,96.667
0,13,Indigo Bunting,0,30,96.667
0,14,Lazuli Bunting,0,28,96.429
0,15,Painted Bunting,0,28,96.429
0,16,Cardinal,0,27,100.0
0,17,Spotted Catbird,0,15,100.0
0,18,Gray Catbird,0,29,100.0
0,19,Yellow breasted Chat,0,29,100.0
0,20,Eastern Towhee,0,30,100.0
0,21,Chuck will Widow,0,26,96.154
0,22,Brandt Cormorant,0,29,72.414
0,23,Red faced Cormorant,0,22,86.364
0,24,Pelagic Cormorant,0,30,70.0
0,25,Bronzed Cowbird,0,30,93.333
0,26,Shiny Cowbird,0,30,73.333
0,27,Brown Creeper,0,29,100.0
0,28,American Crow,0,30,83.333
0,29,Fish Crow,0,30,60.0
0,30,Black billed Cuckoo,0,30,86.667
0,31,Mangrove Cuckoo,0,23,91.304
0,32,Yellow billed Cuckoo,0,29,96.552
0,33,Gray crowned Rosy Finch,0,29,100.0
0,34,Purple Finch,0,30,100.0
0,35,Northern Flicker,0,30,100.0
0,36,Acadian Flycatcher,0,29,62.069
0,37,Great Crested Flycatcher,0,30,93.333
0,38,Least Flycatcher,0,29,51.724
0,39,Olive sided Flycatcher,0,30,96.667
0,40,Scissor tailed Flycatcher,0,30,100.0
0,41,Vermilion Flycatcher,0,30,100.0
0,42,Yellow bellied Flycatcher,0,29,55.172
0,43,Frigatebird,0,30,100.0
0,44,Northern Fulmar,0,30,100.0
0,45,Gadwall,0,30,100.0
0,46,American Goldfinch,0,30,100.0
0,47,European Goldfinch,0,30,100.0
0,48,Boat tailed Grackle,0,30,70.0
0,49,Eared Grebe,0,30,73.333
0,50,Horned Grebe,0,30,86.667
0,51,Pied billed Grebe,0,30,100.0
0,52,Western Grebe,0,30,100.0
0,53,Blue Grosbeak,0,30,90.0
0,54,Evening Grosbeak,0,30,100.0
0,55,Pine Grosbeak,0,30,96.667
0,56,Rose breasted Grosbeak,0,30,100.0
0,57,Pigeon Guillemot,0,28,96.429
0,58,California Gull,0,30,36.667
0,59,Glaucous winged Gull,0,29,58.621
0,60,Heermann Gull,0,30,96.667
0,61,Herring Gull,0,30,23.333
0,62,Ivory Gull,0,30,100.0
0,63,Ring billed Gull,0,30,66.667
0,64,Slaty backed Gull,0,20,25.0
0,65,Western Gull,0,30,80.0
0,66,Anna Hummingbird,0,30,43.333
0,67,Ruby throated Hummingbird,0,30,63.333
0,68,Rufous Hummingbird,0,30,53.333
0,69,Green Violetear,0,30,86.667
0,70,Long tailed Jaeger,0,30,56.667
0,71,Pomarine Jaeger,0,30,93.333
0,72,Blue Jay,0,30,96.667
0,73,Florida Jay,0,30,100.0
0,74,Green Jay,0,27,100.0
0,75,Dark eyed Junco,0,30,100.0
0,76,Tropical Kingbird,0,30,96.667
0,77,Gray Kingbird,0,29,100.0
0,78,Belted Kingfisher,0,30,96.667
0,79,Green Kingfisher,0,30,83.333
0,80,Pied Kingfisher,0,30,96.667
0,81,Ringed Kingfisher,0,30,90.0
0,82,White breasted Kingfisher,0,30,96.667
0,83,Red legged Kittiwake,0,23,86.957
0,84,Horned Lark,0,30,100.0
0,85,Pacific Loon,0,30,100.0
0,86,Mallard,0,30,100.0
0,87,Western Meadowlark,0,30,100.0
0,88,Hooded Merganser,0,30,80.0
0,89,Red breasted Merganser,0,30,96.667
0,90,Mockingbird,0,30,100.0
0,91,Nighthawk,0,30,100.0
0,92,Clark Nutcracker,0,30,100.0
0,93,White breasted Nuthatch,0,30,100.0
0,94,Baltimore Oriole,0,30,96.667
0,95,Hooded Oriole,0,30,80.0
0,96,Orchard Oriole,0,29,82.759
0,97,Scott Oriole,0,30,93.333
0,98,Ovenbird,0,30,90.0
0,99,Brown Pelican,0,30,100.0
1,0,Black footed Albatross,0,30,96.667
1,1,Laysan Albatross,0,30,90.0
1,2,Sooty Albatross,0,28,100.0
1,3,Groove billed Ani,0,30,100.0
1,4,Crested Auklet,0,14,92.857
1,5,Least Auklet,0,11,100.0
1,6,Parakeet Auklet,0,23,95.652
1,7,Rhinoceros Auklet,0,18,88.889
1,8,Brewer Blackbird,0,29,72.414
1,9,Red winged Blackbird,0,30,100.0
1,10,Rusty Blackbird,0,30,66.667
1,11,Yellow headed Blackbird,0,26,100.0
1,12,Bobolink,0,30,96.667
1,13,Indigo Bunting,0,30,96.667
1,14,Lazuli Bunting,0,28,96.429
1,15,Painted Bunting,0,28,96.429
1,16,Cardinal,0,27,100.0
1,17,Spotted Catbird,0,15,100.0
1,18,Gray Catbird,0,29,100.0
1,19,Yellow breasted Chat,0,29,100.0
1,20,Eastern Towhee,0,30,100.0
1,21,Chuck will Widow,0,26,92.308
1,22,Brandt Cormorant,0,29,72.414
1,23,Red faced Cormorant,0,22,86.364
1,24,Pelagic Cormorant,0,30,70.0
1,25,Bronzed Cowbird,0,30,93.333
1,26,Shiny Cowbird,0,30,73.333
1,27,Brown Creeper,0,29,100.0
1,28,American Crow,0,30,80.0
1,29,Fish Crow,0,30,60.0
1,30,Black billed Cuckoo,0,30,86.667
1,31,Mangrove Cuckoo,0,23,91.304
1,32,Yellow billed Cuckoo,0,29,96.552
1,33,Gray crowned Rosy Finch,0,29,100.0
1,34,Purple Finch,0,30,100.0
1,35,Northern Flicker,0,30,100.0
1,36,Acadian Flycatcher,0,29,62.069
1,37,Great Crested Flycatcher,0,30,93.333
1,38,Least Flycatcher,0,29,41.379
1,39,Olive sided Flycatcher,0,30,93.333
1,40,Scissor tailed Flycatcher,0,30,100.0
1,41,Vermilion Flycatcher,0,30,100.0
1,42,Yellow bellied Flycatcher,0,29,58.621
1,43,Frigatebird,0,30,100.0
1,44,Northern Fulmar,0,30,100.0
1,45,Gadwall,0,30,100.0
1,46,American Goldfinch,0,30,100.0
1,47,European Goldfinch,0,30,100.0
1,48,Boat tailed Grackle,0,30,70.0
1,49,Eared Grebe,0,30,73.333
1,50,Horned Grebe,0,30,90.0
1,51,Pied billed Grebe,0,30,100.0
1,52,Western Grebe,0,30,100.0
1,53,Blue Grosbeak,0,30,90.0
1,54,Evening Grosbeak,0,30,100.0
1,55,Pine Grosbeak,0,30,96.667
1,56,Rose breasted Grosbeak,0,30,100.0
1,57,Pigeon Guillemot,0,28,96.429
1,58,California Gull,0,30,36.667
1,59,Glaucous winged Gull,0,29,58.621
1,60,Heermann Gull,0,30,96.667
1,61,Herring Gull,0,30,23.333
1,62,Ivory Gull,0,30,100.0
1,63,Ring billed Gull,0,30,66.667
1,64,Slaty backed Gull,0,20,25.0
1,65,Western Gull,0,30,80.0
1,66,Anna Hummingbird,0,30,43.333
1,67,Ruby throated Hummingbird,0,30,63.333
1,68,Rufous Hummingbird,0,30,53.333
1,69,Green Violetear,0,30,86.667
1,70,Long tailed Jaeger,0,30,56.667
1,71,Pomarine Jaeger,0,30,93.333
1,72,Blue Jay,0,30,96.667
1,73,Florida Jay,0,30,100.0
1,74,Green Jay,0,27,100.0
1,75,Dark eyed Junco,0,30,100.0
1,76,Tropical Kingbird,0,30,96.667
1,77,Gray Kingbird,0,29,100.0
1,78,Belted Kingfisher,0,30,96.667
1,79,Green Kingfisher,0,30,83.333
1,80,Pied Kingfisher,0,30,96.667
1,81,Ringed Kingfisher,0,30,90.0
1,82,White breasted Kingfisher,0,30,96.667
1,83,Red legged Kittiwake,0,23,86.957
1,84,Horned Lark,0,30,96.667
1,85,Pacific Loon,0,30,100.0
1,86,Mallard,0,30,100.0
1,87,Western Meadowlark,0,30,100.0
1,88,Hooded Merganser,0,30,80.0
1,89,Red breasted Merganser,0,30,96.667
1,90,Mockingbird,0,30,100.0
1,91,Nighthawk,0,30,100.0
1,92,Clark Nutcracker,0,30,100.0
1,93,White breasted Nuthatch,0,30,100.0
1,94,Baltimore Oriole,0,30,96.667
1,95,Hooded Oriole,0,30,80.0
1,96,Orchard Oriole,0,29,82.759
1,97,Scott Oriole,0,30,93.333
1,98,Ovenbird,0,30,90.0
1,99,Brown Pelican,0,30,100.0
1,100,White Pelican,1,20,100.0
1,101,Western Wood Pewee,1,30,56.667
1,102,Sayornis,1,30,80.0
1,103,American Pipit,1,30,96.667
1,104,Whip poor Will,1,19,10.526
1,105,Horned Puffin,1,30,100.0
1,106,Common Raven,1,30,53.333
1,107,White necked Raven,1,30,86.667
1,108,American Redstart,1,30,93.333
1,109,Geococcyx,1,30,100.0
2,0,Black footed Albatross,0,30,96.667
2,1,Laysan Albatross,0,30,90.0
2,2,Sooty Albatross,0,28,100.0
2,3,Groove billed Ani,0,30,100.0
2,4,Crested Auklet,0,14,92.857
2,5,Least Auklet,0,11,100.0
2,6,Parakeet Auklet,0,23,95.652
2,7,Rhinoceros Auklet,0,18,88.889
2,8,Brewer Blackbird,0,29,72.414
2,9,Red winged Blackbird,0,30,100.0
2,10,Rusty Blackbird,0,30,66.667
2,11,Yellow headed Blackbird,0,26,100.0
2,12,Bobolink,0,30,96.667
2,13,Indigo Bunting,0,30,96.667
2,14,Lazuli Bunting,0,28,96.429
2,15,Painted Bunting,0,28,96.429
2,16,Cardinal,0,27,100.0
2,17,Spotted Catbird,0,15,100.0
2,18,Gray Catbird,0,29,100.0
2,19,Yellow breasted Chat,0,29,100.0
2,20,Eastern Towhee,0,30,100.0
2,21,Chuck will Widow,0,26,92.308
2,22,Brandt Cormorant,0,29,72.414
2,23,Red faced Cormorant,0,22,86.364
