class_id,class_name,intro_session,0:house finch,1:robin,2:triceratops,3:green mamba,4:harvestman,5:toucan,6:goose,7:jellyfish,8:nematode,9:king crab,10:dugong,11:Walker hound,12:Ibizan hound,13:Saluki,14:golden retriever,15:Gordon setter,16:komondor,17:boxer,18:Tibetan mastiff,19:French bulldog,20:malamute,21:dalmatian,22:Newfoundland,23:miniature poodle,24:white wolf,25:African hunting dog,26:Arctic fox,27:lion,28:meerkat,29:ladybug,30:rhinoceros beetle,31:ant,32:black-footed ferret,33:three-toed sloth,34:rock beauty,35:aircraft carrier,36:ashcan,37:barrel,38:beer bottle,39:bookshop,40:cannon,41:carousel,42:carton,43:catamaran,44:chime,45:clog,46:cocktail shaker,47:combination lock,48:crate,49:cuirass,50:dishrag,51:dome,52:electric guitar,53:file,54:fire screen,55:frying pan,56:garbage truck,57:hair slide,58:holster,59:horizontal bar,60:hourglass,61:iPod,62:lipstick,63:miniskirt,64:missile,65:mixing bowl,66:oboe,67:organ,68:parallel bars,69:pencil box,70:photocopier,71:poncho,72:prayer rug,73:reel,74:school bus,75:scoreboard,76:slot,77:snorkel,78:solar dish,79:spider web,80:stage,81:tank,82:theater curtain,83:tile roof,84:tobacco shop,85:unicycle,86:upright,87:vase,88:wok,89:worm fence,90:yawl,91:street sign,92:consomme,93:trifle,94:hotdog,95:orange,96:cliff,97:coral reef,98:bolete,99:ear
0,house finch,0,1.000000,0.911258,0.654197,0.720494,0.750170,0.773204,0.810402,0.685376,0.655805,0.680222,0.657119,0.680668,0.682704,0.660497,0.685825,0.672457,0.658956,0.681069,0.653109,0.659281,0.664856,0.661169,0.675731,0.665781,0.711674,0.707259,0.719101,0.706012,0.740052,0.786183,0.713710,0.759477,0.676049,0.736493,0.684603,0.552875,0.660895,0.667851,0.600001,0.561727,0.629794,0.622168,0.582383,0.603562,0.705350,0.616314,0.621437,0.618171,0.665977,0.601621,0.562391,0.645083,0.576209,0.602843,0.650866,0.639377,0.592929,0.632011,0.591276,0.576230,0.608556,0.474659,0.533647,0.558157,0.564423,0.647397,0.557912,0.589109,0.552504,0.584184,0.491448,0.628632,0.597941,0.653107,0.555375,0.560952,0.524137,0.590143,0.610998,0.741944,0.557920,0.531350,0.521185,0.660200,0.544293,0.572950,0.588546,0.633657,0.601458,0.679765,0.583360,0.587976,0.591425,0.580743,0.529568,0.703783,0.637621,0.638451,0.705806,0.687921
1,robin,0,0.911258,1.000000,0.672645,0.705578,0.738425,0.768480,0.827424,0.676826,0.664449,0.667199,0.654009,0.689745,0.685107,0.661672,0.676471,0.698503,0.649952,0.683621,0.655242,0.656592,0.670714,0.673381,0.676395,0.664752,0.718947,0.711288,0.745746,0.691941,0.738881,0.813408,0.744792,0.771786,0.679121,0.725997,0.696561,0.536850,0.671778,0.668044,0.595478,0.566420,0.633314,0.625861,0.575787,0.598837,0.698219,0.618969,0.610997,0.613279,0.654547,0.619166,0.554360,0.642559,0.585347,0.600588,0.650422,0.642786,0.600905,0.618951,0.606213,0.575518,0.604160,0.479098,0.518767,0.567239,0.559809,0.631675,0.551680,0.586686,0.546796,0.568201,0.490886,0.630888,0.588964,0.651992,0.571681,0.569662,0.521218,0.596657,0.606538,0.736671,0.563643,0.524188,0.524386,0.655885,0.548400,0.568417,0.586023,0.619438,0.595448,0.690788,0.577460,0.594467,0.575681,0.539591,0.535654,0.694156,0.647428,0.632206,0.707996,0.690684
2,triceratops,0,0.654197,0.672645,1.000000,0.760763,0.751343,0.750861,0.741817,0.777173,0.744218,0.774409,0.806826,0.705755,0.730080,0.711799,0.704998,0.700637,0.734973,0.721696,0.702236,0.711378,0.709728,0.735705,0.717618,0.693399,0.750518,0.777179,0.739848,0.771730,0.767076,0.718510,0.814390,0.753144,0.712576,0.787183,0.725111,0.610805,0.742257,0.752554,0.704894,0.682207,0.769337,0.763166,0.679542,0.644304,0.769626,0.718757,0.696937,0.696446,0.751849,0.790430,0.611001,0.736478,0.680983,0.706386,0.729918,0.701144,0.677245,0.680367,0.710740,0.664430,0.695236,0.575850,0.584326,0.626277,0.723123,0.656685,0.608285,0.693664,0.651824,0.596754,0.605516,0.692744,0.666478,0.696021,0.644206,0.675879,0.619882,0.679759,0.692215,0.715162,0.647111,0.668977,0.638927,0.704476,0.663906,0.674303,0.663111,0.650943,0.686015,0.753436,0.606015,0.688865,0.629494,0.600773,0.617600,0.676920,0.708744,0.720641,0.731075,0.700738
3,green mamba,0,0.720494,0.705578,0.760763,1.000000,0.812121,0.824311,0.760158,0.787621,0.806186,0.741089,0.780554,0.719552,0.746879,0.728536,0.713198,0.703093,0.724196,0.714552,0.697543,0.694101,0.709311,0.732022,0.701970,0.696908,0.748565,0.770810,0.766797,0.781030,0.810289,0.773116,0.801795,0.809888,0.793065,0.827625,0.785340,0.589448,0.715051,0.714729,0.667333,0.599068,0.687162,0.672126,0.676701,0.627097,0.730478,0.686401,0.680976,0.697024,0.713530,0.694397,0.608821,0.676316,0.636392,0.655032,0.695370,0.691405,0.634491,0.688603,0.677099,0.648289,0.678464,0.551770,0.601443,0.620436,0.639856,0.654621,0.559960,0.610082,0.631714,0.599737,0.567613,0.671037,0.650864,0.692639,0.595361,0.622811,0.565689,0.669730,0.654602,0.775682,0.582772,0.626248,0.565114,0.675237,0.608696,0.625234,0.604479,0.647147,0.671135,0.707091,0.560039,0.633379,0.639539,0.618247,0.591642,0.736079,0.674992,0.712499,0.741836,0.752576
4,harvestman,0,0.750170,0.738425,0.751343,0.812121,1.000000,0.751354,0.751498,0.792622,0.794116,0.803908,0.724815,0.667716,0.704447,0.683088,0.657078,0.644751,0.697301,0.657596,0.647105,0.650162,0.656205,0.669405,0.662801,0.650633,0.701900,0.738133,0.718154,0.719067,0.741481,0.847090,0.871672,0.923890,0.693944,0.775442,0.724514,0.576920,0.702115,0.698475,0.626948,0.567991,0.671995,0.633895,0.650664,0.624405,0.718856,0.659691,0.654566,0.685726,0.703336,0.675792,0.588941,0.663990,0.610043,0.639669,0.674511,0.666198,0.632982,0.664999,0.652021,0.621266,0.641287,0.529500,0.561815,0.592675,0.623226,0.619432,0.531534,0.603149,0.614473,0.573758,0.538583,0.669038,0.632035,0.668377,0.601934,0.573131,0.540519,0.645206,0.657986,0.847986,0.551728,0.607558,0.529419,0.681502,0.582629,0.602062,0.580231,0.617971,0.641711,0.689992,0.558617,0.621154,0.633092,0.574191,0.560302,0.728356,0.659193,0.703531,0.767126,0.732713
5,toucan,0,0.773204,0.768480,0.750861,0.824311,0.751354,1.000000,0.810500,0.762601,0.705854,0.749655,0.767354,0.717417,0.739465,0.722806,0.728876,0.721254,0.703784,0.705176,0.712379,0.704137,0.707099,0.737361,0.724265,0.693648,0.738531,0.794415,0.753231,0.787396,0.804077,0.758161,0.805260,0.771892,0.752383,0.860782,0.815824,0.614658,0.705379,0.712100,0.657628,0.615931,0.682841,0.688054,0.649706,0.664811,0.729262,0.678351,0.649860,0.664399,0.695503,0.654195,0.562246,0.693236,0.627011,0.637009,0.661280,0.677854,0.641915,0.654182,0.640555,0.650730,0.639044,0.522578,0.568259,0.590193,0.642385,0.632541,0.567182,0.634802,0.626952,0.601642,0.563944,0.672503,0.647407,0.683520,0.590564,0.612026,0.577285,0.700354,0.635879,0.723181,0.590896,0.579784,0.550961,0.659237,0.618804,0.634818,0.600118,0.636064,0.664291,0.665254,0.590594,0.643511,0.645497,0.599952,0.589632,0.714605,0.713259,0.750945,0.694967,0.703980
6,goose,0,0.810402,0.827424,0.741817,0.760158,0.751498,0.810500,1.000000,0.750352,0.713603,0.752395,0.778157,0.768600,0.772779,0.777475,0.766649,0.757220,0.760343,0.745136,0.729255,0.728337,0.752695,0.749771,0.757753,0.738912,0.777254,0.789245,0.784802,0.773812,0.818554,0.755871,0.759846,0.774068,0.759027,0.785447,0.722386,0.616386,0.749913,0.743311,0.675502,0.622599,0.711111,0.706247,0.648332,0.689099,0.740320,0.708882,0.675447,0.685587,0.721850,0.681473,0.604992,0.688960,0.621776,0.660945,0.687476,0.708025,0.689498,0.662816,0.667533,0.646337,0.661513,0.532663,0.595583,0.636837,0.647953,0.685711,0.604412,0.645965,0.629377,0.597988,0.543545,0.705821,0.645190,0.700139,0.644864,0.630776,0.594706,0.707144,0.663853,0.765749,0.623736,0.615704,0.569787,0.687473,0.603348,0.653095,0.623355,0.668392,0.652647,0.729130,0.635894,0.671284,0.655805,0.596941,0.614254,0.704816,0.714277,0.704329,0.726217,0.754404
7,jellyfish,0,0.685376,0.676826,0.777173,0.787621,0.792622,0.762601,0.750352,1.000000,0.833043,0.839485,0.870004,0.680360,0.706061,0.694066,0.718867,0.676465,0.732987,0.701482,0.684426,0.703532,0.698987,0.715599,0.704805,0.704099,0.725962,0.711676,0.751526,0.755397,0.767036,0.786323,0.787429,0.796592,0.739004,0.788859,0.844597,0.653712,0.756009,0.753750,0.687117,0.665158,0.706570,0.731674,0.694610,0.698018,0.781892,0.722282,0.714208,0.723806,0.741758,0.721853,0.668383,0.738769,0.674386,0.682070,0.711982,0.729822,0.649636,0.733533,0.677095,0.670659,0.720566,0.607831,0.654171,0.659123,0.683504,0.701330,0.613595,0.678479,0.649006,0.630495,0.583022,0.724199,0.672112,0.730860,0.637249,0.631920,0.617895,0.798562,0.711146,0.805166,0.629840,0.574586,0.621123,0.700277,0.636251,0.671011,0.621859,0.698754,0.720997,0.695373,0.618056,0.698900,0.686379,0.656675,0.640347,0.765934,0.713401,0.856552,0.775957,0.723991
8,nematode,0,0.655805,0.664449,0.744218,0.806186,0.794116,0.705854,0.713603,0.833043,1.000000,0.719679,0.747067,0.676585,0.692078,0.686111,0.677872,0.661910,0.701335,0.660626,0.647961,0.649843,0.651004,0.679108,0.662538,0.654156,0.673362,0.698119,0.689007,0.675734,0.707595,0.750726,0.783721,0.820580,0.719166,0.742340,0.766492,0.579591,0.717948,0.732900,0.652660,0.599102,0.681693,0.645248,0.692097,0.630654,0.773685,0.688825,0.719212,0.734679,0.733444,0.698289,0.653694,0.684996,0.629013,0.674223,0.718351,0.718317,0.642960,0.729094,0.684261,0.647214,0.755642,0.555149,0.585958,0.614361,0.671846,0.664065,0.620710,0.643471,0.637763,0.585418,0.601912,0.655014,0.687539,0.702771,0.617887,0.601187,0.564066,0.661432,0.719411,0.744619,0.581298,0.584655,0.568678,0.715869,0.626765,0.590032,0.615831,0.637971,0.681787,0.717288,0.575062,0.646627,0.674377,0.591609,0.601691,0.707528,0.628360,0.752474,0.749698,0.758875
9,king crab,0,0.680222,0.667199,0.774409,0.741089,0.803908,0.749655,0.752395,0.839485,0.719679,1.000000,0.787437,0.709427,0.718659,0.701784,0.718534,0.694061,0.735180,0.715802,0.687506,0.717343,0.704422,0.724262,0.703955,0.701652,0.700307,0.701375,0.714890,0.701644,0.722890,0.743097,0.801084,0.780963,0.710739,0.752403,0.769982,0.634741,0.736402,0.764837,0.724349,0.623584,0.694887,0.705974,0.680482,0.713877,0.728693,0.718061,0.698944,0.680903,0.744703,0.707049,0.623097,0.680454,0.643798,0.663389,0.704000,0.779087,0.672952,0.690332,0.677464,0.650110,0.650175,0.560445,0.611927,0.635902,0.620900,0.712130,0.576701,0.630169,0.636866,0.599728,0.548832,0.721747,0.643483,0.748429,0.627191,0.630273,0.628633,0.747985,0.663480,0.766307,0.609515,0.572167,0.567464,0.669614,0.639885,0.669769,0.613583,0.651215,0.753473,0.683615,0.642169,0.672285,0.742203,0.696720,0.721330,0.768581,0.690858,0.786812,0.766933,0.749071
