eval_session,true_class_id,true_class_name,final_pred_class_id,final_pred_class_name,count,mean_final_pred_conf,mean_final_true_prob,mean_final_pred_prob,mean_clip_true_sim,mean_clip_pred_sim,mean_dino_true_sim_raw,mean_dino_pred_sim_raw,mean_dino_true_sim_final,mean_dino_pred_sim_final,query_numbers
0,0,house finch,1,robin,1,0.783884,0.20862,0.783884,0.79687,0.785439,0.146794,0.166448,0.146794,0.166448,62
0,0,house finch,44,chime,2,0.400421,0.161969,0.400421,0.613511,0.691573,0.075638,0.218974,0.075638,0.218974,76 91
0,3,green mamba,24,white wolf,1,0.393918,0.254859,0.393918,0.735887,0.663725,0.045253,0.091733,0.045253,0.091733,379
0,4,harvestman,33,three-toed sloth,1,0.381841,0.011218,0.381841,0.773625,0.71068,0.078057,0.107396,0.078057,0.107396,490
0,7,jellyfish,41,carousel,1,0.422004,0.161665,0.422004,0.76838,0.686684,0.094406,0.10103,0.094406,0.10103,714
0,8,nematode,1,robin,1,0.39459,0.36717,0.39459,0.801295,0.645845,0.049796,0.061636,0.049796,0.061636,816
0,8,nematode,25,African hunting dog,2,0.389237,0.289787,0.389237,0.732434,0.631042,0.094307,0.062183,0.094307,0.062183,822 881
0,11,Walker hound,12,Ibizan hound,1,0.575865,0.419398,0.575865,0.857335,0.846957,0.241552,0.240452,0.241552,0.240452,1163
0,12,Ibizan hound,11,Walker hound,2,0.770882,0.019262,0.770882,0.828072,0.826425,0.284222,0.365995,0.284222,0.365995,1228 1290
0,12,Ibizan hound,13,Saluki,3,0.998719,0.00128,0.998719,0.816965,0.836926,0.326416,0.60562,0.326416,0.60562,1212 1238 1263
0,13,Saluki,11,Walker hound,1,0.986451,0.013455,0.986451,0.82855,0.788092,0.309536,0.540062,0.309536,0.540062,1364
0,13,Saluki,12,Ibizan hound,4,0.824498,0.175474,0.824498,0.867687,0.86487,0.507992,0.559467,0.507992,0.559467,1306 1358 1374 1376
0,13,Saluki,18,Tibetan mastiff,1,0.674812,0.001234,0.674812,0.793979,0.84193,0.188966,0.392792,0.188966,0.392792,1309
0,13,Saluki,33,three-toed sloth,1,0.396303,0.252772,0.396303,0.690972,0.602877,0.209564,0.107606,0.209564,0.107606,1355
0,15,Gordon setter,14,golden retriever,2,0.691724,0.019714,0.691724,0.782361,0.795363,0.2076,0.402106,0.2076,0.402106,1508 1560
0,15,Gordon setter,22,Newfoundland,1,0.552111,0.000958,0.552111,0.878641,0.877336,0.141612,0.323411,0.141612,0.323411,1593
0,16,komondor,23,miniature poodle,5,0.785815,0.212939,0.785815,0.828423,0.85997,0.243989,0.373376,0.243989,0.373376,1612 1665 1676 1678 1683
0,17,boxer,14,golden retriever,1,0.419322,0.005811,0.419322,0.819639,0.829152,0.105972,0.217263,0.105972,0.217263,1731
0,17,boxer,19,French bulldog,4,0.775965,0.08004,0.775965,0.831508,0.852276,0.305683,0.418158,0.305683,0.418158,1716 1736 1795 1798
0,17,boxer,23,miniature poodle,1,0.999247,0.000733,0.999247,0.855878,0.855207,0.129894,0.392896,0.129894,0.392896,1730
