eval_session,true_class_id,true_class_name,final_pred_class_id,final_pred_class_name,count,mean_final_pred_conf,mean_final_true_prob,mean_final_pred_prob,mean_clip_true_sim,mean_clip_pred_sim,mean_dino_true_sim_raw,mean_dino_pred_sim_raw,mean_dino_true_sim_final,mean_dino_pred_sim_final,query_numbers
8,0,house finch,1,robin,1,0.785217,0.206089,0.785217,0.79687,0.785439,0.146794,0.166448,0.146794,0.166448,62
8,0,house finch,59,horizontal bar,1,0.449198,0.044676,0.449198,0.668189,0.662979,0.122181,0.165219,0.122181,0.165219,76
8,0,house finch,91,street sign,1,0.459003,0.000126,0.459003,0.558832,0.649207,0.029096,0.173391,0.029096,0.196203,91
8,3,green mamba,89,worm fence,1,0.580666,0.006312,0.580666,0.735887,0.735685,0.045253,0.179935,0.045253,0.18908,379
8,4,harvestman,98,bolete,1,0.604534,0.0,0.604534,0.773625,0.936865,0.078057,0.377738,0.078057,0.424893,490
8,7,jellyfish,41,carousel,1,0.417899,0.052163,0.417899,0.76838,0.686684,0.094406,0.10103,0.094406,0.10103,714
8,7,jellyfish,77,snorkel,2,0.55521,0.049198,0.55521,0.749715,0.801908,0.451206,0.51657,0.451206,0.571621,706 745
8,8,nematode,1,robin,1,0.397134,0.295885,0.397134,0.801295,0.645845,0.049796,0.061636,0.049796,0.061636,816
8,8,nematode,3,green mamba,1,0.366482,0.156785,0.366482,0.826219,0.762815,0.118941,0.189594,0.118941,0.189594,818
8,8,nematode,99,ear,1,0.604376,5e-06,0.604376,0.688584,0.83095,0.032521,0.476582,0.032521,0.406226,881
8,11,Walker hound,12,Ibizan hound,1,0.572912,0.422316,0.572912,0.857335,0.846957,0.241552,0.240452,0.241552,0.240452,1163
8,12,Ibizan hound,11,Walker hound,2,0.770854,0.01926,0.770854,0.828072,0.826425,0.284222,0.365995,0.284222,0.365995,1228 1290
8,12,Ibizan hound,13,Saluki,3,0.998719,0.00128,0.998719,0.816965,0.836926,0.326416,0.60562,0.326416,0.60562,1212 1238 1263
8,13,Saluki,11,Walker hound,1,0.986452,0.013455,0.986452,0.828549,0.788092,0.309536,0.540062,0.309536,0.540062,1364
8,13,Saluki,12,Ibizan hound,5,0.760146,0.171325,0.760146,0.832344,0.828676,0.448306,0.49638,0.448306,0.49638,1306 1355 1358 1374 1376
8,13,Saluki,18,Tibetan mastiff,1,0.67481,0.001234,0.67481,0.793979,0.84193,0.188966,0.392792,0.188966,0.392792,1309
8,15,Gordon setter,14,golden retriever,3,0.679885,0.127672,0.679885,0.79071,0.801457,0.281983,0.436473,0.281983,0.436473,1508 1560 1591
8,15,Gordon setter,22,Newfoundland,1,0.55211,0.000958,0.55211,0.878641,0.877336,0.141612,0.323411,0.141612,0.323411,1593
8,16,komondor,23,miniature poodle,5,0.897031,0.101724,0.897031,0.828423,0.85997,0.243989,0.373376,0.243989,0.373376,1612 1665 1676 1678 1683
8,17,boxer,14,golden retriever,1,0.488865,0.00581,0.488865,0.819639,0.829152,0.105972,0.217263,0.105972,0.217263,1731
8,17,boxer,19,French bulldog,4,0.836526,0.073575,0.836526,0.831508,0.852276,0.305683,0.418157,0.305683,0.418157,1716 1736 1795 1798
8,17,boxer,23,miniature poodle,1,0.999247,0.000733,0.999247,0.855878,0.855207,0.129894,0.392897,0.129894,0.392897,1730
