class_id,class_name,intro_session,0:house finch,1:robin,2:triceratops,3:green mamba,4:harvestman,5:toucan,6:goose,7:jellyfish,8:nematode,9:king crab,10:dugong,11:Walker hound,12:Ibizan hound,13:Saluki,14:golden retriever,15:Gordon setter,16:komondor,17:boxer,18:Tibetan mastiff,19:French bulldog,20:malamute,21:dalmatian,22:Newfoundland,23:miniature poodle,24:white wolf,25:African hunting dog,26:Arctic fox,27:lion,28:meerkat,29:ladybug,30:rhinoceros beetle,31:ant,32:black-footed ferret,33:three-toed sloth,34:rock beauty,35:aircraft carrier,36:ashcan,37:barrel,38:beer bottle,39:bookshop,40:cannon,41:carousel,42:carton,43:catamaran,44:chime,45:clog,46:cocktail shaker,47:combination lock,48:crate,49:cuirass,50:dishrag,51:dome,52:electric guitar,53:file,54:fire screen,55:frying pan,56:garbage truck,57:hair slide,58:holster,59:horizontal bar,60:hourglass,61:iPod,62:lipstick,63:miniskirt,64:missile,65:mixing bowl,66:oboe,67:organ,68:parallel bars,69:pencil box,70:photocopier,71:poncho,72:prayer rug,73:reel,74:school bus,75:scoreboard,76:slot,77:snorkel,78:solar dish,79:spider web,80:stage,81:tank,82:theater curtain,83:tile roof,84:tobacco shop,85:unicycle,86:upright,87:vase,88:wok,89:worm fence,90:yawl,91:street sign,92:consomme,93:trifle,94:hotdog,95:orange,96:cliff,97:coral reef,98:bolete,99:ear
0,house finch,0,1.000000,0.055123,-0.021741,0.009506,0.060460,0.008346,0.051227,0.002120,0.017852,0.052471,0.030257,0.001917,-0.018357,0.013784,0.015435,0.025838,0.078998,0.009132,0.004621,0.026256,-0.008164,-0.009254,0.015904,0.042274,0.006339,0.025526,-0.004206,0.030652,0.011697,0.068638,0.028173,0.053771,-0.032929,0.118863,-0.017009,0.037980,-0.008386,-0.000447,0.006852,-0.007188,-0.041478,0.003768,0.012214,-0.010845,0.008465,0.026705,0.031914,-0.039315,0.028103,-0.003945,-0.007625,-0.022803,0.007426,0.011487,0.023649,-0.009977,-0.008762,0.005586,-0.006794,0.000834,0.048761,-0.005245,0.000115,0.003859,0.006860,-0.050383,-0.028384,0.004398,0.019296,-0.002429,0.016027,0.025043,-0.054000,-0.020646,0.052627,-0.024475,-0.045976,0.013469,-0.018881,-0.005290,0.003010,-0.004086,0.043985,0.035488,-0.042480,-0.041545,-0.002549,-0.012608,0.023653,-0.006893,-0.003844,-0.035461,-0.011996,0.024303,0.037689,-0.028091,-0.043226,0.026895,0.045404,0.016380
1,robin,0,0.055123,1.000000,-0.003472,0.025964,0.058829,-0.006076,0.046207,0.013638,0.044324,-0.005843,0.001193,0.029572,0.006171,0.006698,0.016305,0.039370,0.047480,0.069690,0.081675,0.012556,-0.036401,-0.064489,0.060743,-0.051902,-0.005734,-0.019633,-0.028935,0.028147,0.030398,0.017982,0.030825,0.082517,0.048887,0.026516,0.025006,0.079126,-0.049821,-0.013207,0.036452,0.004677,-0.000507,-0.016630,0.019090,0.025357,0.017954,0.016579,0.050674,0.034632,-0.042179,0.019452,0.015199,-0.016549,0.004355,-0.002814,-0.034743,-0.021980,0.037789,-0.001598,0.004392,-0.022048,0.055300,-0.060648,-0.030074,0.070890,0.032170,0.043987,-0.022744,0.071095,-0.021609,0.011556,-0.027938,0.033682,-0.010015,-0.049882,-0.000974,0.060925,0.012921,-0.014511,0.030588,0.020252,0.034769,-0.018174,-0.019471,0.013759,0.020070,-0.032715,0.012583,0.005826,-0.012686,0.047158,0.033628,0.021584,-0.031562,0.006355,0.048524,0.107155,-0.007060,0.024326,0.041056,0.038343
2,triceratops,0,-0.021741,-0.003472,1.000000,0.041917,-0.021361,0.069577,-0.005605,-0.008796,0.035881,0.109549,0.076298,0.007217,0.015682,0.000273,0.039084,0.038694,0.023517,0.007539,0.033317,0.046239,-0.003815,0.031158,0.050428,-0.006959,0.073621,0.055691,0.017665,0.020043,0.086826,0.063205,0.167074,0.026838,-0.000311,0.053145,0.024953,0.006303,0.034454,0.026529,0.025530,0.042197,0.077433,0.131623,0.014320,-0.018179,0.006723,0.067910,-0.011173,-0.000118,0.026991,0.073237,0.003659,0.002943,0.030123,0.023793,0.050134,0.017391,0.001654,0.037955,-0.011484,0.018555,-0.024967,-0.020745,0.028867,0.018581,0.088460,0.038694,-0.010012,0.107158,-0.006939,0.060342,0.017449,0.011191,-0.037079,0.006527,0.009134,0.084358,0.012275,0.028595,-0.000659,0.036276,0.073438,0.018501,0.058713,0.043629,-0.043187,0.045580,0.005310,0.045412,0.003395,0.084817,0.000341,-0.019472,0.016884,0.037785,0.022958,0.014888,0.018525,0.003628,-0.030652,0.005905
3,green mamba,0,0.009506,0.025964,0.041917,1.000000,0.060021,0.096220,0.033638,0.033596,0.053325,0.081917,0.094327,0.023562,0.053033,0.049898,0.034239,-0.031223,0.040856,-0.016474,0.039815,-0.067572,-0.002680,-0.060750,0.034329,-0.001661,0.064338,0.056621,0.081050,0.053151,0.072566,0.011419,0.045356,0.021662,0.050575,0.050110,0.027334,0.063210,0.038588,-0.009138,0.060119,0.045540,0.084828,0.019206,0.025350,0.017189,-0.002311,0.034141,0.005266,0.018790,-0.010961,0.045592,0.027268,-0.005751,0.040490,-0.009090,0.000891,0.062358,0.009882,-0.032819,0.046114,0.035339,-0.019860,-0.011434,0.022358,0.025825,0.056319,0.041357,-0.004142,-0.014756,0.037687,0.040632,0.072391,0.034835,-0.005944,-0.016611,-0.036609,0.042640,0.000682,0.014239,-0.006430,0.060051,0.023569,0.045133,-0.005119,-0.024684,0.021618,0.031779,-0.021924,0.036455,0.058251,0.074611,0.012000,0.029147,0.041708,0.013561,-0.015773,-0.008930,-0.031639,0.007611,0.050802,-0.017956
4,harvestman,0,0.060460,0.058829,-0.021361,0.060021,1.000000,0.021075,0.086444,0.055509,0.023587,0.185251,-0.027257,-0.016148,0.009420,0.054969,0.018250,0.003115,0.043084,0.089288,0.030216,0.008233,0.034106,0.001583,0.013947,0.044821,-0.012766,0.011141,-0.008473,0.068915,0.018612,0.082768,-0.011172,0.269328,-0.002544,0.115254,-0.009948,0.009102,0.005530,0.053622,0.034854,0.020108,-0.041435,-0.027328,0.011094,-0.036581,0.002273,0.005089,-0.016122,0.039642,0.041475,-0.022347,-0.024732,0.020696,0.027444,0.039971,0.038564,0.041932,0.010464,0.047354,-0.013075,-0.001621,0.049314,-0.020123,-0.020356,0.037434,-0.032693,0.012583,-0.027528,0.055717,0.022563,-0.018900,0.058097,-0.023837,0.000053,0.007307,-0.009832,-0.035012,-0.014412,-0.010958,-0.011032,0.111230,0.026201,-0.052764,0.051075,0.003556,-0.016963,-0.004175,0.016974,0.009892,-0.007284,0.051632,-0.054003,-0.047859,0.004443,-0.000740,0.044185,0.028660,0.009761,0.055686,0.046960,0.009972
5,toucan,0,0.008346,-0.006076,0.069577,0.096220,0.021075,1.000000,0.055705,-0.026568,0.011222,0.013196,0.019074,0.066987,0.015626,0.024505,0.044304,0.073156,0.049026,0.086890,0.036930,0.080300,0.084936,0.007726,0.020244,0.012076,0.001309,0.073472,0.011091,0.064309,0.019762,0.031765,0.065979,0.048811,0.065818,0.074028,0.101854,-0.003834,-0.024325,-0.004089,0.019877,-0.040997,-0.017913,0.053130,-0.023365,0.033010,0.010810,0.012416,-0.051497,-0.000878,-0.008659,-0.013063,-0.009430,-0.031181,0.062832,0.004025,0.021701,0.001654,-0.009554,0.053121,-0.028205,0.077769,-0.009306,0.020034,0.084707,0.030936,0.007936,0.007870,-0.040164,0.021797,0.063579,0.026263,0.049249,0.020703,-0.018201,0.018296,0.057500,0.012443,-0.001552,0.038696,-0.008634,0.004387,0.032249,-0.048172,0.008395,-0.011768,-0.030445,0.031757,0.037734,0.033725,0.006167,0.061380,0.011323,0.003214,-0.002789,-0.009218,-0.002774,0.063139,0.052159,-0.035735,0.037087,0.028846
6,goose,0,0.051227,0.046207,-0.005605,0.033638,0.086444,0.055705,1.000000,-0.001385,-0.000284,0.000846,0.039480,0.023801,0.022066,0.024534,0.077501,0.019681,0.067287,0.043966,0.073691,0.010390,0.039272,-0.022527,0.031054,0.063124,-0.001140,0.009459,0.029456,0.045602,0.073471,0.045574,0.069752,0.050312,0.084269,0.088847,0.018458,0.054883,-0.022125,-0.053267,0.017019,-0.037161,0.000358,0.013159,0.021599,0.015478,-0.004257,0.056749,0.041906,0.011420,-0.024945,0.015003,-0.010412,0.051485,-0.027601,0.009935,0.061665,0.057910,0.044825,0.018819,0.038011,0.011560,0.044831,0.008311,-0.016230,0.009846,0.039227,-0.009582,0.005892,0.039344,0.001332,0.015800,0.001408,0.025410,-0.007966,-0.018892,0.000562,0.030735,0.013559,-0.006080,-0.009636,0.043466,0.022785,-0.002843,0.032721,0.048597,-0.052078,0.012819,0.040577,0.009198,0.041894,0.041846,0.047311,-0.004324,-0.017674,0.012041,0.022366,-0.021619,-0.046384,0.030134,0.019204,0.022623
7,jellyfish,0,0.002120,0.013638,-0.008796,0.033596,0.055509,-0.026568,-0.001385,1.000000,0.184630,0.025154,0.126046,-0.016257,-0.002106,0.028855,0.028133,0.014605,0.014775,0.019493,0.045546,0.024972,0.034410,-0.044697,-0.006604,0.016486,-0.017532,0.018312,-0.021314,0.064946,0.005867,0.027491,-0.048929,0.011113,0.004805,0.037291,0.019765,-0.002308,0.029965,-0.014081,0.061862,-0.013719,0.009898,-0.002225,0.016084,0.052041,0.019185,-0.004947,-0.020941,0.031728,-0.038832,-0.003794,-0.042386,0.124935,-0.007425,-0.011301,0.010097,0.002625,0.050089,0.059342,0.030038,-0.079345,0.272639,0.015705,-0.052920,0.017453,0.021520,0.020018,-0.052382,-0.025549,-0.070684,0.016329,0.000287,-0.023091,0.035996,0.044402,0.060767,-0.017948,-0.009759,0.084592,0.025311,0.055010,0.041070,0.062365,0.052739,0.014323,0.028492,0.012937,0.009851,0.054186,-0.040491,-0.018969,0.013986,-0.020921,0.054032,0.041198,0.057494,0.071313,-0.008701,0.109567,0.087892,0.041731
8,nematode,0,0.017852,0.044324,0.035881,0.053325,0.023587,0.011222,-0.000284,0.184630,1.000000,-0.035330,0.060948,0.012548,0.046408,0.080103,0.001957,-0.041845,0.025541,0.058985,-0.014240,-0.002297,0.053553,0.002106,-0.009378,0.005998,0.044371,0.013867,0.064036,0.004126,0.040483,0.054093,0.009404,0.066250,0.066350,-0.017279,0.017084,-0.026882,-0.023917,0.008697,0.018538,0.006390,-0.007068,-0.008991,-0.033483,-0.021612,0.044501,0.035733,0.032004,0.013771,0.010441,-0.008189,0.009000,0.025480,0.002355,-0.011426,-0.021521,0.046000,0.007966,0.051812,0.038211,-0.009633,0.054482,0.033139,0.027715,0.004149,0.027369,0.033475,0.060829,0.011032,-0.021855,0.005676,-0.009196,-0.022439,0.025358,-0.023681,0.002310,0.010712,0.009975,0.039323,0.026443,0.011199,0.059957,-0.002784,0.035159,0.015018,0.059595,-0.009002,0.027866,-0.005792,0.022622,-0.011067,-0.038609,-0.017690,0.035732,-0.005016,0.028914,0.048826,0.010071,-0.025051,0.081883,0.060094
9,king crab,0,0.052471,-0.005843,0.109549,0.081917,0.185251,0.013196,0.000846,0.025154,-0.035330,1.000000,0.027734,0.038658,0.025928,0.015367,0.029824,0.004189,0.070548,0.015598,-0.012417,0.004782,0.018294,-0.004665,-0.003546,0.053620,0.043875,-0.035069,-0.008071,-0.001536,-0.004543,0.030101,0.068450,0.036494,-0.007902,0.026864,0.023977,0.009783,-0.008601,0.012192,-0.000203,-0.004110,0.024523,0.031268,0.004784,0.029518,0.032378,-0.032410,-0.030505,-0.025427,0.018389,0.009736,0.013103,0.003893,-0.011314,0.028318,-0.045208,0.066908,-0.002732,0.008541,-0.020672,0.031523,-0.040801,-0.025806,0.005555,-0.054327,-0.017345,-0.009325,0.018798,-0.022745,0.022885,0.010584,0.035714,0.008091,-0.013742,-0.012954,-0.022490,-0.014443,-0.015396,0.028912,-0.066187,0.059146,0.013011,0.046867,0.043159,0.038577,0.018382,0.011595,-0.015323,-0.011096,0.053035,0.052257,0.034408,0.049543,0.056161,0.063899,0.010937,0.011800,0.015159,0.035187,0.054978,-0.027309
