class_id,class_name,intro_session,0:house finch,1:robin,2:triceratops,3:green mamba,4:harvestman,5:toucan,6:goose,7:jellyfish,8:nematode,9:king crab,10:dugong,11:Walker hound,12:Ibizan hound,13:Saluki,14:golden retriever,15:Gordon setter,16:komondor,17:boxer,18:Tibetan mastiff,19:French bulldog,20:malamute,21:dalmatian,22:Newfoundland,23:miniature poodle,24:white wolf,25:African hunting dog,26:Arctic fox,27:lion,28:meerkat,29:ladybug,30:rhinoceros beetle,31:ant,32:black-footed ferret,33:three-toed sloth,34:rock beauty,35:aircraft carrier,36:ashcan,37:barrel,38:beer bottle,39:bookshop,40:cannon,41:carousel,42:carton,43:catamaran,44:chime,45:clog,46:cocktail shaker,47:combination lock,48:crate,49:cuirass,50:dishrag,51:dome,52:electric guitar,53:file,54:fire screen,55:frying pan,56:garbage truck,57:hair slide,58:holster,59:horizontal bar,60:hourglass,61:iPod,62:lipstick,63:miniskirt,64:missile,65:mixing bowl,66:oboe,67:organ,68:parallel bars,69:pencil box,70:photocopier,71:poncho,72:prayer rug,73:reel,74:school bus,75:scoreboard,76:slot,77:snorkel,78:solar dish,79:spider web,80:stage,81:tank,82:theater curtain,83:tile roof,84:tobacco shop,85:unicycle,86:upright,87:vase,88:wok,89:worm fence,90:yawl,91:street sign,92:consomme,93:trifle,94:hotdog,95:orange,96:cliff,97:coral reef,98:bolete,99:ear
0,house finch,0,1.000000,0.055123,-0.021741,0.009506,0.060460,0.008346,0.051227,0.002120,0.017852,0.052471,0.030257,0.001917,-0.018357,0.013784,0.015435,0.025838,0.078998,0.009132,0.004621,0.026256,-0.008164,-0.009254,0.015904,0.042274,0.006339,0.025526,-0.004206,0.030652,0.011697,0.068638,0.028173,0.053771,-0.032929,0.118863,-0.017009,0.037980,-0.008386,-0.000447,0.006852,-0.007188,-0.041478,0.003768,0.012214,-0.010845,0.008465,0.026705,0.031914,-0.039315,0.028103,-0.003945,-0.007625,-0.022803,0.007426,0.011487,0.023649,-0.009977,-0.008762,0.005586,-0.006794,0.000834,0.037756,-0.003423,0.005601,-0.009647,0.008367,-0.049416,-0.025069,-0.011918,0.020884,0.006028,0.011569,0.010083,-0.048549,-0.007489,0.054912,-0.022287,-0.036401,0.017328,-0.011788,0.002288,0.002081,-0.005211,0.045140,0.044048,-0.036568,-0.049335,-0.005777,-0.011123,0.007674,-0.003545,-0.006481,-0.045425,-0.000222,0.027655,0.042463,-0.025549,-0.034713,0.015344,0.034603,-0.012694
1,robin,0,0.055123,1.000000,-0.003472,0.025964,0.058829,-0.006076,0.046207,0.013638,0.044324,-0.005843,0.001193,0.029572,0.006171,0.006698,0.016305,0.039370,0.047480,0.069690,0.081675,0.012556,-0.036401,-0.064489,0.060743,-0.051902,-0.005734,-0.019633,-0.028935,0.028147,0.030398,0.017982,0.030825,0.082517,0.048887,0.026516,0.025006,0.079126,-0.049821,-0.013207,0.036452,0.004677,-0.000507,-0.016630,0.019090,0.025357,0.017954,0.016579,0.050674,0.034632,-0.042179,0.019452,0.015199,-0.016549,0.004355,-0.002814,-0.034743,-0.021980,0.037789,-0.001598,0.004392,-0.022048,0.060760,-0.050825,-0.022728,0.071991,0.045975,0.053544,-0.031072,0.073197,-0.004298,0.015111,-0.021622,0.029335,-0.018375,-0.039162,-0.000686,0.069430,0.018009,-0.009112,0.013108,0.033911,0.024559,-0.016836,-0.007002,0.017850,0.017766,-0.022182,-0.000122,0.010655,-0.011552,0.042592,0.034739,0.011997,-0.021168,0.004364,0.053612,0.109423,-0.002799,0.020605,0.040374,0.033001
2,triceratops,0,-0.021741,-0.003472,1.000000,0.041917,-0.021361,0.069577,-0.005605,-0.008796,0.035881,0.109549,0.076298,0.007217,0.015682,0.000273,0.039084,0.038694,0.023517,0.007539,0.033317,0.046239,-0.003815,0.031158,0.050428,-0.006959,0.073621,0.055691,0.017665,0.020043,0.086826,0.063205,0.167074,0.026838,-0.000311,0.053145,0.024953,0.006303,0.034454,0.026529,0.025530,0.042197,0.077433,0.131623,0.014320,-0.018179,0.006723,0.067910,-0.011173,-0.000118,0.026991,0.073237,0.003659,0.002943,0.030123,0.023793,0.050134,0.017391,0.001654,0.037955,-0.011484,0.018555,-0.024703,-0.021921,0.029759,0.043142,0.075665,0.028121,-0.011763,0.102167,0.001577,0.066752,0.014572,0.022223,-0.046903,0.014028,0.021951,0.086059,0.012902,0.029229,-0.001148,0.046427,0.080214,0.027748,0.056477,0.045791,-0.053076,0.056954,0.014072,0.065181,0.008060,0.083767,0.003715,-0.015368,0.017334,0.047113,0.020799,0.023436,0.018302,0.019973,-0.027059,0.010211
3,green mamba,0,0.009506,0.025964,0.041917,1.000000,0.060021,0.096220,0.033638,0.033596,0.053325,0.081917,0.094327,0.023562,0.053033,0.049898,0.034239,-0.031223,0.040856,-0.016474,0.039815,-0.067572,-0.002680,-0.060750,0.034329,-0.001661,0.064338,0.056621,0.081050,0.053151,0.072566,0.011419,0.045356,0.021662,0.050575,0.050110,0.027334,0.063210,0.038588,-0.009138,0.060119,0.045540,0.084828,0.019206,0.025350,0.017189,-0.002311,0.034141,0.005266,0.018790,-0.010961,0.045592,0.027268,-0.005751,0.040490,-0.009090,0.000891,0.062358,0.009882,-0.032819,0.046114,0.035339,-0.017873,0.003387,0.023860,0.025542,0.054306,0.037518,-0.004754,-0.023654,0.037362,0.055648,0.077401,0.016018,-0.015088,-0.028234,-0.024335,0.041969,-0.004864,0.024402,-0.014089,0.070365,0.020748,0.050295,0.001043,-0.031777,0.017219,0.042169,-0.020450,0.019633,0.068096,0.064706,0.008718,0.026113,0.040653,0.017411,-0.013338,-0.020421,-0.027086,0.016898,0.054467,-0.013721
4,harvestman,0,0.060460,0.058829,-0.021361,0.060021,1.000000,0.021075,0.086444,0.055509,0.023587,0.185251,-0.027257,-0.016148,0.009420,0.054969,0.018250,0.003115,0.043084,0.089288,0.030216,0.008233,0.034106,0.001583,0.013947,0.044821,-0.012766,0.011141,-0.008473,0.068915,0.018612,0.082768,-0.011172,0.269328,-0.002544,0.115254,-0.009948,0.009102,0.005530,0.053622,0.034854,0.020108,-0.041435,-0.027328,0.011094,-0.036581,0.002273,0.005089,-0.016122,0.039642,0.041475,-0.022347,-0.024732,0.020696,0.027444,0.039971,0.038564,0.041932,0.010464,0.047354,-0.013075,-0.001621,0.048305,-0.011244,-0.026143,0.025600,-0.028578,0.029861,-0.032964,0.060963,0.009080,-0.023471,0.059863,-0.039666,-0.000577,0.012091,-0.003432,-0.035494,-0.015002,-0.028217,-0.009414,0.143799,0.031616,-0.051869,0.035322,0.000408,-0.020945,0.011472,0.021917,0.012689,-0.002332,0.037581,-0.049789,-0.043875,0.016704,-0.001171,0.036221,-0.003203,0.007325,0.062839,0.048137,0.001093
5,toucan,0,0.008346,-0.006076,0.069577,0.096220,0.021075,1.000000,0.055705,-0.026568,0.011222,0.013196,0.019074,0.066987,0.015626,0.024505,0.044304,0.073156,0.049026,0.086890,0.036930,0.080300,0.084936,0.007726,0.020244,0.012076,0.001309,0.073472,0.011091,0.064309,0.019762,0.031765,0.065979,0.048811,0.065818,0.074028,0.101854,-0.003834,-0.024325,-0.004089,0.019877,-0.040997,-0.017913,0.053130,-0.023365,0.033010,0.010810,0.012416,-0.051497,-0.000878,-0.008659,-0.013063,-0.009430,-0.031181,0.062832,0.004025,0.021701,0.001654,-0.009554,0.053121,-0.028205,0.077769,-0.010349,0.020976,0.074990,0.021721,0.008596,-0.003029,-0.033500,0.017190,0.055593,0.046886,0.044667,-0.005610,-0.017678,0.006942,0.065265,0.013273,0.000212,0.037876,-0.006076,0.012728,0.033499,-0.049488,0.012249,-0.008422,-0.032219,0.028581,0.039397,0.015515,0.005480,0.058434,0.007652,0.006043,-0.002360,-0.004866,-0.000824,0.037187,0.047953,-0.028481,0.041842,0.035005
6,goose,0,0.051227,0.046207,-0.005605,0.033638,0.086444,0.055705,1.000000,-0.001385,-0.000284,0.000846,0.039480,0.023801,0.022066,0.024534,0.077501,0.019681,0.067287,0.043966,0.073691,0.010390,0.039272,-0.022527,0.031054,0.063124,-0.001140,0.009459,0.029456,0.045602,0.073471,0.045574,0.069752,0.050312,0.084269,0.088847,0.018458,0.054883,-0.022125,-0.053267,0.017019,-0.037161,0.000358,0.013159,0.021599,0.015478,-0.004257,0.056749,0.041906,0.011420,-0.024945,0.015003,-0.010412,0.051485,-0.027601,0.009935,0.061665,0.057910,0.044825,0.018819,0.038011,0.011560,0.048552,0.026438,-0.027256,0.020427,0.037858,-0.030102,0.011578,0.039410,0.004946,0.023131,-0.004108,0.025506,-0.014909,-0.029015,0.002862,0.026929,0.007172,-0.001630,-0.010145,0.041074,0.017181,-0.001103,0.025559,0.034214,-0.055821,0.034291,0.042610,0.037763,0.055538,0.025316,0.050518,-0.006445,-0.021862,0.010650,0.019033,-0.025727,-0.046999,0.030060,0.025723,0.008902
7,jellyfish,0,0.002120,0.013638,-0.008796,0.033596,0.055509,-0.026568,-0.001385,1.000000,0.184630,0.025154,0.126046,-0.016257,-0.002106,0.028855,0.028133,0.014605,0.014775,0.019493,0.045546,0.024972,0.034410,-0.044697,-0.006604,0.016486,-0.017532,0.018312,-0.021314,0.064946,0.005867,0.027491,-0.048929,0.011113,0.004805,0.037291,0.019765,-0.002308,0.029965,-0.014081,0.061862,-0.013719,0.009898,-0.002225,0.016084,0.052041,0.019185,-0.004947,-0.020941,0.031728,-0.038832,-0.003794,-0.042386,0.124935,-0.007425,-0.011301,0.010097,0.002625,0.050089,0.059342,0.030038,-0.079345,0.282295,0.025067,-0.053908,0.015441,0.022343,0.039030,-0.039727,-0.028831,-0.077447,0.002358,-0.002802,-0.039015,0.045795,0.052967,0.068880,-0.043994,-0.005790,0.096411,0.013733,0.065409,0.041579,0.066248,0.057033,0.012135,0.010719,0.025970,0.016639,0.069303,-0.038191,-0.025613,0.014700,-0.023633,0.070614,0.043974,0.051794,0.095013,-0.001604,0.128060,0.089119,0.035736
8,nematode,0,0.017852,0.044324,0.035881,0.053325,0.023587,0.011222,-0.000284,0.184630,1.000000,-0.035330,0.060948,0.012548,0.046408,0.080103,0.001957,-0.041845,0.025541,0.058985,-0.014240,-0.002297,0.053553,0.002106,-0.009378,0.005998,0.044371,0.013867,0.064036,0.004126,0.040483,0.054093,0.009404,0.066250,0.066350,-0.017279,0.017084,-0.026882,-0.023917,0.008697,0.018538,0.006390,-0.007068,-0.008991,-0.033483,-0.021612,0.044501,0.035733,0.032004,0.013771,0.010441,-0.008189,0.009000,0.025480,0.002355,-0.011426,-0.021521,0.046000,0.007966,0.051812,0.038211,-0.009633,0.051253,0.024057,0.037452,-0.008861,0.023488,0.028803,0.055727,0.018069,-0.020197,0.021112,-0.011960,-0.028107,0.037452,-0.006927,0.005788,-0.013488,0.008806,0.053223,0.021428,0.022271,0.052874,-0.001650,0.035850,0.008686,0.057021,0.003865,0.037160,0.025576,0.014401,-0.013581,-0.047863,-0.014618,0.048791,-0.013013,0.033017,0.043862,0.020937,-0.021411,0.080993,0.050873
9,king crab,0,0.052471,-0.005843,0.109549,0.081917,0.185251,0.013196,0.000846,0.025154,-0.035330,1.000000,0.027734,0.038658,0.025928,0.015367,0.029824,0.004189,0.070548,0.015598,-0.012417,0.004782,0.018294,-0.004665,-0.003546,0.053620,0.043875,-0.035069,-0.008071,-0.001536,-0.004543,0.030101,0.068450,0.036494,-0.007902,0.026864,0.023977,0.009783,-0.008601,0.012192,-0.000203,-0.004110,0.024523,0.031268,0.004784,0.029518,0.032378,-0.032410,-0.030505,-0.025427,0.018389,0.009736,0.013103,0.003893,-0.011314,0.028318,-0.045208,0.066908,-0.002732,0.008541,-0.020672,0.031523,-0.039295,-0.024603,0.003352,-0.061900,-0.022163,-0.004118,0.029065,-0.015834,0.017973,0.012366,0.043544,0.006433,-0.008545,-0.006535,-0.018582,-0.010090,-0.011477,0.034255,-0.068696,0.058112,0.021527,0.048835,0.047804,0.027634,0.017273,0.014261,-0.013306,-0.002010,0.055284,0.032571,0.037045,0.051223,0.050519,0.058002,0.015506,0.026673,-0.007610,0.052233,0.047600,-0.023042
