eval_session,intro_session,query_count,baseline_accuracy
0,0,6000,97.1
1,0,6000,97.133
1,1,500,96.2
2,0,6000,96.983
2,1,500,96.2
2,2,500,77.8
3,0,6000,96.867
3,1,500,95.8
3,2,500,77.8
3,3,500,94.6
4,0,6000,96.767
4,1,500,95.8
4,2,500,77.8
4,3,500,94.2
4,4,500,97.6
5,0,6000,96.667
5,1,500,95.6
5,2,500,77.6
5,3,500,94.0
5,4,500,97.2
5,5,500,90.4
6,0,6000,96.567
6,1,500,95.4
6,2,500,75.6
6,3,500,94.0
6,4,500,97.2
6,5,500,90.2
6,6,500,80.4
7,0,6000,96.45
7,1,500,95.6
7,2,500,74.8
7,3,500,94.0
7,4,500,97.2
7,5,500,90.0
7,6,500,78.8
7,7,500,90.0
8,0,6000,96.3
8,1,500,95.4
8,2,500,74.8
8,3,500,94.0
8,4,500,97.2
8,5,500,90.0
8,6,500,78.6
8,7,500,90.0
8,8,500,93.8
