eval_session,intro_session,query_count,final_accuracy
0,0,6000,97.1
1,0,6000,97.117
1,1,500,96.6
2,0,6000,96.983
2,1,500,96.4
2,2,500,80.4
3,0,6000,96.867
3,1,500,96.2
3,2,500,80.2
3,3,500,96.2
4,0,6000,96.75
4,1,500,96.2
4,2,500,80.4
4,3,500,96.0
4,4,500,97.8
5,0,6000,96.533
5,1,500,95.8
5,2,500,80.2
5,3,500,95.8
5,4,500,97.4
5,5,500,92.6
6,0,6000,96.35
6,1,500,96.0
6,2,500,77.6
6,3,500,95.8
6,4,500,97.4
6,5,500,92.6
6,6,500,84.8
7,0,6000,96.3
7,1,500,96.2
7,2,500,77.0
7,3,500,95.8
7,4,500,97.4
7,5,500,92.4
7,6,500,82.4
7,7,500,91.4
8,0,6000,96.117
8,1,500,96.0
8,2,500,77.0
8,3,500,95.8
8,4,500,97.2
8,5,500,92.4
8,6,500,82.4
8,7,500,91.2
8,8,500,94.6
