dataset,eval_session,query_number,true_class_id,true_class_name,true_intro_session,baseline_pred_class_id,baseline_pred_class_name,baseline_pred_intro_session,baseline_pred_conf,baseline_true_prob,baseline_pred_prob,final_pred_class_id,final_pred_class_name,final_pred_intro_session,final_pred_conf,final_true_prob,final_pred_prob,clip_true_sim,clip_pred_sim,dino_true_sim_raw,dino_pred_sim_raw,dino_true_sim_final,dino_pred_sim_final,baseline_correct,final_correct
miniimagenet,0,62,0,house finch,0,1,robin,0,0.783884,0.20862,0.783884,1,robin,0,0.783884,0.20862,0.783884,0.79687,0.785439,0.146794,0.166448,0.146794,0.166448,0,0
miniimagenet,0,76,0,house finch,0,44,chime,0,0.427503,0.323346,0.427503,44,chime,0,0.427503,0.323346,0.427503,0.668189,0.753476,0.122181,0.290755,0.122181,0.290755,0,0
miniimagenet,0,91,0,house finch,0,44,chime,0,0.373339,0.000591,0.373339,44,chime,0,0.373339,0.000591,0.373339,0.558832,0.62967,0.029096,0.147194,0.029096,0.147194,0,0
miniimagenet,0,379,3,green mamba,0,24,white wolf,0,0.393918,0.254859,0.393918,24,white wolf,0,0.393918,0.254859,0.393918,0.735887,0.663725,0.045253,0.091733,0.045253,0.091733,0,0
miniimagenet,0,490,4,harvestman,0,33,three-toed sloth,0,0.381841,0.011218,0.381841,33,three-toed sloth,0,0.381841,0.011218,0.381841,0.773625,0.71068,0.078057,0.107396,0.078057,0.107396,0,0
miniimagenet,0,714,7,jellyfish,0,41,carousel,0,0.422004,0.161665,0.422004,41,carousel,0,0.422004,0.161665,0.422004,0.76838,0.686684,0.094406,0.10103,0.094406,0.10103,0,0
miniimagenet,0,816,8,nematode,0,1,robin,0,0.39459,0.36717,0.39459,1,robin,0,0.39459,0.36717,0.39459,0.801295,0.645845,0.049796,0.061636,0.049796,0.061636,0,0
miniimagenet,0,822,8,nematode,0,25,African hunting dog,0,0.376711,0.376433,0.376711,25,African hunting dog,0,0.376711,0.376433,0.376711,0.776284,0.654752,0.156093,0.072221,0.156093,0.072221,0,0
miniimagenet,0,881,8,nematode,0,25,African hunting dog,0,0.401763,0.203142,0.401763,25,African hunting dog,0,0.401763,0.203142,0.401763,0.688584,0.607333,0.032521,0.052144,0.032521,0.052144,0,0
miniimagenet,0,1163,11,Walker hound,0,12,Ibizan hound,0,0.575865,0.419398,0.575865,12,Ibizan hound,0,0.575865,0.419398,0.575865,0.857335,0.846957,0.241552,0.240452,0.241552,0.240452,0,0
miniimagenet,0,1212,12,Ibizan hound,0,13,Saluki,0,0.999999,1e-06,0.999999,13,Saluki,0,0.999999,1e-06,0.999999,0.848221,0.866464,0.211907,0.589945,0.211907,0.589945,0,0
miniimagenet,0,1228,12,Ibizan hound,0,11,Walker hound,0,0.986062,0.01391,0.986062,11,Walker hound,0,0.986062,0.01391,0.986062,0.86829,0.863193,0.376897,0.513293,0.376897,0.513293,0,0
miniimagenet,0,1238,12,Ibizan hound,0,13,Saluki,0,0.996332,0.003663,0.996332,13,Saluki,0,0.996332,0.003663,0.996332,0.755038,0.776341,0.37975,0.558744,0.37975,0.558744,0,0
miniimagenet,0,1263,12,Ibizan hound,0,13,Saluki,0,0.999825,0.000175,0.999825,13,Saluki,0,0.999825,0.000175,0.999825,0.847635,0.867972,0.387591,0.668171,0.387591,0.668171,0,0
miniimagenet,0,1290,12,Ibizan hound,0,11,Walker hound,0,0.555703,0.024614,0.555703,11,Walker hound,0,0.555703,0.024614,0.555703,0.787853,0.789656,0.191547,0.218697,0.191547,0.218697,0,0
miniimagenet,0,1306,13,Saluki,0,12,Ibizan hound,0,0.796453,0.203499,0.796453,12,Ibizan hound,0,0.796453,0.203499,0.796453,0.858041,0.853884,0.468833,0.510606,0.468833,0.510606,0,0
miniimagenet,0,1309,13,Saluki,0,18,Tibetan mastiff,0,0.674812,0.001234,0.674812,18,Tibetan mastiff,0,0.674812,0.001234,0.674812,0.793979,0.84193,0.188966,0.392792,0.188966,0.392792,0,0
