dataset,eval_session,query_number,true_class_id,true_class_name,true_intro_session,baseline_pred_class_id,baseline_pred_class_name,baseline_pred_intro_session,baseline_pred_conf,baseline_true_prob,baseline_pred_prob,final_pred_class_id,final_pred_class_name,final_pred_intro_session,final_pred_conf,final_true_prob,final_pred_prob,clip_true_sim,clip_pred_sim,dino_true_sim_raw,dino_pred_sim_raw,dino_true_sim_final,dino_pred_sim_final,baseline_correct,final_correct
miniimagenet,8,62,0,house finch,0,1,robin,0,0.785287,0.206126,0.785287,1,robin,0,0.785217,0.206089,0.785217,0.79687,0.785439,0.146794,0.166448,0.146794,0.166448,0,0
miniimagenet,8,76,0,house finch,0,59,horizontal bar,0,0.448342,0.044544,0.448342,59,horizontal bar,0,0.449198,0.044676,0.449198,0.668189,0.662979,0.122181,0.165219,0.122181,0.165219,0,0
miniimagenet,8,91,0,house finch,0,91,street sign,7,0.389785,0.000187,0.389785,91,street sign,7,0.459003,0.000126,0.459003,0.558832,0.649207,0.029096,0.173391,0.029096,0.196203,0,0
miniimagenet,8,379,3,green mamba,0,89,worm fence,6,0.57511,0.007821,0.57511,89,worm fence,6,0.580666,0.006312,0.580666,0.735887,0.735685,0.045253,0.179935,0.045253,0.18908,0,0
miniimagenet,8,490,4,harvestman,0,98,bolete,8,0.604533,0.0,0.604533,98,bolete,8,0.604534,0.0,0.604534,0.773625,0.936865,0.078057,0.377738,0.078057,0.424893,0,0
miniimagenet,8,706,7,jellyfish,0,7,jellyfish,0,0.502646,0.502646,0.502646,77,snorkel,4,0.579936,0.0245,0.579936,0.789807,0.87935,0.458259,0.516632,0.458259,0.581064,1,0
miniimagenet,8,714,7,jellyfish,0,41,carousel,0,0.423829,0.067708,0.423829,41,carousel,0,0.417899,0.052163,0.417899,0.76838,0.686684,0.094406,0.10103,0.094406,0.10103,0,0
miniimagenet,8,745,7,jellyfish,0,7,jellyfish,0,0.580078,0.580078,0.580078,77,snorkel,4,0.530483,0.073896,0.530483,0.709623,0.724467,0.444153,0.516507,0.444153,0.562178,1,0
miniimagenet,8,816,8,nematode,0,1,robin,0,0.39715,0.303877,0.39715,1,robin,0,0.397134,0.295885,0.397134,0.801295,0.645845,0.049796,0.061636,0.049796,0.061636,0,0
miniimagenet,8,818,8,nematode,0,3,green mamba,0,0.392476,0.219167,0.392476,3,green mamba,0,0.366482,0.156785,0.366482,0.826219,0.762815,0.118941,0.189594,0.118941,0.189594,0,0
miniimagenet,8,881,8,nematode,0,99,ear,8,0.604398,1e-06,0.604398,99,ear,8,0.604376,5e-06,0.604376,0.688584,0.83095,0.032521,0.476582,0.032521,0.406226,0,0
miniimagenet,8,1163,11,Walker hound,0,12,Ibizan hound,0,0.572908,0.422306,0.572908,12,Ibizan hound,0,0.572912,0.422316,0.572912,0.857335,0.846957,0.241552,0.240452,0.241552,0.240452,0,0
miniimagenet,8,1212,12,Ibizan hound,0,13,Saluki,0,0.999999,1e-06,0.999999,13,Saluki,0,0.999999,1e-06,0.999999,0.848221,0.866464,0.211907,0.589945,0.211907,0.589945,0,0
miniimagenet,8,1228,12,Ibizan hound,0,11,Walker hound,0,0.986062,0.01391,0.986062,11,Walker hound,0,0.986062,0.01391,0.986062,0.86829,0.863194,0.376897,0.513293,0.376897,0.513293,0,0
miniimagenet,8,1238,12,Ibizan hound,0,13,Saluki,0,0.996332,0.003663,0.996332,13,Saluki,0,0.996332,0.003663,0.996332,0.755038,0.776342,0.37975,0.558744,0.37975,0.558744,0,0
miniimagenet,8,1263,12,Ibizan hound,0,13,Saluki,0,0.999825,0.000175,0.999825,13,Saluki,0,0.999825,0.000175,0.999825,0.847635,0.867973,0.387591,0.668171,0.387591,0.668171,0,0
miniimagenet,8,1290,12,Ibizan hound,0,11,Walker hound,0,0.555641,0.024611,0.555641,11,Walker hound,0,0.555647,0.024611,0.555647,0.787853,0.789656,0.191547,0.218697,0.191547,0.218697,0,0
miniimagenet,8,1306,13,Saluki,0,12,Ibizan hound,0,0.897912,0.10204,0.897912,12,Ibizan hound,0,0.897912,0.10204,0.897912,0.858041,0.853884,0.468833,0.510605,0.468833,0.510605,0,0
miniimagenet,8,1309,13,Saluki,0,18,Tibetan mastiff,0,0.67481,0.001234,0.67481,18,Tibetan mastiff,0,0.67481,0.001234,0.67481,0.793979,0.84193,0.188966,0.392792,0.188966,0.392792,0,0
miniimagenet,8,1355,13,Saluki,0,12,Ibizan hound,0,0.367132,0.290352,0.367132,12,Ibizan hound,0,0.367124,0.290344,0.367124,0.690972,0.683901,0.209564,0.244032,0.209564,0.244032,0,0
miniimagenet,8,1358,13,Saluki,0,12,Ibizan hound,0,0.634928,0.365072,0.634928,12,Ibizan hound,0,0.634928,0.365072,0.634928,0.871102,0.853214,0.606518,0.655271,0.606518,0.655271,0,0
miniimagenet,8,1364,13,Saluki,0,11,Walker hound,0,0.986452,0.013455,0.986452,11,Walker hound,0,0.986452,0.013455,0.986452,0.828549,0.788092,0.309536,0.540062,0.309536,0.540062,0,0
miniimagenet,8,1374,13,Saluki,0,12,Ibizan hound,0,0.928981,0.071013,0.928981,12,Ibizan hound,0,0.928981,0.071013,0.928981,0.888258,0.889913,0.453463,0.522446,0.453463,0.522446,0,0
miniimagenet,8,1376,13,Saluki,0,12,Ibizan hound,0,0.971786,0.028157,0.971786,12,Ibizan hound,0,0.971786,0.028157,0.971786,0.853346,0.86247,0.503154,0.549546,0.503154,0.549546,0,0
miniimagenet,8,1508,15,Gordon setter,0,14,golden retriever,0,0.385608,0.039301,0.385608,14,golden retriever,0,0.385608,0.039301,0.385608,0.765714,0.775946,0.095647,0.213835,0.095647,0.213835,0,0
miniimagenet,8,1560,15,Gordon setter,0,14,golden retriever,0,0.997729,0.000116,0.997729,14,golden retriever,0,0.997729,0.000116,0.997729,0.799009,0.81478,0.319553,0.590377,0.319553,0.590377,0,0
miniimagenet,8,1591,15,Gordon setter,0,14,golden retriever,0,0.656318,0.343599,0.656318,14,golden retriever,0,0.656318,0.343599,0.656318,0.807406,0.813646,0.430748,0.505207,0.430748,0.505207,0,0
miniimagenet,8,1593,15,Gordon setter,0,22,Newfoundland,0,0.55211,0.000958,0.55211,22,Newfoundland,0,0.55211,0.000958,0.55211,0.878641,0.877336,0.141612,0.323411,0.141612,0.323411,0,0
miniimagenet,8,1612,16,komondor,0,23,miniature poodle,0,0.992413,0.001911,0.992413,23,miniature poodle,0,0.992413,0.001911,0.992413,0.806536,0.84278,0.239339,0.414433,0.239339,0.414433,0,0
miniimagenet,8,1665,16,komondor,0,23,miniature poodle,0,0.998853,0.001125,0.998853,23,miniature poodle,0,0.998853,0.001125,0.998853,0.826774,0.838588,0.192301,0.335388,0.192301,0.335388,0,0
miniimagenet,8,1676,16,komondor,0,23,miniature poodle,0,0.979562,0.020272,0.979562,23,miniature poodle,0,0.979562,0.020272,0.979562,0.844205,0.884859,0.295266,0.435074,0.295266,0.435074,0,0
miniimagenet,8,1678,16,komondor,0,23,miniature poodle,0,0.998544,0.001144,0.998544,23,miniature poodle,0,0.998544,0.001144,0.998544,0.800712,0.830077,0.181813,0.33577,0.181813,0.33577,0,0
miniimagenet,8,1683,16,komondor,0,23,miniature poodle,0,0.515784,0.484168,0.515784,23,miniature poodle,0,0.515784,0.484168,0.515784,0.86389,0.903545,0.311224,0.346214,0.311224,0.346214,0,0
miniimagenet,8,1716,17,boxer,0,19,French bulldog,0,0.745286,0.254691,0.745286,19,French bulldog,0,0.745286,0.254691,0.745286,0.861652,0.898793,0.410752,0.420991,0.410752,0.420991,0,0
miniimagenet,8,1730,17,boxer,0,23,miniature poodle,0,0.999247,0.000733,0.999247,23,miniature poodle,0,0.999247,0.000733,0.999247,0.855878,0.855207,0.129894,0.392897,0.129894,0.392897,0,0
miniimagenet,8,1731,17,boxer,0,14,golden retriever,0,0.488851,0.00581,0.488851,14,golden retriever,0,0.488865,0.00581,0.488865,0.819639,0.829152,0.105972,0.217263,0.105972,0.217263,0,0
miniimagenet,8,1736,17,boxer,0,19,French bulldog,0,0.984963,0.015037,0.984963,19,French bulldog,0,0.984963,0.015037,0.984963,0.887062,0.878506,0.49428,0.639698,0.49428,0.639698,0,0
miniimagenet,8,1795,17,boxer,0,19,French bulldog,0,0.998367,0.000617,0.998367,19,French bulldog,0,0.998368,0.000617,0.998368,0.765772,0.797949,0.156962,0.398585,0.156962,0.398585,0,0
miniimagenet,8,1798,17,boxer,0,19,French bulldog,0,0.617489,0.023955,0.617489,19,French bulldog,0,0.617486,0.023955,0.617486,0.811547,0.833854,0.160739,0.213356,0.160739,0.213356,0,0
miniimagenet,8,1815,18,Tibetan mastiff,0,22,Newfoundland,0,0.972814,0.027185,0.972814,22,Newfoundland,0,0.972814,0.027185,0.972814,0.834424,0.83222,0.529479,0.649295,0.529479,0.649295,0,0
miniimagenet,8,1821,18,Tibetan mastiff,0,22,Newfoundland,0,0.999379,0.000621,0.999379,22,Newfoundland,0,0.999379,0.000621,0.999379,0.911099,0.911539,0.633652,0.767508,0.633652,0.767508,0,0
miniimagenet,8,1828,18,Tibetan mastiff,0,22,Newfoundland,0,0.510607,0.489393,0.510607,22,Newfoundland,0,0.510607,0.489393,0.510607,0.939592,0.946395,0.754162,0.743852,0.754162,0.743852,0,0
miniimagenet,8,1843,18,Tibetan mastiff,0,22,Newfoundland,0,0.584996,0.411106,0.584996,22,Newfoundland,0,0.584996,0.411106,0.584996,0.872518,0.885561,0.223102,0.235259,0.223102,0.235259,0,0
miniimagenet,8,1849,18,Tibetan mastiff,0,22,Newfoundland,0,0.648256,0.351744,0.648256,22,Newfoundland,0,0.648256,0.351744,0.648256,0.854364,0.824753,0.677108,0.714839,0.677108,0.714839,0,0
