eval_session,class_id,class_name,intro_session,query_count,accuracy
0,0,house finch,0,100,97.0
0,1,robin,0,100,100.0
0,2,triceratops,0,100,100.0
0,3,green mamba,0,100,99.0
0,4,harvestman,0,100,99.0
0,5,toucan,0,100,100.0
0,6,goose,0,100,100.0
0,7,jellyfish,0,100,99.0
0,8,nematode,0,100,97.0
0,9,king crab,0,100,100.0
0,10,dugong,0,100,100.0
0,11,Walker hound,0,100,99.0
0,12,Ibizan hound,0,100,95.0
0,13,Saluki,0,100,93.0
0,14,golden retriever,0,100,100.0
0,15,Gordon setter,0,100,97.0
0,16,komondor,0,100,95.0
0,17,boxer,0,100,94.0
0,18,Tibetan mastiff,0,100,82.0
0,19,French bulldog,0,100,99.0
0,20,malamute,0,100,92.0
0,21,dalmatian,0,100,96.0
0,22,Newfoundland,0,100,96.0
0,23,miniature poodle,0,100,97.0
0,24,white wolf,0,100,98.0
0,25,African hunting dog,0,100,99.0
0,26,Arctic fox,0,100,99.0
0,27,lion,0,100,100.0
0,28,meerkat,0,100,100.0
0,29,ladybug,0,100,100.0
0,30,rhinoceros beetle,0,100,98.0
0,31,ant,0,100,95.0
0,32,black-footed ferret,0,100,97.0
0,33,three-toed sloth,0,100,100.0
0,34,rock beauty,0,100,99.0
0,35,aircraft carrier,0,100,100.0
0,36,ashcan,0,100,79.0
0,37,barrel,0,100,90.0
0,38,beer bottle,0,100,100.0
0,39,bookshop,0,100,99.0
0,40,cannon,0,100,98.0
0,41,carousel,0,100,99.0
0,42,carton,0,100,88.0
0,43,catamaran,0,100,100.0
0,44,chime,0,100,98.0
0,45,clog,0,100,99.0
0,46,cocktail shaker,0,100,94.0
0,47,combination lock,0,100,95.0
0,48,crate,0,100,88.0
0,49,cuirass,0,100,100.0
0,50,dishrag,0,100,100.0
0,51,dome,0,100,99.0
0,52,electric guitar,0,100,100.0
0,53,file,0,100,97.0
0,54,fire screen,0,100,97.0
0,55,frying pan,0,100,97.0
0,56,garbage truck,0,100,100.0
0,57,hair slide,0,100,98.0
0,58,holster,0,100,100.0
0,59,horizontal bar,0,100,100.0
1,0,house finch,0,100,97.0
1,1,robin,0,100,100.0
1,2,triceratops,0,100,100.0
1,3,green mamba,0,100,99.0
1,4,harvestman,0,100,99.0
1,5,toucan,0,100,100.0
1,6,goose,0,100,100.0
1,7,jellyfish,0,100,99.0
1,8,nematode,0,100,98.0
1,9,king crab,0,100,100.0
1,10,dugong,0,100,100.0
1,11,Walker hound,0,100,99.0
1,12,Ibizan hound,0,100,95.0
1,13,Saluki,0,100,93.0
1,14,golden retriever,0,100,100.0
1,15,Gordon setter,0,100,97.0
1,16,komondor,0,100,95.0
1,17,boxer,0,100,94.0
1,18,Tibetan mastiff,0,100,82.0
1,19,French bulldog,0,100,99.0
1,20,malamute,0,100,92.0
1,21,dalmatian,0,100,96.0
1,22,Newfoundland,0,100,96.0
1,23,miniature poodle,0,100,97.0
1,24,white wolf,0,100,98.0
1,25,African hunting dog,0,100,99.0
1,26,Arctic fox,0,100,99.0
1,27,lion,0,100,100.0
1,28,meerkat,0,100,100.0
1,29,ladybug,0,100,100.0
1,30,rhinoceros beetle,0,100,98.0
1,31,ant,0,100,95.0
1,32,black-footed ferret,0,100,97.0
1,33,three-toed sloth,0,100,100.0
1,34,rock beauty,0,100,99.0
1,35,aircraft carrier,0,100,100.0
1,36,ashcan,0,100,81.0
1,37,barrel,0,100,89.0
1,38,beer bottle,0,100,100.0
