phase	dataset	seed	results_json	params
clip_visual_only	CIFAR100	1	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc/seed1_20260510-100608/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	1	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc_dino_fusion/seed1_20260510-100911/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	miniimagenet	1	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc/seed1_20260510-101708/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	1	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc_dino_fusion/seed1_20260510-101920/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	cub200	1	experiments/clip_dino_only_20260510-100604/cub200/bimc/seed1_20260510-102721/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	cub200	1	experiments/clip_dino_only_20260510-100604/cub200/bimc_dino_fusion/seed1_20260510-102841/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	CIFAR100	2	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc/seed2_20260510-103300/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	2	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc_dino_fusion/seed2_20260510-103511/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	miniimagenet	2	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc/seed2_20260510-104309/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	2	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc_dino_fusion/seed2_20260510-104521/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	cub200	2	experiments/clip_dino_only_20260510-100604/cub200/bimc/seed2_20260510-105322/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	cub200	2	experiments/clip_dino_only_20260510-100604/cub200/bimc_dino_fusion/seed2_20260510-105442/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	CIFAR100	3	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc/seed3_20260510-105901/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	3	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc_dino_fusion/seed3_20260510-110112/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	miniimagenet	3	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc/seed3_20260510-110910/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	3	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc_dino_fusion/seed3_20260510-111121/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	cub200	3	experiments/clip_dino_only_20260510-100604/cub200/bimc/seed3_20260510-111922/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	cub200	3	experiments/clip_dino_only_20260510-100604/cub200/bimc_dino_fusion/seed3_20260510-112041/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	CIFAR100	4	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc/seed4_20260510-112500/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	4	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc_dino_fusion/seed4_20260510-112711/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	miniimagenet	4	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc/seed4_20260510-113509/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	4	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc_dino_fusion/seed4_20260510-113721/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	cub200	4	experiments/clip_dino_only_20260510-100604/cub200/bimc/seed4_20260510-114522/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	cub200	4	experiments/clip_dino_only_20260510-100604/cub200/bimc_dino_fusion/seed4_20260510-114641/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	CIFAR100	5	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc/seed5_20260510-115101/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	5	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc_dino_fusion/seed5_20260510-115311/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	miniimagenet	5	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc/seed5_20260510-120109/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	5	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc_dino_fusion/seed5_20260510-120321/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	cub200	5	experiments/clip_dino_only_20260510-100604/cub200/bimc/seed5_20260510-121122/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	cub200	5	experiments/clip_dino_only_20260510-100604/cub200/bimc_dino_fusion/seed5_20260510-121241/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	CIFAR100	6	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc/seed6_20260510-121701/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	6	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc_dino_fusion/seed6_20260510-121912/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	miniimagenet	6	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc/seed6_20260510-122710/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	6	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc_dino_fusion/seed6_20260510-122924/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	cub200	6	experiments/clip_dino_only_20260510-100604/cub200/bimc/seed6_20260510-123725/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	cub200	6	experiments/clip_dino_only_20260510-100604/cub200/bimc_dino_fusion/seed6_20260510-123845/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	CIFAR100	7	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc/seed7_20260510-124305/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	7	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc_dino_fusion/seed7_20260510-124515/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	miniimagenet	7	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc/seed7_20260510-125314/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	7	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc_dino_fusion/seed7_20260510-125528/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	cub200	7	experiments/clip_dino_only_20260510-100604/cub200/bimc/seed7_20260510-130329/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	cub200	7	experiments/clip_dino_only_20260510-100604/cub200/bimc_dino_fusion/seed7_20260510-130449/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
