phase	dataset	seed	status	start	end	duration_sec	log	results_json	params
clip_visual_only	CIFAR100	1	OK	2026-05-10 10:06:04 +06	2026-05-10 10:08:13 +06	129	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_CIFAR100_seed1.log	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc/seed1_20260510-100608/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	1	FAIL(1)	2026-05-10 10:08:13 +06	2026-05-10 10:08:14 +06	1	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_CIFAR100_seed1.log		branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	1	OK	2026-05-10 10:09:06 +06	2026-05-10 10:17:06 +06	480	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_CIFAR100_seed1.log	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc_dino_fusion/seed1_20260510-100911/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	miniimagenet	1	OK	2026-05-10 10:17:06 +06	2026-05-10 10:19:17 +06	131	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_miniimagenet_seed1.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc/seed1_20260510-101708/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	1	OK	2026-05-10 10:19:17 +06	2026-05-10 10:27:19 +06	482	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_miniimagenet_seed1.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc_dino_fusion/seed1_20260510-101920/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	cub200	1	OK	2026-05-10 10:27:19 +06	2026-05-10 10:28:38 +06	79	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_cub200_seed1.log	experiments/clip_dino_only_20260510-100604/cub200/bimc/seed1_20260510-102721/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	cub200	1	OK	2026-05-10 10:28:38 +06	2026-05-10 10:32:57 +06	259	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_cub200_seed1.log	experiments/clip_dino_only_20260510-100604/cub200/bimc_dino_fusion/seed1_20260510-102841/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	CIFAR100	2	OK	2026-05-10 10:32:57 +06	2026-05-10 10:35:07 +06	130	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_CIFAR100_seed2.log	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc/seed2_20260510-103300/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	2	OK	2026-05-10 10:35:07 +06	2026-05-10 10:43:07 +06	480	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_CIFAR100_seed2.log	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc_dino_fusion/seed2_20260510-103511/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	miniimagenet	2	OK	2026-05-10 10:43:07 +06	2026-05-10 10:45:18 +06	131	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_miniimagenet_seed2.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc/seed2_20260510-104309/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	2	OK	2026-05-10 10:45:18 +06	2026-05-10 10:53:20 +06	482	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_miniimagenet_seed2.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc_dino_fusion/seed2_20260510-104521/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	cub200	2	OK	2026-05-10 10:53:20 +06	2026-05-10 10:54:39 +06	79	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_cub200_seed2.log	experiments/clip_dino_only_20260510-100604/cub200/bimc/seed2_20260510-105322/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	cub200	2	OK	2026-05-10 10:54:39 +06	2026-05-10 10:58:58 +06	259	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_cub200_seed2.log	experiments/clip_dino_only_20260510-100604/cub200/bimc_dino_fusion/seed2_20260510-105442/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	CIFAR100	3	OK	2026-05-10 10:58:58 +06	2026-05-10 11:01:08 +06	130	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_CIFAR100_seed3.log	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc/seed3_20260510-105901/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	3	OK	2026-05-10 11:01:08 +06	2026-05-10 11:09:07 +06	479	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_CIFAR100_seed3.log	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc_dino_fusion/seed3_20260510-110112/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	miniimagenet	3	OK	2026-05-10 11:09:07 +06	2026-05-10 11:11:18 +06	131	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_miniimagenet_seed3.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc/seed3_20260510-110910/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	3	OK	2026-05-10 11:11:18 +06	2026-05-10 11:19:19 +06	481	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_miniimagenet_seed3.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc_dino_fusion/seed3_20260510-111121/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	cub200	3	OK	2026-05-10 11:19:19 +06	2026-05-10 11:20:38 +06	79	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_cub200_seed3.log	experiments/clip_dino_only_20260510-100604/cub200/bimc/seed3_20260510-111922/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	cub200	3	OK	2026-05-10 11:20:38 +06	2026-05-10 11:24:57 +06	259	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_cub200_seed3.log	experiments/clip_dino_only_20260510-100604/cub200/bimc_dino_fusion/seed3_20260510-112041/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	CIFAR100	4	OK	2026-05-10 11:24:57 +06	2026-05-10 11:27:07 +06	130	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_CIFAR100_seed4.log	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc/seed4_20260510-112500/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	4	OK	2026-05-10 11:27:07 +06	2026-05-10 11:35:07 +06	480	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_CIFAR100_seed4.log	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc_dino_fusion/seed4_20260510-112711/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	miniimagenet	4	OK	2026-05-10 11:35:07 +06	2026-05-10 11:37:18 +06	131	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_miniimagenet_seed4.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc/seed4_20260510-113509/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	4	OK	2026-05-10 11:37:18 +06	2026-05-10 11:45:19 +06	481	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_miniimagenet_seed4.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc_dino_fusion/seed4_20260510-113721/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	cub200	4	OK	2026-05-10 11:45:19 +06	2026-05-10 11:46:38 +06	79	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_cub200_seed4.log	experiments/clip_dino_only_20260510-100604/cub200/bimc/seed4_20260510-114522/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	cub200	4	OK	2026-05-10 11:46:38 +06	2026-05-10 11:50:58 +06	260	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_cub200_seed4.log	experiments/clip_dino_only_20260510-100604/cub200/bimc_dino_fusion/seed4_20260510-114641/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	CIFAR100	5	OK	2026-05-10 11:50:58 +06	2026-05-10 11:53:08 +06	130	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_CIFAR100_seed5.log	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc/seed5_20260510-115101/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	5	OK	2026-05-10 11:53:08 +06	2026-05-10 12:01:07 +06	479	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_CIFAR100_seed5.log	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc_dino_fusion/seed5_20260510-115311/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	miniimagenet	5	OK	2026-05-10 12:01:07 +06	2026-05-10 12:03:18 +06	131	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_miniimagenet_seed5.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc/seed5_20260510-120109/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	5	OK	2026-05-10 12:03:18 +06	2026-05-10 12:11:19 +06	481	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_miniimagenet_seed5.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc_dino_fusion/seed5_20260510-120321/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	cub200	5	OK	2026-05-10 12:11:19 +06	2026-05-10 12:12:38 +06	79	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_cub200_seed5.log	experiments/clip_dino_only_20260510-100604/cub200/bimc/seed5_20260510-121122/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	cub200	5	OK	2026-05-10 12:12:38 +06	2026-05-10 12:16:58 +06	260	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_cub200_seed5.log	experiments/clip_dino_only_20260510-100604/cub200/bimc_dino_fusion/seed5_20260510-121241/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	CIFAR100	6	OK	2026-05-10 12:16:58 +06	2026-05-10 12:19:08 +06	130	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_CIFAR100_seed6.log	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc/seed6_20260510-121701/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	6	OK	2026-05-10 12:19:08 +06	2026-05-10 12:27:08 +06	480	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_CIFAR100_seed6.log	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc_dino_fusion/seed6_20260510-121912/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	miniimagenet	6	OK	2026-05-10 12:27:08 +06	2026-05-10 12:29:20 +06	132	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_miniimagenet_seed6.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc/seed6_20260510-122710/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	6	OK	2026-05-10 12:29:20 +06	2026-05-10 12:37:22 +06	482	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_miniimagenet_seed6.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc_dino_fusion/seed6_20260510-122924/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	cub200	6	OK	2026-05-10 12:37:22 +06	2026-05-10 12:38:42 +06	80	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_cub200_seed6.log	experiments/clip_dino_only_20260510-100604/cub200/bimc/seed6_20260510-123725/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	cub200	6	OK	2026-05-10 12:38:42 +06	2026-05-10 12:43:01 +06	259	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_cub200_seed6.log	experiments/clip_dino_only_20260510-100604/cub200/bimc_dino_fusion/seed6_20260510-123845/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	CIFAR100	7	OK	2026-05-10 12:43:01 +06	2026-05-10 12:45:11 +06	130	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_CIFAR100_seed7.log	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc/seed7_20260510-124305/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	7	OK	2026-05-10 12:45:11 +06	2026-05-10 12:53:12 +06	481	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_CIFAR100_seed7.log	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc_dino_fusion/seed7_20260510-124515/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	miniimagenet	7	OK	2026-05-10 12:53:12 +06	2026-05-10 12:55:24 +06	132	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_miniimagenet_seed7.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc/seed7_20260510-125314/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	7	OK	2026-05-10 12:55:24 +06	2026-05-10 13:03:27 +06	483	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_miniimagenet_seed7.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc_dino_fusion/seed7_20260510-125528/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	cub200	7	OK	2026-05-10 13:03:27 +06	2026-05-10 13:04:46 +06	79	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_cub200_seed7.log	experiments/clip_dino_only_20260510-100604/cub200/bimc/seed7_20260510-130329/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	cub200	7	OK	2026-05-10 13:04:46 +06	2026-05-10 13:09:06 +06	260	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_cub200_seed7.log	experiments/clip_dino_only_20260510-100604/cub200/bimc_dino_fusion/seed7_20260510-130449/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	CIFAR100	8	OK	2026-05-10 13:09:06 +06	2026-05-10 13:11:16 +06	130	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_CIFAR100_seed8.log	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc/seed8_20260510-130909/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	8	OK	2026-05-10 13:11:16 +06	2026-05-10 13:19:16 +06	480	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_CIFAR100_seed8.log	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc_dino_fusion/seed8_20260510-131120/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	miniimagenet	8	OK	2026-05-10 13:19:16 +06	2026-05-10 13:21:28 +06	132	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_miniimagenet_seed8.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc/seed8_20260510-131918/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	8	OK	2026-05-10 13:21:28 +06	2026-05-10 13:29:31 +06	483	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_miniimagenet_seed8.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc_dino_fusion/seed8_20260510-132132/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	cub200	8	OK	2026-05-10 13:29:31 +06	2026-05-10 13:30:50 +06	79	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_cub200_seed8.log	experiments/clip_dino_only_20260510-100604/cub200/bimc/seed8_20260510-132933/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	cub200	8	OK	2026-05-10 13:30:50 +06	2026-05-10 13:35:10 +06	260	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_cub200_seed8.log	experiments/clip_dino_only_20260510-100604/cub200/bimc_dino_fusion/seed8_20260510-133053/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
