phase	dataset	seed	results_json	params
dino_visual_only	CIFAR100	1	experiments/dino_visual_only_v2_20260511-191700/CIFAR100/bimc_dino_fusion/seed1_20260511-191707/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	1	experiments/dino_visual_only_v2_20260511-191700/miniimagenet/bimc_dino_fusion/seed1_20260511-192505/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	cub200	1	experiments/dino_visual_only_v2_20260511-191700/cub200/bimc_dino_fusion/seed1_20260511-193929/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	2	experiments/dino_visual_only_v2_20260511-191700/CIFAR100/bimc_dino_fusion/seed2_20260511-194455/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	2	experiments/dino_visual_only_v2_20260511-191700/miniimagenet/bimc_dino_fusion/seed2_20260511-195255/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	cub200	2	experiments/dino_visual_only_v2_20260511-191700/cub200/bimc_dino_fusion/seed2_20260511-200059/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	3	experiments/dino_visual_only_v2_20260511-191700/CIFAR100/bimc_dino_fusion/seed3_20260511-200523/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	3	experiments/dino_visual_only_v2_20260511-191700/miniimagenet/bimc_dino_fusion/seed3_20260511-201323/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	cub200	3	experiments/dino_visual_only_v2_20260511-191700/cub200/bimc_dino_fusion/seed3_20260511-202128/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	4	experiments/dino_visual_only_v2_20260511-191700/CIFAR100/bimc_dino_fusion/seed4_20260511-202605/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	4	experiments/dino_visual_only_v2_20260511-191700/miniimagenet/bimc_dino_fusion/seed4_20260511-203430/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	cub200	4	experiments/dino_visual_only_v2_20260511-191700/cub200/bimc_dino_fusion/seed4_20260511-204305/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	5	experiments/dino_visual_only_v2_20260511-191700/CIFAR100/bimc_dino_fusion/seed5_20260511-204735/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	5	experiments/dino_visual_only_v2_20260511-191700/miniimagenet/bimc_dino_fusion/seed5_20260511-205548/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	cub200	5	experiments/dino_visual_only_v2_20260511-191700/cub200/bimc_dino_fusion/seed5_20260511-210424/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	6	experiments/dino_visual_only_v2_20260511-191700/CIFAR100/bimc_dino_fusion/seed6_20260511-210908/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
