phase	dataset	seed	status	start	end	duration_sec	log	results_json	params
dino_visual_only	CIFAR100	1	OK	2026-05-11 19:17:00 +06	2026-05-11 19:25:02 +06	482	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_CIFAR100_seed1.log	experiments/dino_visual_only_v2_20260511-191700/CIFAR100/bimc_dino_fusion/seed1_20260511-191707/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	1	OK	2026-05-11 19:25:02 +06	2026-05-11 19:39:26 +06	864	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_miniimagenet_seed1.log	experiments/dino_visual_only_v2_20260511-191700/miniimagenet/bimc_dino_fusion/seed1_20260511-192505/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	cub200	1	OK	2026-05-11 19:39:26 +06	2026-05-11 19:44:51 +06	325	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_cub200_seed1.log	experiments/dino_visual_only_v2_20260511-191700/cub200/bimc_dino_fusion/seed1_20260511-193929/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	2	OK	2026-05-11 19:44:51 +06	2026-05-11 19:52:52 +06	481	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_CIFAR100_seed2.log	experiments/dino_visual_only_v2_20260511-191700/CIFAR100/bimc_dino_fusion/seed2_20260511-194455/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	2	OK	2026-05-11 19:52:52 +06	2026-05-11 20:00:56 +06	484	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_miniimagenet_seed2.log	experiments/dino_visual_only_v2_20260511-191700/miniimagenet/bimc_dino_fusion/seed2_20260511-195255/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	cub200	2	OK	2026-05-11 20:00:56 +06	2026-05-11 20:05:19 +06	263	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_cub200_seed2.log	experiments/dino_visual_only_v2_20260511-191700/cub200/bimc_dino_fusion/seed2_20260511-200059/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	3	OK	2026-05-11 20:05:19 +06	2026-05-11 20:13:20 +06	481	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_CIFAR100_seed3.log	experiments/dino_visual_only_v2_20260511-191700/CIFAR100/bimc_dino_fusion/seed3_20260511-200523/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	3	OK	2026-05-11 20:13:20 +06	2026-05-11 20:21:25 +06	485	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_miniimagenet_seed3.log	experiments/dino_visual_only_v2_20260511-191700/miniimagenet/bimc_dino_fusion/seed3_20260511-201323/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	cub200	3	OK	2026-05-11 20:21:25 +06	2026-05-11 20:25:59 +06	274	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_cub200_seed3.log	experiments/dino_visual_only_v2_20260511-191700/cub200/bimc_dino_fusion/seed3_20260511-202128/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	4	OK	2026-05-11 20:25:59 +06	2026-05-11 20:34:24 +06	505	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_CIFAR100_seed4.log	experiments/dino_visual_only_v2_20260511-191700/CIFAR100/bimc_dino_fusion/seed4_20260511-202605/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	4	OK	2026-05-11 20:34:24 +06	2026-05-11 20:43:01 +06	517	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_miniimagenet_seed4.log	experiments/dino_visual_only_v2_20260511-191700/miniimagenet/bimc_dino_fusion/seed4_20260511-203430/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	cub200	4	OK	2026-05-11 20:43:01 +06	2026-05-11 20:47:31 +06	270	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_cub200_seed4.log	experiments/dino_visual_only_v2_20260511-191700/cub200/bimc_dino_fusion/seed4_20260511-204305/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	5	OK	2026-05-11 20:47:31 +06	2026-05-11 20:55:43 +06	492	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_CIFAR100_seed5.log	experiments/dino_visual_only_v2_20260511-191700/CIFAR100/bimc_dino_fusion/seed5_20260511-204735/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	5	OK	2026-05-11 20:55:43 +06	2026-05-11 21:04:20 +06	517	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_miniimagenet_seed5.log	experiments/dino_visual_only_v2_20260511-191700/miniimagenet/bimc_dino_fusion/seed5_20260511-205548/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	cub200	5	OK	2026-05-11 21:04:20 +06	2026-05-11 21:09:02 +06	283	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_cub200_seed5.log	experiments/dino_visual_only_v2_20260511-191700/cub200/bimc_dino_fusion/seed5_20260511-210424/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	6	OK	2026-05-11 21:09:03 +06	2026-05-11 21:17:22 +06	499	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_CIFAR100_seed6.log	experiments/dino_visual_only_v2_20260511-191700/CIFAR100/bimc_dino_fusion/seed6_20260511-210908/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	6	OK	2026-05-11 21:17:22 +06	2026-05-11 21:25:29 +06	487	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_miniimagenet_seed6.log	experiments/dino_visual_only_v2_20260511-191700/miniimagenet/bimc_dino_fusion/seed6_20260511-211725/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
