phase	dataset	seed	status	start	end	duration_sec	log	results_json
sessionwise_pseudoval_cpr	CIFAR100	1	OK	2026-05-07 23:23:41 +06	2026-05-07 23:31:37 +06	476	logs/fscil-sessionwise-pseudoval-cpr-20260507-232341/sessionwise_pseudoval_cpr_CIFAR100_seed1.log	experiments/CIFAR100/prototype_refinement_conservative_pseudoval_sessionwise_bimc_dino_fusion/seed1_20260507-232342/results.json
sessionwise_pseudoval_cpr	CIFAR100	2	OK	2026-05-07 23:31:37 +06	2026-05-07 23:39:35 +06	478	logs/fscil-sessionwise-pseudoval-cpr-20260507-232341/sessionwise_pseudoval_cpr_CIFAR100_seed2.log	experiments/CIFAR100/prototype_refinement_conservative_pseudoval_sessionwise_bimc_dino_fusion/seed2_20260507-233138/results.json
sessionwise_pseudoval_cpr	CIFAR100	3	OK	2026-05-07 23:39:35 +06	2026-05-07 23:47:31 +06	476	logs/fscil-sessionwise-pseudoval-cpr-20260507-232341/sessionwise_pseudoval_cpr_CIFAR100_seed3.log	experiments/CIFAR100/prototype_refinement_conservative_pseudoval_sessionwise_bimc_dino_fusion/seed3_20260507-233935/results.json
sessionwise_pseudoval_cpr	CIFAR100	4	OK	2026-05-07 23:47:31 +06	2026-05-07 23:58:14 +06	643	logs/fscil-sessionwise-pseudoval-cpr-20260507-232341/sessionwise_pseudoval_cpr_CIFAR100_seed4.log	experiments/CIFAR100/prototype_refinement_conservative_pseudoval_sessionwise_bimc_dino_fusion/seed4_20260507-234732/results.json
sessionwise_pseudoval_cpr	CIFAR100	5	OK	2026-05-07 23:58:14 +06	2026-05-08 00:14:29 +06	975	logs/fscil-sessionwise-pseudoval-cpr-20260507-232341/sessionwise_pseudoval_cpr_CIFAR100_seed5.log	experiments/CIFAR100/prototype_refinement_conservative_pseudoval_sessionwise_bimc_dino_fusion/seed5_20260507-235814/results.json
sessionwise_pseudoval_cpr	miniimagenet	1	OK	2026-05-08 00:14:29 +06	2026-05-08 00:34:48 +06	1219	logs/fscil-sessionwise-pseudoval-cpr-20260507-232341/sessionwise_pseudoval_cpr_miniimagenet_seed1.log	experiments/miniimagenet/prototype_refinement_conservative_pseudoval_sessionwise_bimc_dino_fusion/seed1_20260508-001429/results.json
sessionwise_pseudoval_cpr	miniimagenet	2	OK	2026-05-08 00:34:48 +06	2026-05-08 00:51:02 +06	974	logs/fscil-sessionwise-pseudoval-cpr-20260507-232341/sessionwise_pseudoval_cpr_miniimagenet_seed2.log	experiments/miniimagenet/prototype_refinement_conservative_pseudoval_sessionwise_bimc_dino_fusion/seed2_20260508-003448/results.json
sessionwise_pseudoval_cpr	miniimagenet	3	OK	2026-05-08 00:51:02 +06	2026-05-08 01:07:18 +06	976	logs/fscil-sessionwise-pseudoval-cpr-20260507-232341/sessionwise_pseudoval_cpr_miniimagenet_seed3.log	experiments/miniimagenet/prototype_refinement_conservative_pseudoval_sessionwise_bimc_dino_fusion/seed3_20260508-005103/results.json
sessionwise_pseudoval_cpr	miniimagenet	4	OK	2026-05-08 01:07:18 +06	2026-05-08 01:23:34 +06	976	logs/fscil-sessionwise-pseudoval-cpr-20260507-232341/sessionwise_pseudoval_cpr_miniimagenet_seed4.log	experiments/miniimagenet/prototype_refinement_conservative_pseudoval_sessionwise_bimc_dino_fusion/seed4_20260508-010719/results.json
sessionwise_pseudoval_cpr	miniimagenet	5	OK	2026-05-08 01:23:34 +06	2026-05-08 01:39:53 +06	979	logs/fscil-sessionwise-pseudoval-cpr-20260507-232341/sessionwise_pseudoval_cpr_miniimagenet_seed5.log	experiments/miniimagenet/prototype_refinement_conservative_pseudoval_sessionwise_bimc_dino_fusion/seed5_20260508-012335/results.json
sessionwise_pseudoval_cpr	cub200	1	OK	2026-05-08 01:39:53 +06	2026-05-08 01:49:09 +06	556	logs/fscil-sessionwise-pseudoval-cpr-20260507-232341/sessionwise_pseudoval_cpr_cub200_seed1.log	experiments/cub200/prototype_refinement_conservative_pseudoval_sessionwise_bimc_dino_fusion/seed1_20260508-013954/results.json
sessionwise_pseudoval_cpr	cub200	2	OK	2026-05-08 01:49:09 +06	2026-05-08 01:57:57 +06	528	logs/fscil-sessionwise-pseudoval-cpr-20260507-232341/sessionwise_pseudoval_cpr_cub200_seed2.log	experiments/cub200/prototype_refinement_conservative_pseudoval_sessionwise_bimc_dino_fusion/seed2_20260508-014910/results.json
sessionwise_pseudoval_cpr	cub200	3	OK	2026-05-08 01:57:57 +06	2026-05-08 02:06:44 +06	527	logs/fscil-sessionwise-pseudoval-cpr-20260507-232341/sessionwise_pseudoval_cpr_cub200_seed3.log	experiments/cub200/prototype_refinement_conservative_pseudoval_sessionwise_bimc_dino_fusion/seed3_20260508-015758/results.json
sessionwise_pseudoval_cpr	cub200	4	OK	2026-05-08 02:06:44 +06	2026-05-08 02:15:26 +06	522	logs/fscil-sessionwise-pseudoval-cpr-20260507-232341/sessionwise_pseudoval_cpr_cub200_seed4.log	experiments/cub200/prototype_refinement_conservative_pseudoval_sessionwise_bimc_dino_fusion/seed4_20260508-020645/results.json
sessionwise_pseudoval_cpr	cub200	5	OK	2026-05-08 02:15:26 +06	2026-05-08 02:24:10 +06	524	logs/fscil-sessionwise-pseudoval-cpr-20260507-232341/sessionwise_pseudoval_cpr_cub200_seed5.log	experiments/cub200/prototype_refinement_conservative_pseudoval_sessionwise_bimc_dino_fusion/seed5_20260508-021526/results.json
